Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id,N,Ns,Ne,Ni
0.0,1,seeker,7,47520,100.0,-2.2,-3.1,-14.364,,,,-2.2,-3.1,-14.364,1,,,,
0.0,2,seeker,7,47520,100.0,13.7,-8.1,-251.987,,,,13.7,-8.1,-251.987,2,,,,
0.0,3,seeker,7,47520,100.0,-4.7,3.9,-37.813,,,,-4.7,3.9,-37.813,3,,,,
0.0,4,seeker,7,47520,100.0,-8.2,-6.2,-105.501,,,,-8.2,-6.2,-105.501,4,,,,
0.0,5,explorer,10,47520,100.0,-1.5,3.3,-13.0,,,,-1.5,3.3,-13.0,5,,,,
0.0,6,explorer,10,47520,100.0,1.4,-5.1,-27.7,,,,1.4,-5.1,-27.7,6,,,,
0.0,7,explorer,10,47520,100.0,8.9,-12.2,-227.8,,,,8.9,-12.2,-227.8,7,,,,
0.0,8,explorer,10,47520,100.0,-10.2,5.4,-132.2,,,,-10.2,5.4,-132.2,8,,,,
0.0,9,explorer,10,47520,100.0,7.1,-9.1,-134.2,,,,7.1,-9.1,-134.2,9,,,,
0.0,10,explorer,10,47520,100.0,-0.5,-14.0,-195.1,,,,-0.5,-14.0,-195.1,10,,,,
0.0,11,explorer,10,47520,100.0,-8.7,-4.8,-98.9,,,,-8.7,-4.8,-98.9,11,,,,
0.0,12,explorer,10,47520,100.0,13.8,3.0,-199.8,,,,13.8,3.0,-199.8,12,,,,
0.0,13,explorer,10,47520,100.0,1.0,4.4,-20.1,,,,1.0,4.4,-20.1,13,,,,
0.0,14,explorer,10,47520,100.0,4.6,-5.0,-46.7,,,,4.6,-5.0,-46.7,14,,,,
0.0,15,explorer,10,47520,100.0,-9.1,7.4,-138.3,,,,-9.1,7.4,-138.3,15,,,,
0.0,16,explorer,10,47520,100.0,7.6,3.5,-69.8,,,,7.6,3.5,-69.8,16,,,,
0.0,17,explorer,10,47520,100.0,10.9,2.4,-124.2,,,,10.9,2.4,-124.2,17,,,,
0.0,18,explorer,10,47520,100.0,-10.3,-6.6,-149.6,,,,-10.3,-6.6,-149.6,18,,,,
0.0,19,explorer,10,47520,100.0,-8.3,-9.5,-158.8,,,,-8.3,-9.5,-158.8,19,,,,
0.0,20,isocontour,7,47520,100.0,-12.1,-5.9,-181.0,,,,-12.1,-5.9,-181.0,20,,,,
0.0,21,isocontour,7,47520,100.0,2.2,-8.7,-81.0,,,,2.2,-8.7,-81.0,21,,,,
0.0,22,isocontour,7,47520,100.0,-14.8,4.4,-238.4,,,,-14.8,4.4,-238.4,22,,,,
0.0,23,isocontour,7,47520,100.0,1.8,-8.9,-83.4,,,,1.8,-8.9,-83.4,23,,,,
0.0,24,isocontour,7,47520,100.0,-1.2,-1.8,-4.6,,,,-1.2,-1.8,-4.6,24,,,,
0.0,25,isocontour,7,47520,100.0,-9.3,-6.2,-125.3,,,,-9.3,-6.2,-125.3,25,,,,
0.0,26,isocontour,7,47520,100.0,-11.6,1.1,-136.0,,,,-11.6,1.1,-136.0,26,,,,
0.0,27,isocontour,7,47520,100.0,4.5,11.5,-152.1,,,,4.5,11.5,-152.1,27,,,,
0.0,28,isocontour,7,47520,100.0,-0.9,13.5,-183.4,,,,-0.9,13.5,-183.4,28,,,,
0.0,29,isocontour,7,47520,100.0,2.5,12.4,-159.4,,,,2.5,12.4,-159.4,29,,,,
0.0,30,isocontour,7,47520,100.0,-1.9,2.0,-7.4,,,,-1.9,2.0,-7.4,30,,,,
0.0,31,isocontour,7,47520,100.0,-5.9,10.5,-145.9,,,,-5.9,10.5,-145.9,31,,,,
0.0,32,isocontour,7,47520,100.0,5.9,4.2,-52.1,,,,5.9,4.2,-52.1,32,,,,
0.0,33,isocontour,7,47520,100.0,-11.8,-7.2,-192.2,,,,-11.8,-7.2,-192.2,33,,,,
0.0,34,isocontour,7,47520,100.0,-3.4,1.4,-13.8,,,,-3.4,1.4,-13.8,34,,,,
0.0,35,isocontour,7,47520,100.0,11.2,7.5,-181.7,,,,11.2,7.5,-181.7,35,,,,
0.0,36,isocontour,7,47520,100.0,3.8,11.0,-134.4,,,,3.8,11.0,-134.4,36,,,,
0.0,37,isocontour,7,47520,100.0,-12.3,-2.7,-157.8,,,,-12.3,-2.7,-157.8,37,,,,
0.0,38,isocontour,7,47520,100.0,-10.4,-8.7,-183.2,,,,-10.4,-8.7,-183.2,38,,,,
0.0,39,isocontour,7,47520,100.0,4.1,3.2,-27.1,,,,4.1,3.2,-27.1,39,,,,
0.1,1,seeker,7,47518.9,100.0,-2.2,-3.0,-13.662,0.6,0.8,1.0,-1.2,-1.8,-4.6,24,11,1,7,3
0.1,2,seeker,7,47519.46,100.0,13.6,-8.1,-249.709,-0.7,0.2,0.7,4.6,-5.0,-46.7,14,3,0,3,0
0.1,3,seeker,7,47519.21,100.0,-4.7,3.9,-36.807,0.5,-0.7,0.9,-1.2,-1.8,-4.6,24,9,0,5,4
0.1,4,seeker,7,47519.15,100.0,-8.1,-6.1,-103.817,0.8,0.3,0.9,-2.2,-3.1,-14.364,1,10,1,4,5
0.1,5,explorer,10,47513.76,99.99,-1.4,3.4,-13.4,1.2,1.2,1.7,-1.2,-1.8,-4.6,24,11,2,5,4
0.1,6,explorer,10,47515.08,99.99,1.3,-5.0,-26.7,-1.4,0.7,1.6,-1.2,-1.8,-4.6,24,9,1,5,3
0.1,7,explorer,10,47519.71,100.0,8.9,-12.3,-229.2,-0.0,-0.6,0.6,4.6,-5.0,-46.7,14,4,1,3,0
0.1,8,explorer,10,47518.64,100.0,-10.2,5.3,-133.3,-0.8,-0.5,0.9,-1.5,3.3,-13.0,5,6,1,2,3
0.1,9,explorer,10,47513.19,99.99,7.3,-9.2,-137.1,1.7,-0.3,1.7,1.4,-5.1,-27.7,6,7,1,4,2
