Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,1172.86,0.001,1.303
0.2,1131.72,0.002,1.257
0.3,1139.2,0.003,1.266
0.4,1097.32,0.004,1.219
0.5,1097.32,0.005,1.219
0.6,1097.32,0.006,1.219
0.7,1097.32,0.007,1.219
0.8,1128.73,0.008,1.254
0.9,1162.39,0.009,1.292
1.0,1162.39,0.01,1.292
1.1,1219.99,0.011,1.356
1.2,1219.99,0.012,1.356
1.3,1219.99,0.013,1.356
1.4,1219.99,0.014,1.356
1.5,1219.99,0.015,1.356
1.6,1230.46,0.016,1.367
1.7,1246.17,0.017,1.385
1.8,1246.17,0.018,1.385
1.9,1272.35,0.019,1.414
2.0,1246.17,0.02,1.385
2.1,1246.17,0.021,1.385
2.2,1261.88,0.022,1.402
2.3,1235.7,0.023,1.373
2.4,1235.7,0.024,1.373
2.5,1282.82,0.025,1.425
2.6,1282.82,0.026,1.425
2.7,1298.53,0.027,1.443
2.8,1314.24,0.028,1.46
2.9,1293.29,0.029,1.437
3.0,1288.06,0.03,1.431
3.1,1314.24,0.031,1.46
3.2,1288.06,0.032,1.431
3.3,1288.06,0.033,1.431
3.4,1288.06,0.034,1.431
3.5,1382.3,0.035,1.536
3.6,1398.01,0.036,1.553
3.7,1398.01,0.037,1.553
3.8,1398.01,0.038,1.553
3.9,1424.19,0.039,1.582
4.0,1424.19,0.04,1.582
4.1,1424.19,0.041,1.582
4.2,1487.02,0.042,1.652
4.3,1487.02,0.043,1.652
4.4,1418.96,0.044,1.577
4.5,1418.96,0.045,1.577
4.6,1434.66,0.046,1.594
4.7,1460.84,0.047,1.623
4.8,1460.84,0.048,1.623
4.9,1460.84,0.049,1.623
5.0,1460.84,0.05,1.623
5.1,1460.84,0.051,1.623
5.2,1460.84,0.052,1.623
5.3,1460.84,0.053,1.623
5.4,1476.55,0.054,1.641
5.5,1460.84,0.055,1.623
5.6,1502.73,0.056,1.67
5.7,1502.73,0.057,1.67
5.8,1460.84,0.058,1.623
5.9,1502.73,0.059,1.67
6.0,1502.73,0.06,1.67
6.1,1502.73,0.061,1.67
6.2,1502.73,0.062,1.67
6.3,1502.73,0.063,1.67
6.4,1502.73,0.064,1.67
6.5,1570.8,0.065,1.745
6.6,1570.8,0.066,1.745
6.7,1570.8,0.067,1.745
6.8,1570.8,0.068,1.745
6.9,1570.8,0.069,1.745
7.0,1544.62,0.07,1.716
7.1,1570.8,0.071,1.745
7.2,1570.8,0.072,1.745
7.3,1570.8,0.073,1.745
7.4,1570.8,0.074,1.745
7.5,1570.8,0.075,1.745
7.6,1570.8,0.076,1.745
7.7,1570.8,0.077,1.745
7.8,1570.8,0.078,1.745
7.9,1570.8,0.079,1.745
8.0,1570.8,0.08,1.745
8.1,1544.62,0.081,1.716
8.2,1570.8,0.082,1.745
8.3,1570.8,0.083,1.745
8.4,1555.09,0.084,1.728
8.5,1528.91,0.085,1.699
8.6,1570.8,0.086,1.745
8.7,1528.91,0.087,1.699
8.8,1570.8,0.088,1.745
8.9,1528.91,0.089,1.699
9.0,1502.73,0.09,1.67
9.1,1528.91,0.091,1.699
9.2,1476.55,0.092,1.641
9.3,1476.55,0.093,1.641
9.4,1476.55,0.094,1.641
9.5,1476.55,0.095,1.641
9.6,1476.55,0.096,1.641
9.7,1492.26,0.097,1.658
9.8,1518.44,0.098,1.687
9.9,1518.44,0.099,1.687
10.0,1518.44,0.1,1.687
10.1,1518.44,0.101,1.687
10.2,1518.44,0.102,1.687
10.3,1518.44,0.103,1.687
10.4,1518.44,0.104,1.687
10.5,1518.44,0.105,1.687
10.6,1518.44,0.106,1.687
10.7,1518.44,0.107,1.687
10.8,1518.44,0.108,1.687
10.9,1518.44,0.109,1.687
11.0,1596.98,0.11,1.774
11.1,1596.98,0.111,1.774
11.2,1596.98,0.112,1.774
11.3,1596.98,0.113,1.774
11.4,1596.98,0.114,1.774
11.5,1596.98,0.115,1.774
11.6,1596.98,0.116,1.774
11.7,1596.98,0.117,1.774
11.8,1596.98,0.118,1.774
11.9,1596.98,0.119,1.774
12.0,1596.98,0.12,1.774
12.1,1675.52,0.121,1.862
12.2,1555.09,0.122,1.728
12.3,1544.62,0.123,1.716
12.4,1596.98,0.124,1.774
12.5,1555.09,0.125,1.728
12.6,1518.44,0.126,1.687
12.7,1502.73,0.127,1.67
12.8,1544.62,0.128,1.716
12.9,1528.91,0.129,1.699
13.0,1596.98,0.13,1.774
13.1,1528.91,0.131,1.699
13.2,1528.91,0.132,1.699
13.3,1528.91,0.133,1.699
13.4,1492.26,0.134,1.658
13.5,1476.55,0.135,1.641
13.6,1528.91,0.136,1.699
13.7,1476.55,0.137,1.641
13.8,1476.55,0.138,1.641
13.9,1528.91,0.139,1.699
14.0,1581.27,0.14,1.757
14.1,1581.27,0.141,1.757
14.2,1607.45,0.142,1.786
14.3,1607.45,0.143,1.786
14.4,1607.45,0.144,1.786
14.5,1528.91,0.145,1.699
14.6,1581.27,0.146,1.757
14.7,1607.45,0.147,1.786
14.8,1607.45,0.148,1.786
14.9,1607.45,0.149,1.786
15.0,1528.91,0.15,1.699
15.1,1581.27,0.151,1.757
15.2,1528.91,0.152,1.699
15.3,1528.91,0.153,1.699
15.4,1607.45,0.154,1.786
15.5,1528.91,0.155,1.699
15.6,1528.91,0.156,1.699
15.7,1528.91,0.157,1.699
15.8,1528.91,0.158,1.699
15.9,1528.91,0.159,1.699
16.0,1528.91,0.16,1.699
16.1,1528.91,0.161,1.699
16.2,1528.91,0.162,1.699
16.3,1528.91,0.163,1.699
16.4,1487.02,0.164,1.652
16.5,1528.91,0.165,1.699
16.6,1487.02,0.166,1.652
16.7,1434.66,0.167,1.594
16.8,1434.66,0.168,1.594
16.9,1487.02,0.169,1.652
17.0,1487.02,0.17,1.652
17.1,1487.02,0.171,1.652
17.2,1487.02,0.172,1.652
17.3,1487.02,0.173,1.652
17.4,1487.02,0.174,1.652
17.5,1487.02,0.175,1.652
17.6,1487.02,0.176,1.652
17.7,1487.02,0.177,1.652
17.8,1487.02,0.178,1.652
17.9,1487.02,0.179,1.652
18.0,1513.2,0.18,1.681
18.1,1487.02,0.181,1.652
18.2,1539.38,0.182,1.71
18.3,1539.38,0.183,1.71
18.4,1539.38,0.184,1.71
18.5,1487.02,0.185,1.652
18.6,1487.02,0.186,1.652
18.7,1539.38,0.187,1.71
18.8,1539.38,0.188,1.71
18.9,1539.38,0.189,1.71
19.0,1539.38,0.19,1.71
19.1,1539.38,0.191,1.71
19.2,1539.38,0.192,1.71
19.3,1539.38,0.193,1.71
19.4,1539.38,0.194,1.71
19.5,1539.38,0.195,1.71
19.6,1539.38,0.196,1.71
19.7,1539.38,0.197,1.71
19.8,1539.38,0.198,1.71
19.9,1539.38,0.199,1.71
20.0,1539.38,0.2,1.71
20.1,1539.38,0.201,1.71
20.2,1539.38,0.202,1.71
20.3,1487.02,0.203,1.652
20.4,1513.2,0.204,1.681
20.5,1471.32,0.205,1.635
20.6,1539.38,0.206,1.71
20.7,1539.38,0.207,1.71
20.8,1539.38,0.208,1.71
20.9,1487.02,0.209,1.652
21.0,1487.02,0.21,1.652
21.1,1539.38,0.211,1.71
21.2,1513.2,0.212,1.681
21.3,1581.27,0.213,1.757
21.4,1581.27,0.214,1.757
21.5,1581.27,0.215,1.757
21.6,1581.27,0.216,1.757
21.7,1581.27,0.217,1.757
21.8,1581.27,0.218,1.757
21.9,1581.27,0.219,1.757
22.0,1581.27,0.22,1.757
22.1,1581.27,0.221,1.757
22.2,1581.27,0.222,1.757
22.3,1581.27,0.223,1.757
22.4,1581.27,0.224,1.757
22.5,1502.73,0.225,1.67
22.6,1460.84,0.226,1.623
22.7,1502.73,0.227,1.67
22.8,1445.14,0.228,1.606
22.9,1445.14,0.229,1.606
23.0,1502.73,0.23,1.67
23.1,1460.84,0.231,1.623
23.2,1476.55,0.232,1.641
23.3,1476.55,0.233,1.641
23.4,1528.91,0.234,1.699
23.5,1581.27,0.235,1.757
23.6,1528.91,0.236,1.699
23.7,1487.02,0.237,1.652
23.8,1487.02,0.238,1.652
23.9,1581.27,0.239,1.757
24.0,1528.91,0.24,1.699
24.1,1528.91,0.241,1.699
24.2,1555.09,0.242,1.728
24.3,1487.02,0.243,1.652
24.4,1487.02,0.244,1.652
24.5,1487.02,0.245,1.652
24.6,1565.56,0.246,1.74
24.7,1565.56,0.247,1.74
24.8,1591.74,0.248,1.769
24.9,1644.1,0.249,1.827
25.0,1565.56,0.25,1.74
25.1,1565.56,0.251,1.74
25.2,1565.56,0.252,1.74
25.3,1565.56,0.253,1.74
25.4,1565.56,0.254,1.74
25.5,1565.56,0.255,1.74
25.6,1644.1,0.256,1.827
25.7,1565.56,0.257,1.74
25.8,1617.92,0.258,1.798
25.9,1644.1,0.259,1.827
26.0,1539.38,0.26,1.71
26.1,1487.02,0.261,1.652
26.2,1565.56,0.262,1.74
26.3,1670.28,0.263,1.856
26.4,1565.56,0.264,1.74
26.5,1523.68,0.265,1.693
26.6,1644.1,0.266,1.827
26.7,1644.1,0.267,1.827
26.8,1607.45,0.268,1.786
26.9,1539.38,0.269,1.71
27.0,1581.27,0.27,1.757
27.1,1591.74,0.271,1.769
27.2,1565.56,0.272,1.74
27.3,1659.81,0.273,1.844
27.4,1565.56,0.274,1.74
27.5,1591.74,0.275,1.769
27.6,1591.74,0.276,1.769
27.7,1644.1,0.277,1.827
27.8,1617.92,0.278,1.798
27.9,1434.66,0.279,1.594
28.0,1487.02,0.28,1.652
28.1,1617.92,0.281,1.798
28.2,1685.99,0.282,1.873
28.3,1565.56,0.283,1.74
28.4,1633.63,0.284,1.815
28.5,1581.27,0.285,1.757
28.6,1607.45,0.286,1.786
