Time,Average Ln(Abs(zi/z_goal)),Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,0.086,0.0,0.0,14.5,13.3,-14.5,-14.2,113.0,0.0
0.1,0.087,104.3,0.001,14.5,13.3,-14.5,-14.3,113.2,0.921
0.2,0.09,104.3,0.002,14.4,13.2,-14.4,-14.2,112.4,0.928
0.3,0.087,104.3,0.003,14.4,13.1,-14.4,-14.2,112.2,0.93
0.4,0.089,104.3,0.004,14.3,13.1,-14.4,-14.2,112.0,0.931
0.5,0.086,104.3,0.005,14.2,13.0,-14.3,-14.2,111.4,0.936
0.6,0.082,104.3,0.006,14.2,13.0,-14.2,-14.1,111.0,0.94
0.7,0.082,104.3,0.007,14.2,13.0,-14.1,-14.1,110.8,0.941
0.8,0.081,103.14,0.008,14.1,12.9,-14.1,-14.0,110.2,0.936
0.9,0.08,101.97,0.009,14.0,12.9,-14.0,-14.0,109.8,0.929
1.0,0.08,101.97,0.01,14.0,12.9,-13.9,-14.0,109.6,0.93
1.1,0.075,101.97,0.011,13.9,12.9,-13.9,-14.0,109.4,0.932
1.2,0.074,101.97,0.012,13.8,12.8,-13.8,-14.0,108.8,0.937
1.3,0.074,101.97,0.013,13.8,12.7,-13.8,-14.0,108.6,0.939
1.4,0.073,101.97,0.014,13.7,12.7,-13.7,-14.0,108.2,0.942
1.5,0.074,101.97,0.015,13.6,12.7,-13.7,-14.0,108.0,0.944
1.6,0.07,101.97,0.016,13.6,12.6,-13.6,-13.9,107.4,0.949
1.7,0.07,97.3,0.017,13.5,12.6,-13.5,-13.9,107.0,0.909
1.8,0.072,96.14,0.018,13.4,12.5,-13.5,-13.8,106.4,0.904
1.9,0.069,95.44,0.019,13.4,12.5,-13.4,-13.8,106.2,0.899
2.0,0.069,94.27,0.02,13.3,12.5,-13.4,-13.7,105.8,0.891
2.1,0.067,94.27,0.021,13.3,12.5,-13.3,-13.7,105.6,0.893
2.2,0.068,94.27,0.022,13.2,12.4,-13.2,-13.6,104.8,0.9
2.3,0.072,94.27,0.023,13.2,12.4,-13.2,-13.6,104.8,0.9
2.4,0.07,96.6,0.024,13.1,12.3,-13.1,-13.5,104.0,0.929
2.5,0.072,98.94,0.025,13.0,12.3,-13.1,-13.5,103.8,0.953
2.6,0.072,95.44,0.026,13.0,12.3,-13.1,-13.4,103.6,0.921
2.7,0.071,93.8,0.027,12.9,12.2,-13.0,-13.3,102.8,0.912
2.8,0.07,91.24,0.028,12.9,12.2,-13.0,-13.3,102.8,0.888
2.9,0.069,92.4,0.029,12.9,12.2,-12.9,-13.2,102.4,0.902
3.0,0.066,91.24,0.03,12.8,12.1,-12.9,-13.2,102.0,0.895
3.1,0.068,91.24,0.031,12.8,12.1,-12.8,-13.1,101.6,0.898
3.2,0.066,87.74,0.032,12.7,12.1,-12.8,-13.0,101.2,0.867
3.3,0.065,89.6,0.033,12.7,12.0,-12.7,-13.0,100.8,0.889
3.4,0.066,87.27,0.034,12.7,11.9,-12.6,-12.9,100.2,0.871
3.5,0.065,87.27,0.035,12.6,11.9,-12.6,-12.9,100.0,0.873
3.6,0.067,85.64,0.036,12.6,11.9,-12.5,-12.8,99.6,0.86
3.7,0.065,83.3,0.037,12.5,11.9,-12.5,-12.7,99.2,0.84
3.8,0.063,83.3,0.038,12.5,11.9,-12.4,-12.7,99.0,0.841
3.9,0.064,83.3,0.039,12.4,11.8,-12.4,-12.6,98.4,0.847
4.0,0.064,84.47,0.04,12.4,11.8,-12.3,-12.6,98.2,0.86
4.1,0.066,86.8,0.041,12.4,11.7,-12.3,-12.5,97.8,0.888
