Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,12.6,3.0,,,-0.75,-2.58,-13.35,-5.58,14.469,0.0,0.482,-0.923,-0.386,
0.0,2,-1.2,10.8,,,-0.75,-2.58,0.45,-13.38,13.388,0.0,0.446,0.034,-0.999,
0.0,3,-0.2,7.5,,,-0.75,-2.58,-0.55,-10.08,10.095,0.0,0.336,-0.054,-0.999,
0.0,4,7.7,3.8,,,-0.75,-2.58,-8.45,-6.38,10.588,0.0,0.353,-0.798,-0.603,
0.1,1,12.5,3.0,-0.9,-0.1,-0.83,-2.48,-13.33,-5.48,14.412,0.001,0.48,-0.925,-0.38,0.9608167770419427
0.1,2,-1.2,10.8,0.3,-0.8,-0.83,-2.48,0.37,-13.28,13.285,0.001,0.443,0.028,-1.0,0.9466042154566745
0.1,3,-0.3,7.4,-0.2,-0.7,-0.83,-2.48,-0.53,-9.88,9.894,0.001,0.33,-0.054,-0.999,0.9754120879120879
0.1,4,7.6,3.7,-0.5,-0.7,-0.83,-2.48,-8.43,-6.18,10.453,0.001,0.348,-0.806,-0.591,0.9496511627906977
0.2,1,12.4,3.0,-0.8,-0.4,-0.77,-2.6,-13.17,-5.6,14.311,0.002,0.477,-0.92,-0.391,0.9982102908277406
0.2,2,-1.2,10.7,-0.1,-0.8,-0.77,-2.6,0.43,-13.3,13.307,0.002,0.444,0.032,-0.999,0.9875930521091811
0.2,3,-0.3,7.3,-0.1,-0.9,-0.77,-2.6,-0.47,-9.9,9.911,0.002,0.33,-0.047,-0.999,0.9975717439293599
0.2,4,7.5,3.7,-0.7,-0.3,-0.77,-2.6,-8.27,-6.3,10.396,0.002,0.347,-0.795,-0.606,0.9688976377952755
0.3,1,12.3,3.0,-0.8,-0.0,-0.87,-2.68,-13.17,-5.68,14.343,0.003,0.478,-0.918,-0.396,0.918
0.3,2,-1.2,10.6,-0.0,-0.8,-0.87,-2.68,0.33,-13.28,13.284,0.003,0.443,0.025,-1.0,1.0
0.3,3,-0.3,7.2,-0.1,-0.8,-0.87,-2.68,-0.57,-9.88,9.896,0.003,0.33,-0.058,-0.998,0.9977667493796526
0.3,4,7.5,3.7,-0.7,-0.3,-0.87,-2.68,-8.37,-6.38,10.524,0.003,0.351,-0.795,-0.606,0.9688976377952755
0.4,1,12.2,3.0,-0.9,-0.1,-0.74,-2.7,-12.94,-5.7,14.14,0.004,0.471,-0.915,-0.403,0.9534216335540838
0.4,2,-1.2,10.5,0.1,-0.8,-0.74,-2.7,0.46,-13.2,13.208,0.004,0.44,0.035,-0.999,0.9959057071960297
0.4,3,-0.3,7.1,-0.2,-0.9,-0.74,-2.7,-0.44,-9.8,9.81,0.004,0.327,-0.045,-0.999,0.9849240780911063
0.4,4,7.4,3.6,-0.7,-0.2,-0.74,-2.7,-8.14,-6.3,10.293,0.004,0.343,-0.791,-0.612,0.9287087912087911
0.5,1,12.1,2.9,-0.7,-0.1,-0.65,-2.6,-12.75,-5.5,13.886,0.005,0.463,-0.918,-0.396,0.9649222065063648
0.5,2,-1.2,10.4,-0.1,-0.8,-0.65,-2.6,0.55,-13.0,13.012,0.005,0.434,0.042,-0.999,0.9863523573200993
0.5,3,-0.3,7.1,-0.0,-0.9,-0.65,-2.6,-0.35,-9.7,9.706,0.005,0.324,-0.036,-0.999,0.999
0.5,4,7.3,3.6,-0.7,-0.2,-0.65,-2.6,-7.95,-6.2,10.082,0.005,0.336,-0.789,-0.615,0.9276098901098901
0.6,1,12.1,2.9,-0.9,-0.1,-0.79,-2.61,-12.89,-5.51,14.018,0.006,0.467,-0.92,-0.393,0.9572847682119205
0.6,2,-1.1,10.4,0.1,-0.8,-0.79,-2.61,0.31,-13.01,13.014,0.006,0.434,0.024,-1.0,0.9955334987593052
0.6,3,-0.3,7.0,-0.1,-0.8,-0.79,-2.61,-0.49,-9.61,9.622,0.006,0.321,-0.051,-0.999,0.9978908188585608
0.6,4,7.2,3.6,-0.8,-0.2,-0.79,-2.61,-7.99,-6.21,10.119,0.006,0.337,-0.79,-0.614,0.9149090909090911
0.7,1,12.0,2.9,-0.9,-0.2,-0.69,-2.7,-12.69,-5.6,13.871,0.007,0.462,-0.915,-0.404,0.9808026030368763
0.7,2,-1.1,10.3,0.1,-0.9,-0.69,-2.7,0.41,-13.0,13.006,0.007,0.434,0.032,-1.0,0.9969094922737306
0.7,3,-0.3,6.9,0.0,-0.9,-0.69,-2.7,-0.39,-9.6,9.608,0.007,0.32,-0.041,-0.999,0.999
0.7,4,7.2,3.5,-0.8,-0.4,-0.69,-2.7,-7.89,-6.2,10.035,0.007,0.334,-0.786,-0.618,0.9798657718120806
0.8,1,11.9,2.9,-0.9,-0.0,-0.58,-2.63,-12.48,-5.53,13.65,0.008,0.455,-0.914,-0.405,0.9139999999999999
0.8,2,-1.1,10.2,0.1,-0.9,-0.58,-2.63,0.52,-12.83,12.841,0.008,0.428,0.04,-0.999,0.9967991169977924
0.8,3,-0.3,6.8,-0.2,-0.8,-0.58,-2.63,-0.28,-9.43,9.434,0.008,0.314,-0.03,-1.0,0.976969696969697
0.8,4,7.1,3.5,-0.8,-0.3,-0.58,-2.63,-7.68,-6.13,9.826,0.008,0.328,-0.782,-0.624,0.9517564402810306
0.9,1,11.8,2.9,-0.8,-0.2,-0.71,-2.65,-12.51,-5.55,13.686,0.009,0.456,-0.914,-0.406,0.9847272727272729
0.9,2,-1.1,10.1,-0.0,-0.7,-0.71,-2.65,0.39,-12.75,12.756,0.009,0.425,0.031,-1.0,1.0
0.9,3,-0.3,6.7,-0.1,-0.7,-0.71,-2.65,-0.41,-9.35,9.359,0.009,0.312,-0.044,-0.999,0.9953323903818952
0.9,4,7.0,3.5,-0.7,-0.4,-0.71,-2.65,-7.71,-6.15,9.862,0.009,0.329,-0.782,-0.624,0.988833746898263
1.0,1,11.7,2.9,-0.9,-0.2,-0.79,-2.75,-12.49,-5.65,13.708,0.01,0.457,-0.911,-0.412,0.9786334056399133
1.0,2,-1.1,10.0,0.1,-0.9,-0.79,-2.75,0.31,-12.75,12.754,0.01,0.425,0.024,-1.0,0.9960264900662251
1.0,3,-0.3,6.6,0.0,-0.9,-0.79,-2.75,-0.49,-9.35,9.363,0.01,0.312,-0.052,-0.999,0.999
1.0,4,6.9,3.4,-0.8,-0.2,-0.79,-2.75,-7.69,-6.15,9.847,0.01,0.328,-0.781,-0.625,0.9088484848484849
1.1,1,11.6,2.9,-0.8,-0.0,-0.92,-2.78,-12.52,-5.68,13.748,0.011,0.458,-0.911,-0.413,0.9110000000000001
1.1,2,-1.1,9.9,-0.1,-0.9,-0.92,-2.78,0.18,-12.68,12.681,0.011,0.423,0.014,-1.0,0.991832229580574
1.1,3,-0.3,6.6,-0.1,-0.8,-0.92,-2.78,-0.62,-9.38,9.4,0.011,0.313,-0.066,-0.998,0.9987593052109182
1.1,4,6.8,3.4,-0.9,-0.3,-0.92,-2.78,-7.72,-6.18,9.889,0.011,0.33,-0.781,-0.625,0.938250790305585
1.2,1,11.6,2.9,-0.7,-0.1,-0.99,-2.67,-12.59,-5.57,13.767,0.012,0.459,-0.915,-0.405,0.9632248939179632
1.2,2,-1.1,9.9,0.0,-0.7,-0.99,-2.67,0.11,-12.57,12.57,0.012,0.419,0.009,-1.0,1.0
1.2,3,-0.3,6.5,-0.1,-0.9,-0.99,-2.67,-0.69,-9.17,9.196,0.012,0.307,-0.075,-0.997,0.9986754966887417
1.2,4,6.8,3.4,-0.7,-0.2,-0.99,-2.67,-7.79,-6.07,9.876,0.012,0.329,-0.789,-0.615,0.9276098901098901
