Time,ID,behv,com_radius,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,seeker,5,100.0,-6.4,2.6,-56.894,,,,-6.4,2.6,-47.935,1
0.0,2,seeker,5,100.0,-5.9,5.4,-52.339,,,,-5.9,5.4,-63.763,2
0.0,3,seeker,5,100.0,7.0,-9.6,-205.532,,,,7.0,-9.6,-142.351,3
0.0,4,seeker,5,100.0,3.0,7.0,-16.636,,,,3.0,7.0,-58.261,4
0.0,5,seeker,5,100.0,9.9,-2.6,-112.838,,,,9.9,-2.6,-103.941,5
0.0,6,explorer,10,100.0,8.9,-4.4,-121.2,,,,8.9,-4.4,-98.0,6
0.0,7,explorer,10,100.0,4.2,-4.5,-71.9,,,,4.2,-4.5,-37.5,7
0.0,8,explorer,10,100.0,-3.8,-2.7,-61.1,,,,-3.8,-2.7,-21.5,8
0.0,9,explorer,10,100.0,-3.2,-1.9,-46.7,,,,-3.2,-1.9,-13.8,9
0.0,10,explorer,10,100.0,7.7,-3.7,-94.8,,,,7.7,-3.7,-73.6,10
0.0,11,isocontour,6,100.0,6.5,2.5,-30.3,,,,6.5,2.5,-48.4,11
0.0,12,isocontour,6,100.0,-7.0,3.6,-65.9,,,,-7.0,3.6,-62.4,12
0.0,13,isocontour,6,100.0,1.4,1.7,-2.9,,,,1.4,1.7,-4.9,13
0.0,14,isocontour,6,100.0,-3.3,9.8,-60.2,,,,-3.3,9.8,-107.4,14
0.0,15,isocontour,6,100.0,-3.7,-3.0,-64.0,,,,-3.7,-3.0,-22.8,15
0.0,Target,,,,1.09,3.41,-12.818,-0.57,-3.28,,,,,
0.1,1,seeker,5,99.98,-6.3,2.5,-57.588,1.2,-1.4,1.8,-3.2,-1.9,-13.8,9
0.1,2,seeker,5,99.99,-5.8,5.3,-54.716,0.5,-1.4,1.5,-3.2,-1.9,-13.8,9
0.1,3,seeker,5,99.99,7.0,-9.5,-191.31,-1.0,1.4,1.7,4.2,-4.5,-37.5,7
0.1,4,seeker,5,99.99,2.9,6.9,-16.809,-0.6,-1.5,1.6,1.4,1.7,-2.9,13
0.1,5,seeker,5,99.99,9.7,-2.7,-104.363,-1.6,-0.7,1.7,4.2,-4.5,-37.5,7
0.1,6,explorer,10,99.99,9.0,-4.5,-116.9,0.9,-1.1,1.4,4.2,-4.5,-37.5,7
