Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
0.0,1.42,-1.7600000000000002,4.19,-5.52,-2.7700000000000005,3.7599999999999993,4.670171303068015
0.1,3.54,-2.22,4.21,-5.18,-0.6699999999999999,2.9599999999999995,3.034880557781475
0.2,3.54,-2.22,4.23,-4.85,-0.6900000000000004,2.6299999999999994,2.7190071717448627
0.3,3.54,-2.3,4.45,-4.6,-0.9100000000000001,2.3,2.473479330821262
0.4,3.46,-2.46,4.68,-4.84,-1.2199999999999998,2.38,2.674471910489994
0.5,3.46,-2.46,4.7,-4.51,-1.2400000000000002,2.05,2.3958505796480716
0.6,3.46,-2.46,4.94,-4.74,-1.4800000000000004,2.2800000000000002,2.7182347212851217
0.7,3.46,-2.46,5.26,-4.63,-1.7999999999999998,2.17,2.8193793643282556
0.8,3.46,-2.46,5.02,-4.41,-1.5599999999999996,1.9500000000000002,2.497218452598811
0.9,3.46,-2.46,4.87,-4.11,-1.4100000000000001,1.6500000000000004,2.170391669722311
1.0,2.2399999999999998,-2.18,4.56,-3.99,-2.32,1.81,2.942532922500613
1.1,3.46,-2.46,4.41,-3.69,-0.9500000000000002,1.23,1.554155719353759
1.2,3.46,-2.46,4.43,-4.02,-0.9699999999999998,1.5599999999999996,1.8369812192834194
1.3,3.46,-2.46,4.18,-3.81,-0.7199999999999998,1.35,1.53
1.4,3.46,-2.46,4.32,-3.51,-0.8600000000000003,1.0499999999999998,1.3572398461583717
1.5,3.46,-2.46,4.26,-3.18,-0.7999999999999998,0.7200000000000002,1.0762899237658967
1.6,3.46,-2.46,4.19,-3.51,-0.7300000000000004,1.0499999999999998,1.2788275880665072
1.7,3.46,-2.46,4.24,-3.18,-0.7800000000000002,0.7200000000000002,1.0615083607772482
1.8,3.46,-2.46,4.48,-2.95,-1.0200000000000005,0.4900000000000002,1.1315917991926245
1.9,3.46,-2.46,4.81,-2.94,-1.3499999999999996,0.48,1.432794472351146
2.0,2.8,-2.46,5.15,-2.96,-2.3500000000000005,0.5,2.402602755346793
2.1,3.46,-2.46,5.4,-2.74,-1.9400000000000004,0.28000000000000025,1.9601020381602592
2.2,3.46,-2.46,5.39,-2.41,-1.9299999999999997,-0.04999999999999982,1.930647559758124
2.3,3.46,-2.46,5.54,-2.71,-2.08,0.25,2.0949701668520246
2.4,3.46,-2.46,5.64,-2.39,-2.1799999999999997,-0.06999999999999984,2.1811235636707975
2.5,3.46,-2.46,5.53,-2.07,-2.0700000000000003,-0.3900000000000001,2.106418761785035
2.6,3.46,-2.46,5.24,-2.23,-1.7800000000000002,-0.22999999999999998,1.7947980387776228
2.7,3.46,-2.46,5.45,-1.97,-1.9900000000000002,-0.49,2.0494389476146884
2.8,3.46,-2.46,5.25,-1.7,-1.79,-0.76,1.944659353203023
2.9,3.46,-2.46,5.37,-1.39,-1.9100000000000001,-1.07,2.1892921230388604
3.0,3.3,-2.26,5.6,-1.63,-2.3,-0.6299999999999999,2.3847222060441333
3.1,4.08,-2.88,5.28,-1.52,-1.2000000000000002,-1.3599999999999999,1.8137254478007414
3.2,4.140000000000001,-2.9200000000000004,5.27,-1.19,-1.129999999999999,-1.7300000000000004,2.0663494380186522
3.3,4.16,-2.9200000000000004,5.46,-0.92,-1.2999999999999998,-2.0000000000000004,2.3853720883753127
3.4,4.16,-2.9200000000000004,5.53,-1.24,-1.37,-1.6800000000000004,2.1677868898948534
3.5,4.16,-2.9200000000000004,5.83,-1.09,-1.67,-1.8300000000000003,2.477458375028731
3.6,4.16,-2.9200000000000004,5.54,-1.26,-1.38,-1.6600000000000004,2.1587033144922905
3.7,4.16,-2.9200000000000004,5.86,-1.15,-1.7000000000000002,-1.7700000000000005,2.454159734002659
3.8,4.16,-2.9200000000000004,5.63,-1.39,-1.4699999999999998,-1.5300000000000005,2.121744565210431
3.9,4.16,-2.9200000000000004,5.79,-1.68,-1.63,-1.2400000000000004,2.048047851003487
4.0,3.84,-2.3,5.61,-1.96,-1.7700000000000005,-0.33999999999999986,1.8023595645708437
4.1,4.16,-2.9200000000000004,5.94,-2.01,-1.7800000000000002,-0.9100000000000006,1.9991248085099644
4.2,4.16,-2.9200000000000004,6.24,-1.87,-2.08,-1.0500000000000003,2.33
4.3,4.16,-2.9200000000000004,6.15,-2.19,-1.9900000000000002,-0.7300000000000004,2.119669785603409
4.4,4.16,-2.9200000000000004,5.83,-2.08,-1.67,-0.8400000000000003,1.8693581786270925
4.5,4.16,-2.9200000000000004,6.15,-1.98,-1.9900000000000002,-0.9400000000000004,2.2008407484413772
4.6,4.16,-2.9200000000000004,6.42,-2.18,-2.26,-0.7400000000000002,2.3780664414603723
4.7,4.16,-2.9200000000000004,6.68,-1.98,-2.5199999999999996,-0.9400000000000004,2.6896096371034957
4.8,4.16,-2.9200000000000004,6.4,-1.8,-2.24,-1.1200000000000003,2.5043961347997645
4.9,4.16,-2.9200000000000004,6.17,-2.04,-2.01,-0.8800000000000003,2.1941968918034678
5.0,4.16,-2.6399999999999997,6.31,-2.34,-2.1499999999999995,-0.2999999999999998,2.1708293346092407
5.1,4.92,-2.5599999999999996,5.98,-2.3,-1.0600000000000005,-0.2599999999999998,1.0914210919713807
5.2,4.92,-2.62,6.03,-2.63,-1.1100000000000003,0.009999999999999787,1.1100450441310932
5.3,4.9399999999999995,-2.58,6.12,-2.31,-1.1800000000000006,-0.27,1.2104957662049056
5.4,4.96,-2.58,5.89,-2.55,-0.9299999999999997,-0.03000000000000025,0.9304837451562491
5.5,5.08,-2.46,6.11,-2.8,-1.0300000000000002,0.33999999999999986,1.0846658471621573
