Time,ID,behv,com_radius,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,isocontour,5,100.0,-14.3,-2.0,-901.2,,,,-14.3,-2.0,-209.5,1
0.0,2,isocontour,5,100.0,1.6,-8.7,-186.2,,,,1.6,-8.7,-78.0,2
0.0,3,isocontour,5,100.0,2.6,13.0,-1097.1,,,,2.6,13.0,-175.6,3
0.0,4,isocontour,5,100.0,-7.0,-18.1,-299.4,,,,-7.0,-18.1,-377.7,4
0.0,5,isocontour,5,100.0,-3.0,13.5,-1247.9,,,,-3.0,13.5,-191.7,5
0.0,6,isocontour,5,100.0,-14.6,-19.6,-618.2,,,,-14.6,-19.6,-596.1,6
0.0,7,isocontour,5,100.0,12.1,2.8,-488.7,,,,12.1,2.8,-153.4,7
0.0,8,isocontour,5,100.0,9.6,-8.4,-118.4,,,,9.6,-8.4,-161.7,8
0.0,9,isocontour,5,100.0,8.3,-1.3,-324.9,,,,8.3,-1.3,-70.9,9
0.0,10,isocontour,5,100.0,-6.1,2.5,-739.2,,,,-6.1,2.5,-43.1,10
0.0,11,isocontour,5,100.0,13.6,19.4,-1501.1,,,,13.6,19.4,-561.2,11
0.0,12,isocontour,5,100.0,16.4,-7.2,-181.0,,,,16.4,-7.2,-319.7,12
0.0,13,isocontour,5,100.0,-0.2,9.7,-945.5,,,,-0.2,9.7,-94.1,13
0.0,14,isocontour,5,100.0,1.7,4.6,-638.4,,,,1.7,4.6,-23.7,14
0.0,15,isocontour,5,100.0,-9.4,7.5,-1101.9,,,,-9.4,7.5,-144.5,15
0.0,16,isocontour,5,100.0,11.4,19.6,-1506.5,,,,11.4,19.6,-513.2,16
0.0,17,isocontour,5,100.0,6.6,9.9,-863.5,,,,6.6,9.9,-141.6,17
0.0,18,isocontour,5,100.0,-5.4,-3.7,-485.4,,,,-5.4,-3.7,-42.7,18
0.0,19,isocontour,5,100.0,-15.1,0.4,-1030.6,,,,-15.1,0.4,-228.5,19
0.0,20,isocontour,5,100.0,-6.7,-2.7,-561.8,,,,-6.7,-2.7,-51.7,20
0.0,21,isocontour,5,100.0,15.6,-14.3,-52.6,,,,15.6,-14.3,-449.1,21
0.0,22,isocontour,5,100.0,8.9,-14.1,-28.2,,,,8.9,-14.1,-278.4,22
0.0,23,isocontour,5,100.0,14.4,8.1,-760.8,,,,14.4,8.1,-271.9,23
0.0,24,isocontour,5,100.0,-8.4,2.7,-830.7,,,,-8.4,2.7,-77.6,24
0.0,25,isocontour,5,100.0,14.6,-9.8,-107.3,,,,14.6,-9.8,-309.4,25
0.0,26,isocontour,5,100.0,-6.9,-11.8,-351.0,,,,-6.9,-11.8,-186.6,26
0.0,27,isocontour,5,100.0,-15.3,-13.3,-691.7,,,,-15.3,-13.3,-412.3,27
0.0,28,isocontour,5,100.0,1.9,14.6,-1214.4,,,,1.9,14.6,-216.9,28
0.0,29,isocontour,5,100.0,3.4,-10.7,-119.5,,,,3.4,-10.7,-126.3,29
0.0,30,isocontour,5,100.0,-14.1,9.4,-1414.3,,,,-14.1,9.4,-287.3,30
0.0,Target,,,,10.29,-19.22,-475.276,0.35,1.29,,,,,
0.1,1,isocontour,5,100.0,-14.3,-2.0,-904.0,-0.2,0.3,0.4,-14.3,-2.0,-209.5,1
0.1,2,isocontour,5,100.0,1.7,-8.7,-184.4,0.3,-0.3,0.4,1.7,-8.7,-78.0,2
0.1,3,isocontour,5,100.0,2.5,12.9,-1089.4,-0.8,-0.6,1.0,-0.2,9.7,-94.1,13
0.1,4,isocontour,5,100.0,-7.0,-18.2,-301.7,0.1,-0.3,0.3,-7.0,-18.2,-299.4,4
0.1,5,isocontour,5,100.0,-2.9,13.5,-1238.9,0.5,-0.6,0.8,-0.2,9.7,-94.1,13
0.1,6,isocontour,5,100.0,-14.6,-19.6,-623.0,-0.1,0.3,0.3,-14.6,-19.6,-596.1,6
0.1,7,isocontour,5,100.0,12.1,2.8,-485.4,-0.0,0.3,0.3,12.1,2.8,-153.4,7
