Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,seeker,5,47520,100.0,13.2,13.1,-1197.449,,,,13.2,13.1,-347.136,1
0.0,2,explorer,10,47520,100.0,-9.3,17.8,-374.7,,,,-9.3,17.8,-402.8,2
0.0,3,explorer,10,47520,100.0,11.0,-3.8,-945.2,,,,11.0,-3.8,-136.5,3
0.0,4,explorer,10,47520,100.0,12.6,11.6,-1125.7,,,,12.6,11.6,-293.3,4
0.0,5,explorer,10,47520,100.0,-6.2,19.3,-499.4,,,,-6.2,19.3,-411.5,5
0.0,6,explorer,10,47520,100.0,2.9,-0.5,-496.2,,,,2.9,-0.5,-8.8,6
0.0,7,explorer,10,47520,100.0,2.4,1.5,-468.2,,,,2.4,1.5,-7.7,7
0.0,8,explorer,10,47520,100.0,14.1,15.6,-1322.1,,,,14.1,15.6,-442.9,8
0.0,9,explorer,10,47520,100.0,-7.5,-15.3,-413.6,,,,-7.5,-15.3,-291.0,9
0.0,10,explorer,10,47520,100.0,-0.2,-8.2,-453.8,,,,-0.2,-8.2,-67.8,10
0.0,11,explorer,10,47520,100.0,16.6,13.6,-1444.1,,,,16.6,13.6,-462.2,11
0.0,12,explorer,10,47520,100.0,2.0,-10.7,-593.8,,,,2.0,-10.7,-117.6,12
0.0,13,explorer,10,47520,100.0,2.9,4.1,-502.5,,,,2.9,4.1,-25.7,13
0.0,14,explorer,10,47520,100.0,19.8,19.9,-1879.0,,,,19.8,19.9,-789.9,14
0.0,15,explorer,10,47520,100.0,-13.3,9.8,-110.3,,,,-13.3,9.8,-272.3,15
0.0,16,explorer,10,47520,100.0,18.4,3.9,-1424.4,,,,18.4,3.9,-352.2,16
0.0,17,isocontour,6,47520,100.0,-15.5,18.8,-321.6,,,,-15.5,18.8,-592.5,17
0.0,18,isocontour,6,47520,100.0,0.6,-16.5,-707.9,,,,0.6,-16.5,-272.2,18
0.0,19,isocontour,6,47520,100.0,-14.8,-10.6,-159.8,,,,-14.8,-10.6,-331.0,19
0.0,20,isocontour,6,47520,100.0,9.3,-5.1,-856.3,,,,9.3,-5.1,-112.5,20
0.0,21,isocontour,6,47520,100.0,6.9,-7.0,-750.5,,,,6.9,-7.0,-95.8,21
0.0,Target,,,,,-19.28,1.22,-373.391,0.98,-0.91,,,,,
0.1,1,seeker,5,47519.46,100.0,13.2,13.1,-1202.058,-0.3,-0.7,0.8,12.6,11.6,-293.3,4
0.1,2,explorer,10,47519.96,100.0,-9.2,17.8,-380.3,0.3,-0.0,0.3,-13.3,9.8,-110.3,15
0.1,3,explorer,10,47519.88,100.0,11.1,-3.8,-952.2,0.4,0.1,0.4,2.9,-0.5,-8.8,6
0.1,4,explorer,10,47518.87,100.0,12.6,11.5,-1130.3,-0.2,-0.9,0.9,12.6,11.5,-293.3,4
0.1,5,explorer,10,47519.96,100.0,-6.1,19.3,-506.1,0.3,-0.0,0.3,-9.3,17.8,-374.7,2
0.1,6,explorer,10,47519.9,100.0,2.9,-0.5,-501.1,0.3,-0.3,0.4,2.4,1.5,-7.7,7
0.1,7,explorer,10,47519.82,100.0,2.3,1.4,-470.3,-0.4,-0.3,0.5,2.3,1.4,-7.7,7
0.1,8,explorer,10,47519.77,100.0,14.1,15.7,-1334.7,0.4,0.3,0.5,12.6,11.6,-293.3,4
0.1,9,explorer,10,47519.95,100.0,-7.5,-15.4,-412.6,-0.2,-0.2,0.3,-7.5,-15.4,-291.0,9
0.1,10,explorer,10,47519.95,100.0,-0.2,-8.2,-454.1,-0.2,0.3,0.4,2.9,-0.5,-8.8,6
