Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,-3.0,-1.6,,,-4.11,-17.81,-1.11,-16.21,16.248,0.0,0.406,-0.068,-0.998,
0.0,2,-18.4,-4.6,,,-4.11,-17.81,14.29,-13.21,19.46,0.0,0.487,0.734,-0.679,
0.0,3,-0.5,-8.5,,,-4.11,-17.81,-3.61,-9.31,9.985,0.0,0.25,-0.362,-0.932,
0.0,4,19.7,-0.4,,,-4.11,-17.81,-23.81,-17.41,29.496,0.0,0.737,-0.807,-0.59,
0.01,1,-3.0,-1.6,0.1,-0.3,-4.12,-17.8,-1.12,-16.2,16.239,0.0,0.406,-0.069,-0.998,0.925632911392405
0.01,2,-18.4,-4.6,0.2,0.2,-4.12,-17.8,14.28,-13.2,19.446,0.0,0.486,0.734,-0.679,0.038869257950530076
0.01,3,-0.5,-8.5,0.4,0.4,-4.12,-17.8,-3.62,-9.3,9.98,0.0,0.25,-0.363,-0.932,-0.9151943462897527
0.01,4,19.7,-0.4,-0.1,0.4,-4.12,-17.8,-23.82,-17.4,29.498,0.0,0.737,-0.808,-0.59,-0.37669902912621356
0.02,1,-3.0,-1.6,-0.0,-0.9,-4.11,-17.81,-1.11,-16.21,16.248,0.0,0.406,-0.068,-0.998,0.998
0.02,2,-18.4,-4.6,0.3,0.2,-4.11,-17.81,14.29,-13.21,19.46,0.0,0.487,0.734,-0.679,0.23379501385041546
0.02,3,-0.5,-8.5,-0.1,0.5,-4.11,-17.81,-3.61,-9.31,9.985,0.0,0.25,-0.362,-0.932,-0.8427450980392157
0.02,4,19.7,-0.4,-0.2,0.3,-4.11,-17.81,-23.81,-17.41,29.496,0.0,0.737,-0.807,-0.59,-0.0432132963988919
0.03,1,-3.0,-1.6,-0.1,-0.8,-4.1,-17.81,-1.1,-16.21,16.247,0.0,0.406,-0.068,-0.998,0.9990074441687344
0.03,2,-18.4,-4.6,0.4,0.2,-4.1,-17.81,14.3,-13.21,19.468,0.0,0.487,0.735,-0.679,0.3539149888143176
0.03,3,-0.5,-8.5,-0.1,0.4,-4.1,-17.81,-3.6,-9.31,9.982,0.0,0.25,-0.361,-0.933,-0.8182038834951457
0.03,4,19.7,-0.4,-0.4,0.3,-4.1,-17.81,-23.8,-17.41,29.488,0.0,0.737,-0.807,-0.59,0.2916000000000001
0.04,1,-3.0,-1.6,0.1,-0.9,-4.08,-17.8,-1.08,-16.2,16.236,0.0,0.406,-0.067,-0.998,0.9839955849889624
0.04,2,-18.4,-4.6,0.4,0.3,-4.08,-17.8,14.32,-13.2,19.476,0.0,0.487,0.735,-0.678,0.18119999999999997
0.04,3,-0.5,-8.5,-0.1,0.3,-4.08,-17.8,-3.58,-9.3,9.965,0.0,0.249,-0.359,-0.933,-0.7721518987341772
0.04,4,19.7,-0.3,-0.5,0.2,-4.08,-17.8,-23.78,-17.5,29.525,0.0,0.738,-0.805,-0.593,0.5267161410018554
0.05,1,-3.0,-1.6,-0.1,-0.9,-4.08,-17.81,-1.08,-16.21,16.246,0.0,0.406,-0.066,-0.998,0.9986754966887418
0.05,2,-18.4,-4.6,0.3,0.4,-4.08,-17.81,14.32,-13.21,19.482,0.0,0.487,0.735,-0.678,-0.1014000000000001
0.05,3,-0.5,-8.5,-0.1,0.4,-4.08,-17.81,-3.58,-9.31,9.975,0.0,0.249,-0.359,-0.933,-0.8186893203883496
0.05,4,19.7,-0.3,-0.4,0.1,-4.08,-17.81,-23.78,-17.51,29.531,0.0,0.738,-0.805,-0.593,0.6376213592233011
0.06,1,-3.0,-1.6,0.1,-0.7,-4.09,-17.83,-1.09,-16.23,16.267,0.001,0.407,-0.067,-0.998,0.9786421499292787
0.06,2,-18.4,-4.6,0.3,0.2,-4.09,-17.83,14.31,-13.23,19.489,0.001,0.487,0.734,-0.679,0.23379501385041546
0.06,3,-0.5,-8.5,-0.1,0.5,-4.09,-17.83,-3.59,-9.33,9.997,0.001,0.25,-0.359,-0.933,-0.8443137254901961
0.06,4,19.7,-0.3,-0.3,0.2,-4.09,-17.83,-23.79,-17.53,29.551,0.001,0.739,-0.805,-0.593,0.34044321329639887
0.07,1,-3.0,-1.6,-0.2,0.4,-4.08,-17.82,-1.08,-16.22,16.256,0.001,0.406,-0.066,-0.998,-0.8635346756152126
0.07,2,-18.4,-4.6,0.2,0.4,-4.08,-17.82,14.32,-13.22,19.489,0.001,0.487,0.735,-0.678,-0.2778523489932887
0.07,3,-0.5,-8.5,-0.1,0.4,-4.08,-17.82,-3.58,-9.32,9.984,0.001,0.25,-0.359,-0.933,-0.8186893203883496
0.07,4,19.7,-0.3,-0.3,0.1,-4.08,-17.82,-23.78,-17.52,29.537,0.001,0.738,-0.805,-0.593,0.5765822784810126
0.08,1,-3.0,-1.6,0.5,-0.7,-4.08,-17.81,-1.08,-16.21,16.246,0.001,0.406,-0.066,-0.998,0.773953488372093
0.08,2,-18.4,-4.6,0.4,0.3,-4.08,-17.81,14.32,-13.21,19.482,0.001,0.487,0.735,-0.678,0.18119999999999997
0.08,3,-0.5,-8.5,-0.2,0.3,-4.08,-17.81,-3.58,-9.31,9.975,0.001,0.249,-0.359,-0.933,-0.5764542936288088
0.08,4,19.7,-0.3,-0.5,0.2,-4.08,-17.81,-23.78,-17.51,29.531,0.001,0.738,-0.805,-0.593,0.5267161410018554
0.09,1,-3.0,-1.6,-0.4,0.2,-4.07,-17.79,-1.07,-16.19,16.225,0.001,0.406,-0.066,-0.998,-0.38747203579418343
0.09,2,-18.4,-4.6,0.2,0.2,-4.07,-17.79,14.33,-13.19,19.476,0.001,0.487,0.736,-0.677,0.04169611307420487
0.09,3,-0.5,-8.5,-0.3,0.4,-4.07,-17.79,-3.57,-9.29,9.952,0.001,0.249,-0.359,-0.933,-0.5310000000000001
0.09,4,19.7,-0.3,-0.4,0.3,-4.07,-17.79,-23.77,-17.49,29.511,0.001,0.738,-0.805,-0.593,0.2882000000000002
0.1,1,-3.0,-1.6,0.0,0.5,-4.07,-17.81,-1.07,-16.21,16.245,0.001,0.406,-0.066,-0.998,-0.998
0.1,2,-18.4,-4.6,0.2,0.2,-4.07,-17.81,14.33,-13.21,19.49,0.001,0.487,0.735,-0.678,0.040282685512367376
0.1,3,-0.5,-8.5,-0.1,0.3,-4.07,-17.81,-3.57,-9.31,9.971,0.001,0.249,-0.358,-0.934,-0.7734177215189874
0.1,4,19.7,-0.3,-0.4,0.3,-4.07,-17.81,-23.77,-17.51,29.523,0.001,0.738,-0.805,-0.593,0.2882000000000002
0.11,1,-3.0,-1.6,0.2,-0.7,-4.06,-17.81,-1.06,-16.21,16.245,0.001,0.406,-0.065,-0.998,0.9417582417582417
0.11,2,-18.4,-4.6,0.2,0.3,-4.06,-17.81,14.34,-13.21,19.497,0.001,0.487,0.735,-0.678,-0.15623268698060944
0.11,3,-0.5,-8.5,-0.3,0.5,-4.06,-17.81,-3.56,-9.31,9.967,0.001,0.249,-0.357,-0.934,-0.6173241852487137
0.11,4,19.6,-0.3,-0.5,0.1,-4.06,-17.81,-23.66,-17.51,29.435,0.001,0.736,-0.804,-0.595,0.6715686274509804
0.12,1,-3.0,-1.6,-0.1,0.3,-4.05,-17.8,-1.05,-16.2,16.234,0.001,0.406,-0.065,-0.998,-0.9268987341772151
0.12,2,-18.4,-4.6,0.2,0.3,-4.05,-17.8,14.35,-13.2,19.498,0.001,0.487,0.736,-0.677,-0.1548476454293629
0.12,3,-0.5,-8.5,-0.3,0.4,-4.05,-17.8,-3.55,-9.3,9.955,0.001,0.249,-0.357,-0.934,-0.5330000000000001
0.12,4,19.6,-0.3,-0.5,0.1,-4.05,-17.8,-23.65,-17.5,29.421,0.001,0.736,-0.804,-0.595,0.6715686274509804
0.13,1,-3.0,-1.6,-0.1,0.3,-4.06,-17.79,-1.06,-16.19,16.225,0.001,0.406,-0.065,-0.998,-0.9268987341772151
0.13,2,-18.4,-4.6,0.4,0.2,-4.06,-17.79,14.34,-13.19,19.484,0.001,0.487,0.736,-0.677,0.3557046979865771
0.13,3,-0.5,-8.4,-0.3,0.3,-4.06,-17.79,-3.56,-9.39,10.042,0.001,0.251,-0.355,-0.935,-0.41037735849056617
0.13,4,19.6,-0.3,-0.3,0.1,-4.06,-17.79,-23.66,-17.49,29.423,0.001,0.736,-0.804,-0.594,0.5753164556962025
0.14,1,-3.0,-1.6,0.3,-0.6,-4.05,-17.78,-1.05,-16.18,16.214,0.001,0.405,-0.065,-0.998,0.8633383010432191
0.14,2,-18.4,-4.6,0.2,0.2,-4.05,-17.78,14.35,-13.18,19.484,0.001,0.487,0.737,-0.676,0.043109540636042366
0.14,3,-0.5,-8.4,-0.2,0.3,-4.05,-17.78,-3.55,-9.38,10.029,0.001,0.251,-0.354,-0.935,-0.5808864265927979
0.14,4,19.6,-0.3,-0.3,0.2,-4.05,-17.78,-23.65,-17.48,29.409,0.001,0.735,-0.804,-0.594,0.33905817174515235
0.15,1,-3.0,-1.6,-0.3,0.3,-4.07,-17.78,-1.07,-16.18,16.215,0.002,0.405,-0.066,-0.998,-0.659433962264151
0.15,2,-18.4,-4.6,0.4,0.2,-4.07,-17.78,14.33,-13.18,19.469,0.002,0.487,0.736,-0.677,0.3557046979865771
0.15,3,-0.5,-8.4,-0.2,0.5,-4.07,-17.78,-3.57,-9.38,10.036,0.002,0.251,-0.356,-0.935,-0.7352504638218924
0.15,4,19.6,-0.3,-0.3,0.2,-4.07,-17.78,-23.67,-17.48,29.425,0.002,0.736,-0.804,-0.594,0.33905817174515235
0.16,1,-3.0,-1.6,-0.0,0.4,-4.06,-17.8,-1.06,-16.2,16.235,0.002,0.406,-0.065,-0.998,-0.998
0.16,2,-18.3,-4.6,0.4,0.3,-4.06,-17.8,14.24,-13.2,19.417,0.002,0.485,0.733,-0.68,0.1784
0.16,3,-0.5,-8.4,-0.2,0.3,-4.06,-17.8,-3.56,-9.4,10.052,0.002,0.251,-0.354,-0.935,-0.5808864265927979
0.16,4,19.6,-0.3,-0.3,0.2,-4.06,-17.8,-23.66,-17.5,29.429,0.002,0.736,-0.804,-0.595,0.33850415512465376
0.17,1,-3.0,-1.6,0.3,-0.9,-4.07,-17.81,-1.07,-16.21,16.245,0.002,0.406,-0.066,-0.998,0.9256059009483667
0.17,2,-18.3,-4.6,0.2,0.4,-4.07,-17.81,14.23,-13.21,19.416,0.002,0.485,0.733,-0.68,-0.28053691275167786
0.17,3,-0.5,-8.4,-0.3,0.3,-4.07,-17.81,-3.57,-9.41,10.064,0.002,0.252,-0.355,-0.935,-0.41037735849056617
0.17,4,19.6,-0.3,-0.4,0.3,-4.07,-17.81,-23.67,-17.51,29.443,0.002,0.736,-0.804,-0.595,0.2862000000000001
0.18,1,-3.0,-1.6,-0.2,0.4,-4.07,-17.82,-1.07,-16.22,16.255,0.002,0.406,-0.066,-0.998,-0.8635346756152126
0.18,2,-18.3,-4.6,0.4,0.4,-4.07,-17.82,14.23,-13.22,19.423,0.002,0.486,0.733,-0.681,0.03674911660777383
0.18,3,-0.5,-8.4,-0.3,0.5,-4.07,-17.82,-3.57,-9.42,10.074,0.002,0.252,-0.354,-0.935,-0.6197255574614067
0.18,4,19.6,-0.3,-0.4,0.3,-4.07,-17.82,-23.67,-17.52,29.449,0.002,0.736,-0.804,-0.595,0.2862000000000001
0.19,1,-3.0,-1.6,-0.4,0.3,-4.07,-17.83,-1.07,-16.23,16.265,0.002,0.407,-0.066,-0.998,-0.546
0.19,2,-18.3,-4.6,0.4,0.4,-4.07,-17.83,14.23,-13.23,19.43,0.002,0.486,0.732,-0.681,0.03604240282685508
0.19,3,-0.5,-8.4,-0.1,0.3,-4.07,-17.83,-3.57,-9.43,10.083,0.002,0.252,-0.354,-0.935,-0.7756329113924052
0.19,4,19.6,-0.3,-0.5,0.1,-4.07,-17.83,-23.67,-17.53,29.455,0.002,0.736,-0.804,-0.595,0.6715686274509804
0.2,1,-3.0,-1.6,0.5,-0.4,-4.07,-17.84,-1.07,-16.24,16.275,0.002,0.407,-0.066,-0.998,0.5721875
0.2,2,-18.3,-4.6,0.2,0.4,-4.07,-17.84,14.23,-13.24,19.437,0.002,0.486,0.732,-0.681,-0.2818791946308725
0.2,3,-0.5,-8.4,-0.1,0.4,-4.07,-17.84,-3.57,-9.44,10.092,0.002,0.252,-0.354,-0.935,-0.821844660194175
0.2,4,19.6,-0.3,-0.4,0.3,-4.07,-17.84,-23.67,-17.54,29.46,0.002,0.736,-0.803,-0.595,0.2854000000000001
0.21,1,-3.0,-1.6,-0.3,0.3,-4.06,-17.85,-1.06,-16.25,16.285,0.002,0.407,-0.065,-0.998,-0.6601415094339622
