Setting,Value
animation,False
animation_delay,0.001
timestep,0.01
iterations,10000
map_size,20
external_force_magnitude,0
fidelity,100
target_setting,ON
target_speed,4
seeker_population,4
seeker_speed,2
seeker_com_radius,7
seeker_battery,47520
seeker_gps_accuracy,1
seeker_sensor_accuracy,3
seeker_memory_duration,1
explorer_population,10
explorer_speed,1
explorer_com_radius,10
explorer_battery,47520
explorer_gps_accuracy,1
explorer_sensor_accuracy,1
explorer_memory_duration,5
isocontour_population,5
iso_speed,1.5
iso_com_radius,6
iso_battery,47520
iso_gps_accuracy,1
iso_sensor_accuracy,1
iso_memory_duration,5
isocontour_goal,-200
isocontour_threshold,3
