Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id,N,Ns,Ne,Ni
0.0,1,seeker,7,47520,100.0,1.2,12.5,-382.105,,,,1.2,12.5,-157.821,1,,,,
0.0,2,seeker,7,47520,100.0,-19.0,15.9,-521.471,,,,-19.0,15.9,-615.191,2,,,,
0.0,3,seeker,7,47520,100.0,9.6,8.6,-497.643,,,,9.6,8.6,-164.629,3,,,,
0.0,4,seeker,7,47520,100.0,12.0,-8.3,-439.482,,,,12.0,-8.3,-212.434,4,,,,
0.0,5,explorer,10,47520,100.0,-14.9,18.7,-573.9,,,,-14.9,18.7,-573.2,5,,,,
0.0,6,explorer,10,47520,100.0,13.6,-0.4,-507.2,,,,13.6,-0.4,-183.7,6,,,,
0.0,7,explorer,10,47520,100.0,18.7,-15.8,-878.4,,,,18.7,-15.8,-601.5,7,,,,
0.0,8,explorer,10,47520,100.0,16.5,-16.7,-783.5,,,,16.5,-16.7,-552.1,8,,,,
0.0,9,explorer,10,47520,100.0,-14.3,2.9,-84.7,,,,-14.3,2.9,-211.7,9,,,,
0.0,10,explorer,10,47520,100.0,-10.2,14.0,-342.1,,,,-10.2,14.0,-301.7,10,,,,
0.0,11,explorer,10,47520,100.0,5.6,-17.5,-375.7,,,,5.6,-17.5,-339.6,11,,,,
0.0,12,explorer,10,47520,100.0,-8.6,13.5,-320.5,,,,-8.6,13.5,-257.1,12,,,,
0.0,13,explorer,10,47520,100.0,16.5,9.9,-833.1,,,,16.5,9.9,-369.3,13,,,,
0.0,14,explorer,10,47520,100.0,-0.9,3.6,-123.3,,,,-0.9,3.6,-13.8,14,,,,
0.0,15,explorer,10,47520,100.0,12.4,10.0,-650.7,,,,12.4,10.0,-255.2,15,,,,
0.0,16,explorer,10,47520,100.0,20.0,-18.9,-1027.9,,,,20.0,-18.9,-756.9,16,,,,
0.0,17,explorer,10,47520,100.0,-11.8,0.4,-33.5,,,,-11.8,0.4,-140.5,17,,,,
0.0,18,explorer,10,47520,100.0,12.6,-8.8,-469.6,,,,12.6,-8.8,-236.3,18,,,,
0.0,19,explorer,10,47520,100.0,12.9,9.0,-642.2,,,,12.9,9.0,-247.6,19,,,,
0.0,20,explorer,10,47520,100.0,-18.5,-12.2,-159.8,,,,-18.5,-12.2,-492.6,20,,,,
0.0,21,explorer,10,47520,100.0,8.3,-2.4,-288.8,,,,8.3,-2.4,-74.1,21,,,,
0.0,22,explorer,10,47520,100.0,-14.8,1.5,-73.8,,,,-14.8,1.5,-221.8,22,,,,
0.0,23,explorer,10,47520,100.0,4.0,-13.4,-240.4,,,,4.0,-13.4,-195.2,23,,,,
0.0,24,explorer,10,47520,100.0,13.5,16.8,-936.2,,,,13.5,16.8,-463.6,24,,,,
0.0,25,isocontour,6,47520,100.0,9.2,-7.3,-324.4,,,,9.2,-7.3,-137.6,25,,,,
0.0,26,isocontour,6,47520,100.0,19.4,12.4,-1067.3,,,,19.4,12.4,-530.8,26,,,,
0.0,27,isocontour,6,47520,100.0,-17.5,16.0,-494.1,,,,-17.5,16.0,-561.3,27,,,,
0.0,28,isocontour,6,47520,100.0,5.4,1.9,-236.4,,,,5.4,1.9,-33.0,28,,,,
0.0,29,isocontour,6,47520,100.0,-1.4,-4.2,-51.8,,,,-1.4,-4.2,-19.3,29,,,,
0.0,Target,,,,,-8.61,-4.39,-93.342,0.98,-0.9,,,,,,,,,
0.1,1,seeker,7,47519.58,100.0,1.3,12.5,-379.319,0.7,-0.1,0.7,-0.9,3.6,-13.8,14,2,0,2,0
0.1,2,seeker,7,47519.86,100.0,-19.0,15.9,-521.985,-0.3,-0.3,0.4,-10.2,14.0,-301.7,10,3,0,2,1
0.1,3,seeker,7,47516.65,99.99,9.4,8.5,-486.541,-1.3,-0.3,1.3,9.4,8.5,-164.629,3,5,0,5,0
0.1,4,seeker,7,47519.71,100.0,12.0,-8.2,-436.075,0.5,0.4,0.6,8.3,-2.4,-74.1,21,6,0,5,1
0.1,5,explorer,10,47517.0,99.99,-14.9,18.8,-578.2,0.7,1.1,1.3,-8.6,13.5,-257.1,12,4,1,2,1
0.1,6,explorer,10,47519.61,100.0,13.6,-0.4,-504.1,0.7,-0.0,0.7,8.3,-2.4,-74.1,21,3,0,3,0
0.1,7,explorer,10,47511.02,99.98,18.9,-15.7,-879.1,1.7,0.9,1.9,12.6,-8.8,-236.3,18,3,0,3,0
0.1,8,explorer,10,47517.95,100.0,16.5,-16.8,-777.2,-0.6,-1.0,1.2,12.6,-8.8,-236.3,18,3,0,3,0
0.1,9,explorer,10,47511.96,99.98,-14.3,3.1,-88.4,-0.0,1.8,1.8,-11.8,0.4,-33.5,17,2,0,2,0
0.1,10,explorer,10,47519.36,100.0,-10.2,14.0,-338.4,-0.1,-0.8,0.8,-8.6,13.5,-257.1,12,2,0,2,0
0.1,11,explorer,10,47517.32,99.99,5.7,-17.6,-377.9,1.0,-0.8,1.3,4.0,-13.4,-195.2,23,1,0,1,0
0.1,12,explorer,10,47519.52,100.0,-8.6,13.5,-317.5,0.5,-0.5,0.7,-8.6,13.5,-257.1,12,2,0,2,0
0.1,13,explorer,10,47519.21,100.0,16.6,9.8,-829.1,0.8,-0.2,0.8,12.9,9.0,-247.6,19,4,0,3,1
0.1,14,explorer,10,47519.63,100.0,-1.0,3.6,-119.8,-0.6,-0.0,0.6,-1.0,3.6,-13.8,14,0,0,0,0
