Time,ID,Ne,Area Coverage
0.0,5,,
0.0,6,,
0.0,7,,
0.0,8,,
0.0,9,,
0.0,10,,
0.0,11,,
0.0,12,,
0.0,13,,
0.0,14,,
0.0,15,,
0.0,16,,
0.0,17,,
0.0,18,,
0.0,19,,
0.0,20,,
0.0,21,,
0.0,22,,
0.0,23,,
0.0,24,,
0.1,5,0.0,314.159
0.1,6,2.0,104.72
0.1,7,6.0,44.88
0.1,8,6.0,44.88
0.1,9,7.0,39.27
0.1,10,2.0,104.72
0.1,11,3.0,78.54
0.1,12,2.0,104.72
0.1,13,7.0,39.27
0.1,14,4.0,62.832
0.1,15,7.0,39.27
0.1,16,0.0,314.159
0.1,17,4.0,62.832
0.1,18,2.0,104.72
0.1,19,1.0,157.08
0.1,20,2.0,104.72
0.1,21,8.0,34.907
0.1,22,4.0,62.832
0.1,23,5.0,52.36
0.1,24,4.0,62.832
0.2,5,0.0,314.159
0.2,6,2.0,104.72
0.2,7,6.0,44.88
0.2,8,6.0,44.88
0.2,9,7.0,39.27
0.2,10,2.0,104.72
0.2,11,3.0,78.54
0.2,12,2.0,104.72
0.2,13,8.0,34.907
0.2,14,4.0,62.832
0.2,15,7.0,39.27
0.2,16,0.0,314.159
0.2,17,4.0,62.832
0.2,18,2.0,104.72
0.2,19,1.0,157.08
0.2,20,2.0,104.72
0.2,21,8.0,34.907
0.2,22,4.0,62.832
0.2,23,5.0,52.36
0.2,24,4.0,62.832
0.3,5,0.0,314.159
0.3,6,2.0,104.72
0.3,7,6.0,44.88
0.3,8,6.0,44.88
0.3,9,7.0,39.27
0.3,10,2.0,104.72
0.3,11,4.0,62.832
0.3,12,2.0,104.72
0.3,13,9.0,31.416
0.3,14,5.0,52.36
0.3,15,7.0,39.27
0.3,16,0.0,314.159
0.3,17,4.0,62.832
0.3,18,2.0,104.72
0.3,19,1.0,157.08
0.3,20,2.0,104.72
0.3,21,8.0,34.907
0.3,22,4.0,62.832
0.3,23,5.0,52.36
0.3,24,4.0,62.832
0.4,5,0.0,314.159
0.4,6,2.0,104.72
0.4,7,6.0,44.88
0.4,8,6.0,44.88
0.4,9,7.0,39.27
0.4,10,2.0,104.72
0.4,11,4.0,62.832
0.4,12,2.0,104.72
0.4,13,8.0,34.907
0.4,14,5.0,52.36
0.4,15,6.0,44.88
0.4,16,0.0,314.159
0.4,17,4.0,62.832
0.4,18,2.0,104.72
0.4,19,1.0,157.08
0.4,20,2.0,104.72
0.4,21,8.0,34.907
0.4,22,4.0,62.832
0.4,23,5.0,52.36
0.4,24,4.0,62.832
0.5,5,0.0,314.159
0.5,6,2.0,104.72
0.5,7,6.0,44.88
0.5,8,6.0,44.88
0.5,9,7.0,39.27
0.5,10,2.0,104.72
0.5,11,3.0,78.54
0.5,12,2.0,104.72
0.5,13,8.0,34.907
0.5,14,5.0,52.36
0.5,15,6.0,44.88
0.5,16,0.0,314.159
0.5,17,3.0,78.54
0.5,18,2.0,104.72
0.5,19,1.0,157.08
0.5,20,2.0,104.72
0.5,21,8.0,34.907
0.5,22,4.0,62.832
0.5,23,5.0,52.36
0.5,24,4.0,62.832
0.6,5,0.0,314.159
0.6,6,2.0,104.72
0.6,7,6.0,44.88
0.6,8,6.0,44.88
0.6,9,7.0,39.27
0.6,10,2.0,104.72
0.6,11,3.0,78.54
0.6,12,2.0,104.72
0.6,13,8.0,34.907
0.6,14,5.0,52.36
0.6,15,6.0,44.88
0.6,16,0.0,314.159
0.6,17,3.0,78.54
0.6,18,2.0,104.72
0.6,19,1.0,157.08
0.6,20,2.0,104.72
0.6,21,8.0,34.907
0.6,22,3.0,78.54
0.6,23,5.0,52.36
0.6,24,4.0,62.832
0.7,5,0.0,314.159
0.7,6,2.0,104.72
0.7,7,6.0,44.88
0.7,8,6.0,44.88
0.7,9,7.0,39.27
0.7,10,2.0,104.72
0.7,11,3.0,78.54
0.7,12,2.0,104.72
0.7,13,8.0,34.907
0.7,14,5.0,52.36
0.7,15,5.0,52.36
0.7,16,0.0,314.159
0.7,17,3.0,78.54
0.7,18,2.0,104.72
0.7,19,1.0,157.08
0.7,20,2.0,104.72
0.7,21,7.0,39.27
0.7,22,3.0,78.54
0.7,23,5.0,52.36
0.7,24,4.0,62.832
0.8,5,0.0,314.159
0.8,6,2.0,104.72
0.8,7,5.0,52.36
0.8,8,5.0,52.36
0.8,9,7.0,39.27
0.8,10,2.0,104.72
0.8,11,3.0,78.54
0.8,12,2.0,104.72
0.8,13,8.0,34.907
0.8,14,5.0,52.36
0.8,15,5.0,52.36
0.8,16,0.0,314.159
0.8,17,2.0,104.72
0.8,18,2.0,104.72
0.8,19,1.0,157.08
0.8,20,2.0,104.72
0.8,21,7.0,39.27
0.8,22,3.0,78.54
0.8,23,5.0,52.36
0.8,24,4.0,62.832
0.9,5,0.0,314.159
0.9,6,1.0,157.08
0.9,7,5.0,52.36
0.9,8,5.0,52.36
0.9,9,7.0,39.27
0.9,10,2.0,104.72
0.9,11,3.0,78.54
0.9,12,2.0,104.72
0.9,13,8.0,34.907
0.9,14,5.0,52.36
0.9,15,5.0,52.36
0.9,16,0.0,314.159
0.9,17,1.0,157.08
0.9,18,2.0,104.72
0.9,19,1.0,157.08
0.9,20,2.0,104.72
0.9,21,7.0,39.27
0.9,22,3.0,78.54
0.9,23,5.0,52.36
0.9,24,4.0,62.832
1.0,5,0.0,314.159
1.0,6,1.0,157.08
1.0,7,5.0,52.36
1.0,8,5.0,52.36
1.0,9,7.0,39.27
