Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,1570.8,0.001,0.982
0.2,1570.8,0.002,0.982
0.3,1570.8,0.003,0.982
0.4,1570.8,0.004,0.982
0.5,1570.8,0.005,0.982
0.6,1570.8,0.006,0.982
0.7,1570.8,0.007,0.982
0.8,1570.8,0.008,0.982
0.9,1361.36,0.009,0.851
1.0,1361.36,0.01,0.851
1.1,1361.36,0.011,0.851
1.2,1361.36,0.012,0.851
1.3,1361.36,0.013,0.851
1.4,1361.36,0.014,0.851
1.5,1361.36,0.015,0.851
1.6,1361.36,0.016,0.851
1.7,1361.36,0.017,0.851
1.8,1361.36,0.018,0.851
1.9,1361.36,0.019,0.851
2.0,1361.36,0.02,0.851
2.1,1361.36,0.021,0.851
2.2,1361.36,0.022,0.851
2.3,1361.36,0.023,0.851
2.4,1361.36,0.024,0.851
2.5,1361.36,0.025,0.851
2.6,1361.36,0.026,0.851
2.7,1361.36,0.027,0.851
2.8,1361.36,0.028,0.851
2.9,1361.36,0.029,0.851
3.0,1361.36,0.03,0.851
3.1,1361.36,0.031,0.851
3.2,1361.36,0.032,0.851
3.3,1361.36,0.033,0.851
3.4,1361.36,0.034,0.851
3.5,1361.36,0.035,0.851
3.6,1361.36,0.036,0.851
3.7,1361.36,0.037,0.851
3.8,1361.36,0.038,0.851
3.9,1361.36,0.039,0.851
4.0,1361.36,0.04,0.851
4.1,1361.36,0.041,0.851
4.2,1361.36,0.042,0.851
4.3,1361.36,0.043,0.851
4.4,1361.36,0.044,0.851
4.5,1361.36,0.045,0.851
4.6,1361.36,0.046,0.851
4.7,1361.36,0.047,0.851
4.8,1361.36,0.048,0.851
4.9,1361.36,0.049,0.851
5.0,1361.36,0.05,0.851
5.1,1361.36,0.051,0.851
5.2,1361.36,0.052,0.851
5.3,1361.36,0.053,0.851
5.4,1361.36,0.054,0.851
5.5,1361.36,0.055,0.851
5.6,1361.36,0.056,0.851
5.7,1361.36,0.057,0.851
5.8,1361.36,0.058,0.851
5.9,1361.36,0.059,0.851
6.0,1361.36,0.06,0.851
6.1,1361.36,0.061,0.851
6.2,1361.36,0.062,0.851
6.3,1361.36,0.063,0.851
6.4,1361.36,0.064,0.851
6.5,1361.36,0.065,0.851
6.6,1361.36,0.066,0.851
6.7,1361.36,0.067,0.851
6.8,1361.36,0.068,0.851
6.9,1361.36,0.069,0.851
7.0,1361.36,0.07,0.851
7.1,1361.36,0.071,0.851
7.2,1361.36,0.072,0.851
7.3,1361.36,0.073,0.851
7.4,1361.36,0.074,0.851
7.5,1361.36,0.075,0.851
7.6,1361.36,0.076,0.851
7.7,1361.36,0.077,0.851
7.8,1361.36,0.078,0.851
7.9,1361.36,0.079,0.851
8.0,1361.36,0.08,0.851
8.1,1361.36,0.081,0.851
8.2,1361.36,0.082,0.851
8.3,1361.36,0.083,0.851
8.4,1361.36,0.084,0.851
8.5,1361.36,0.085,0.851
8.6,1361.36,0.086,0.851
8.7,1361.36,0.087,0.851
8.8,1361.36,0.088,0.851
8.9,1361.36,0.089,0.851
9.0,1361.36,0.09,0.851
9.1,1361.36,0.091,0.851
9.2,1361.36,0.092,0.851
9.3,1361.36,0.093,0.851
9.4,1361.36,0.094,0.851
9.5,1361.36,0.095,0.851
9.6,1361.36,0.096,0.851
9.7,1361.36,0.097,0.851
9.8,1361.36,0.098,0.851
9.9,1361.36,0.099,0.851
10.0,1361.36,0.1,0.851
10.1,1361.36,0.101,0.851
10.2,1361.36,0.102,0.851
10.3,1361.36,0.103,0.851
10.4,1361.36,0.104,0.851
10.5,1361.36,0.105,0.851
10.6,1361.36,0.106,0.851
10.7,1361.36,0.107,0.851
10.8,1361.36,0.108,0.851
10.9,1361.36,0.109,0.851
11.0,1361.36,0.11,0.851
11.1,1361.36,0.111,0.851
11.2,1361.36,0.112,0.851
11.3,1361.36,0.113,0.851
11.4,1361.36,0.114,0.851
11.5,1361.36,0.115,0.851
11.6,1361.36,0.116,0.851
11.7,1361.36,0.117,0.851
11.8,1361.36,0.118,0.851
11.9,1361.36,0.119,0.851
12.0,1361.36,0.12,0.851
12.1,1361.36,0.121,0.851
12.2,1361.36,0.122,0.851
12.3,1361.36,0.123,0.851
12.4,1361.36,0.124,0.851
12.5,1361.36,0.125,0.851
12.6,1361.36,0.126,0.851
12.7,1361.36,0.127,0.851
12.8,1361.36,0.128,0.851
12.9,1361.36,0.129,0.851
13.0,1361.36,0.13,0.851
13.1,1361.36,0.131,0.851
13.2,1361.36,0.132,0.851
13.3,1361.36,0.133,0.851
13.4,1361.36,0.134,0.851
13.5,1361.36,0.135,0.851
13.6,1361.36,0.136,0.851
13.7,1361.36,0.137,0.851
13.8,1361.36,0.138,0.851
13.9,1361.36,0.139,0.851
14.0,1361.36,0.14,0.851
14.1,1361.36,0.141,0.851
14.2,1361.36,0.142,0.851
14.3,1361.36,0.143,0.851
14.4,1361.36,0.144,0.851
14.5,1361.36,0.145,0.851
14.6,1361.36,0.146,0.851
14.7,1361.36,0.147,0.851
14.8,1361.36,0.148,0.851
14.9,1361.36,0.149,0.851
15.0,1361.36,0.15,0.851
15.1,1361.36,0.151,0.851
15.2,1361.36,0.152,0.851
15.3,1361.36,0.153,0.851
15.4,1361.36,0.154,0.851
15.5,1361.36,0.155,0.851
15.6,1361.36,0.156,0.851
15.7,1361.36,0.157,0.851
15.8,1361.36,0.158,0.851
15.9,1361.36,0.159,0.851
16.0,1361.36,0.16,0.851
16.1,1361.36,0.161,0.851
