Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,-1.69,1.95,17.47,-9.85,-19.16,11.8,22.502,0.0,0.437,158.4,1.0
0.1,-0.88,0.86,17.35,-9.89,-18.23,10.75,21.164,0.001,0.471,158.38711,1.0
0.2,-0.42,1.67,17.26,-9.99,-17.68,11.66,21.179,0.002,0.471,158.37714,1.0
0.3,-0.4,1.65,17.13,-10.0,-17.53,11.65,21.048,0.003,0.474,158.37235,1.0
0.4,-0.38,1.64,17.23,-9.92,-17.61,11.56,21.065,0.004,0.473,158.36483,1.0
0.5,-0.35,1.63,17.35,-9.97,-17.7,11.6,21.162,0.005,0.471,158.36062,1.0
0.6,-0.34,1.63,17.24,-10.05,-17.58,11.68,21.106,0.006,0.472,158.35576,1.0
0.7,-0.32,1.62,17.12,-10.09,-17.44,11.71,21.007,0.007,0.475,158.3517,1.0
0.8,-0.29,1.62,17.17,-9.97,-17.46,11.59,20.957,0.008,0.476,158.34259,1.0
0.9,0.49,1.93,17.29,-10.03,-16.8,11.96,20.622,0.009,0.484,158.33643,1.0
1.0,1.27,2.23,17.3,-9.9,-16.03,12.13,20.102,0.01,0.497,158.33174,1.0
1.1,1.27,2.24,17.28,-10.03,-16.01,12.27,20.171,0.011,0.496,158.32543,1.0
1.2,1.27,2.25,17.31,-9.9,-16.04,12.15,20.122,0.012,0.497,158.31932,0.999
1.3,1.27,2.25,17.23,-10.0,-15.96,12.25,20.119,0.013,0.497,158.31238,0.999
1.4,1.27,2.25,17.24,-9.87,-15.97,12.12,20.048,0.014,0.499,158.30884,0.999
1.5,1.26,2.24,17.28,-9.74,-16.02,11.98,20.004,0.015,0.5,158.30516,0.999
1.6,1.27,2.24,17.41,-9.77,-16.14,12.01,20.118,0.016,0.497,158.30195,0.999
1.7,1.27,2.24,17.29,-9.83,-16.02,12.07,20.058,0.017,0.499,158.29626,0.999
1.8,1.25,2.23,17.18,-9.9,-15.93,12.13,20.023,0.018,0.499,158.29212,0.999
1.9,1.26,2.23,17.07,-9.98,-15.81,12.21,19.976,0.019,0.501,158.28902,0.999
2.0,1.27,2.23,17.11,-10.11,-15.84,12.34,20.079,0.02,0.498,158.28714,0.999
2.1,1.27,2.24,16.97,-10.1,-15.7,12.34,19.969,0.021,0.501,158.28464,0.999
2.2,1.28,2.23,16.96,-9.97,-15.68,12.2,19.867,0.022,0.503,158.28139,0.999
2.3,1.27,2.24,17.05,-9.86,-15.78,12.1,19.885,0.023,0.503,158.28041,0.999
2.4,1.27,2.24,17.14,-9.96,-15.87,12.2,20.017,0.024,0.5,158.27951,0.999
2.5,1.27,2.24,17.06,-10.06,-15.79,12.3,20.015,0.025,0.5,158.27861,0.999
2.6,1.27,2.24,17.18,-10.03,-15.91,12.27,20.092,0.026,0.498,158.27764,0.999
2.7,1.27,2.24,17.3,-10.1,-16.03,12.34,20.23,0.027,0.494,158.27305,0.999
2.8,1.27,2.24,17.19,-10.17,-15.92,12.41,20.186,0.028,0.495,158.27197,0.999
2.9,1.27,2.24,17.05,-10.18,-15.78,12.42,20.081,0.029,0.498,158.27059,0.999
3.0,1.28,2.22,16.94,-10.25,-15.66,12.47,20.018,0.03,0.5,158.26983,0.999
3.1,1.29,2.22,17.05,-10.17,-15.76,12.39,20.047,0.031,0.499,158.26886,0.999
3.2,1.31,2.21,17.15,-10.09,-15.84,12.3,20.055,0.032,0.499,158.26798,0.999
3.3,1.31,2.2,17.24,-9.99,-15.93,12.19,20.059,0.033,0.499,158.26698,0.999
3.4,1.32,2.21,17.2,-9.86,-15.88,12.07,19.946,0.034,0.501,158.26603,0.999
3.5,1.32,2.22,17.08,-9.9,-15.76,12.12,19.881,0.035,0.503,158.26514,0.999
3.6,1.31,2.22,17.19,-9.84,-15.88,12.06,19.94,0.036,0.501,158.26414,0.999
3.7,1.3,2.22,17.18,-9.7,-15.88,11.92,19.856,0.037,0.504,158.26029,0.999
3.8,1.3,2.22,17.26,-9.6,-15.96,11.82,19.86,0.038,0.504,158.25942,0.999
3.9,1.3,2.22,17.39,-9.59,-16.09,11.81,19.959,0.039,0.501,158.25849,0.999
4.0,1.3,2.22,17.47,-9.69,-16.17,11.91,20.083,0.04,0.498,158.25766,0.999
4.1,1.31,2.22,17.47,-9.82,-16.16,12.04,20.152,0.041,0.496,158.25472,0.999
4.2,1.29,2.22,17.34,-9.79,-16.05,12.01,20.046,0.042,0.499,158.25109,0.999
4.3,1.3,2.22,17.25,-9.89,-15.95,12.11,20.026,0.043,0.499,158.25026,0.999
4.4,1.31,2.21,17.27,-10.02,-15.96,12.23,20.107,0.044,0.497,158.24941,0.999
4.5,1.29,2.21,17.39,-10.08,-16.1,12.29,20.255,0.045,0.494,158.24844,0.999
4.6,1.3,2.21,17.39,-9.95,-16.09,12.16,20.168,0.046,0.496,158.24755,0.999
4.7,1.3,2.22,17.5,-9.88,-16.2,12.1,20.22,0.047,0.495,158.24674,0.999
4.8,1.3,2.22,17.6,-9.97,-16.3,12.19,20.354,0.048,0.491,158.24581,0.999
4.9,1.3,2.22,17.54,-10.09,-16.24,12.31,20.378,0.049,0.491,158.24489,0.999
5.0,-1.79,1.88,17.54,-9.96,-19.33,11.84,22.668,0.05,0.433,158.24074,0.999
5.1,-0.57,0.6,17.59,-9.84,-18.16,10.44,20.947,0.051,0.476,158.23986,0.999
5.2,0.15,0.87,17.6,-9.7,-17.45,10.57,20.402,0.052,0.49,158.23898,0.999
5.3,0.15,0.88,17.7,-9.62,-17.55,10.5,20.451,0.053,0.489,158.2382,0.999
5.4,0.14,0.87,17.61,-9.53,-17.47,10.4,20.331,0.054,0.492,158.23738,0.999
5.5,0.16,0.89,17.48,-9.56,-17.32,10.45,20.228,0.055,0.494,158.23651,0.999
5.6,0.18,0.87,17.41,-9.45,-17.23,10.32,20.084,0.056,0.498,158.23564,0.999
5.7,0.16,0.88,17.29,-9.38,-17.13,10.26,19.968,0.057,0.501,158.23481,0.999
5.8,0.15,0.88,17.29,-9.52,-17.14,10.4,20.048,0.058,0.499,158.23394,0.999
5.9,0.2,0.89,17.2,-9.62,-17.0,10.51,19.986,0.059,0.5,158.23311,0.999
6.0,0.23,0.92,17.17,-9.75,-16.94,10.67,20.02,0.06,0.5,158.23228,0.999
6.1,0.23,0.93,17.15,-9.61,-16.92,10.54,19.934,0.061,0.502,158.23144,0.999
6.2,0.23,0.94,17.14,-9.75,-16.91,10.69,20.006,0.062,0.5,158.23051,0.999
6.3,0.24,0.95,17.24,-9.66,-17.0,10.61,20.039,0.063,0.499,158.22768,0.999
6.4,0.24,0.97,17.13,-9.59,-16.89,10.56,19.919,0.064,0.502,158.2269,0.999
6.5,0.23,0.93,17.25,-9.53,-17.02,10.46,19.977,0.065,0.501,158.22614,0.999
6.6,0.24,0.92,17.22,-9.4,-16.98,10.32,19.87,0.066,0.503,158.22529,0.999
6.7,0.23,0.93,17.14,-9.3,-16.91,10.23,19.764,0.067,0.506,158.22446,0.999
6.8,0.22,0.94,17.0,-9.32,-16.78,10.26,19.668,0.068,0.508,158.22366,0.999
6.9,0.23,0.95,16.95,-9.44,-16.72,10.39,19.685,0.069,0.508,158.22286,0.999
7.0,0.21,0.93,17.02,-9.33,-16.81,10.26,19.694,0.07,0.508,158.22194,0.999
7.1,0.2,0.93,17.15,-9.38,-16.95,10.31,19.839,0.071,0.504,158.2211,0.999
7.2,0.23,0.93,17.06,-9.48,-16.83,10.41,19.789,0.072,0.505,158.22027,0.999
7.3,0.19,0.93,16.97,-9.58,-16.78,10.51,19.8,0.073,0.505,158.21948,0.999
7.4,0.22,0.93,17.05,-9.48,-16.83,10.41,19.789,0.074,0.505,158.21531,0.999
7.5,0.22,0.93,17.14,-9.58,-16.92,10.51,19.918,0.075,0.502,158.21444,0.999
7.6,0.23,0.94,17.12,-9.71,-16.89,10.65,19.967,0.076,0.501,158.21358,0.999
7.7,0.22,0.92,17.22,-9.63,-17.0,10.55,20.008,0.077,0.5,158.21276,0.999
7.8,0.22,0.92,17.16,-9.75,-16.94,10.67,20.02,0.078,0.5,158.21182,0.999
7.9,0.23,0.94,17.09,-9.63,-16.86,10.57,19.899,0.079,0.503,158.21088,0.999
8.0,0.22,0.94,17.2,-9.72,-16.98,10.66,20.049,0.08,0.499,158.21001,0.999
8.1,0.23,0.98,17.24,-9.84,-17.01,10.82,20.16,0.081,0.496,158.2092,0.999
8.2,0.23,0.98,17.27,-9.97,-17.04,10.95,20.255,0.082,0.494,158.20822,0.999
8.3,0.22,0.98,17.35,-9.87,-17.13,10.85,20.277,0.083,0.493,158.20729,0.999
