Time,Average Abs(zi-z_goal)/range,Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,0.277,0.0,0.0,20.1,13.2,-23.4,-21.2,155.8,0.0
0.1,0.277,112.84,0.001,20.0,13.1,-23.3,-21.2,155.2,0.727
0.2,0.277,112.84,0.001,20.0,13.0,-23.3,-21.2,155.0,0.728
0.3,0.277,112.84,0.002,20.1,12.9,-23.3,-21.1,154.8,0.729
0.4,0.277,112.84,0.003,20.2,12.8,-23.4,-21.2,155.2,0.727
0.5,0.277,112.84,0.003,20.3,12.7,-23.5,-21.2,155.4,0.726
0.6,0.277,112.84,0.004,20.3,12.8,-23.5,-21.2,155.6,0.725
0.7,0.276,112.84,0.005,20.2,12.7,-23.5,-21.1,155.0,0.728
0.8,0.275,112.84,0.005,20.2,12.6,-23.5,-21.1,154.8,0.729
0.9,0.274,112.84,0.006,20.2,12.7,-23.5,-21.2,155.2,0.727
1.0,0.273,112.84,0.007,20.2,12.7,-23.5,-21.2,155.2,0.727
1.1,0.271,112.84,0.007,20.2,12.8,-23.6,-21.2,155.6,0.725
1.2,0.27,112.84,0.008,20.2,12.7,-23.6,-21.3,155.6,0.725
1.3,0.268,112.84,0.009,20.1,12.7,-23.7,-21.2,155.4,0.726
1.4,0.266,112.84,0.009,20.1,12.7,-23.7,-21.3,155.6,0.725
1.5,0.264,112.84,0.01,20.1,12.8,-23.7,-21.4,156.0,0.723
1.6,0.262,112.84,0.011,20.1,12.9,-23.7,-21.4,156.2,0.722
1.7,0.26,112.84,0.011,20.0,13.2,-23.7,-21.5,156.8,0.72
1.8,0.257,112.84,0.012,20.1,13.3,-23.7,-21.6,157.4,0.717
1.9,0.253,112.84,0.013,20.0,13.4,-23.5,-21.5,156.8,0.72
2.0,0.25,112.84,0.013,20.0,13.6,-23.4,-21.3,156.6,0.721
2.1,0.246,112.84,0.014,20.0,13.8,-23.2,-21.1,156.2,0.722
2.2,0.242,112.84,0.015,19.9,14.0,-23.1,-21.0,156.0,0.723
2.3,0.238,112.84,0.015,19.9,14.1,-22.9,-20.8,155.4,0.726
2.4,0.233,112.84,0.016,19.8,14.2,-22.8,-20.5,154.6,0.73
2.5,0.229,112.84,0.017,19.9,14.5,-22.6,-20.3,154.6,0.73
2.6,0.223,112.84,0.017,19.9,14.7,-22.5,-20.1,154.4,0.731
2.7,0.217,112.84,0.018,19.9,14.7,-22.4,-19.9,153.8,0.734
2.8,0.212,112.84,0.019,19.9,14.6,-22.3,-19.7,153.0,0.738
2.9,0.207,112.84,0.019,19.8,14.5,-22.1,-19.6,152.0,0.742
3.0,0.202,112.84,0.02,19.9,14.5,-21.9,-19.5,151.6,0.744
3.1,0.197,112.84,0.021,19.8,14.4,-21.9,-19.4,151.0,0.747
3.2,0.191,112.84,0.021,19.9,14.4,-21.8,-19.3,150.8,0.748
3.3,0.184,112.84,0.022,19.9,14.4,-21.7,-19.1,150.2,0.751
3.4,0.181,112.84,0.023,20.0,14.4,-21.4,-19.1,149.8,0.753
3.5,0.177,112.84,0.023,20.0,14.3,-21.2,-19.1,149.2,0.756
3.6,0.174,112.84,0.024,20.0,14.2,-21.0,-18.9,148.2,0.761
3.7,0.171,112.84,0.025,19.9,14.1,-20.9,-18.8,147.4,0.766
3.8,0.168,112.84,0.025,20.0,14.2,-20.7,-18.6,147.0,0.768
3.9,0.165,112.84,0.026,20.0,14.1,-20.4,-18.5,146.0,0.773
4.0,0.162,112.84,0.027,20.0,14.2,-20.3,-18.4,145.8,0.774
4.1,0.159,112.84,0.027,20.0,14.1,-20.1,-18.2,144.8,0.779
4.2,0.156,112.84,0.028,20.0,14.0,-20.0,-18.0,144.0,0.784
4.3,0.152,112.84,0.029,19.9,14.0,-19.8,-17.7,142.8,0.79
4.4,0.149,112.84,0.029,20.0,14.0,-19.7,-17.6,142.6,0.791
4.5,0.146,112.84,0.03,20.1,14.1,-19.7,-17.5,142.8,0.79
4.6,0.142,112.84,0.031,20.1,14.1,-19.6,-17.3,142.2,0.794
4.7,0.139,90.27,0.031,20.2,14.0,-19.4,-17.0,141.2,0.639
4.8,0.134,90.27,0.032,20.1,13.9,-19.3,-16.9,140.4,0.643
4.9,0.135,90.27,0.033,20.1,13.8,-19.2,-16.8,139.8,0.646
5.0,0.135,90.27,0.033,20.1,13.8,-19.1,-16.6,139.2,0.648
5.1,0.136,90.27,0.034,20.1,13.7,-19.0,-16.5,138.6,0.651
5.2,0.137,90.27,0.035,20.1,13.7,-18.9,-16.3,138.0,0.654
5.3,0.14,90.27,0.035,20.1,13.7,-18.9,-16.1,137.6,0.656
5.4,0.142,90.27,0.036,20.1,13.7,-18.7,-16.0,137.0,0.659
5.5,0.144,90.27,0.037,20.1,13.6,-18.5,-15.9,136.2,0.663
5.6,0.146,90.27,0.037,20.1,13.6,-18.4,-15.8,135.8,0.665
5.7,0.146,90.27,0.038,20.2,13.5,-18.3,-15.8,135.6,0.666
5.8,0.148,90.27,0.039,20.2,13.6,-18.2,-15.8,135.6,0.666
5.9,0.149,90.27,0.039,20.2,13.5,-18.2,-15.8,135.4,0.667
6.0,0.151,90.27,0.04,20.1,13.4,-18.0,-15.8,134.6,0.671
6.1,0.151,90.27,0.041,20.1,13.5,-17.9,-15.7,134.4,0.672
6.2,0.153,90.27,0.041,20.1,13.5,-17.7,-15.6,133.8,0.675
6.3,0.155,90.27,0.042,20.1,13.5,-17.4,-15.7,133.4,0.677
6.4,0.159,90.27,0.043,20.1,13.6,-17.2,-15.8,133.4,0.677
6.5,0.163,90.27,0.043,20.0,13.5,-17.1,-15.7,132.6,0.681
6.6,0.167,75.23,0.044,20.0,13.6,-17.0,-15.8,132.8,0.566
6.7,0.17,75.23,0.045,20.1,13.6,-16.7,-15.8,132.4,0.568
6.8,0.175,75.23,0.045,20.1,13.5,-16.6,-15.8,132.0,0.57
6.9,0.181,75.23,0.046,20.1,13.4,-16.4,-15.8,131.4,0.573
7.0,0.184,75.23,0.047,20.1,13.5,-16.3,-15.7,131.2,0.573
7.1,0.185,75.23,0.047,20.0,13.4,-16.0,-15.6,130.0,0.579
7.2,0.187,75.23,0.048,20.0,13.4,-15.8,-15.7,129.8,0.58
7.3,0.189,75.23,0.049,20.0,13.3,-15.7,-15.8,129.6,0.58
7.4,0.19,75.23,0.049,19.9,13.3,-15.4,-15.7,128.6,0.585
7.5,0.19,75.23,0.05,19.9,13.4,-15.2,-15.7,128.4,0.586
7.6,0.189,75.23,0.051,19.9,13.4,-15.1,-15.7,128.2,0.587
7.7,0.186,75.23,0.051,19.9,13.3,-15.1,-15.6,127.8,0.589
7.8,0.183,75.23,0.052,20.0,13.3,-15.1,-15.6,128.0,0.588
7.9,0.183,75.23,0.053,20.1,13.2,-15.0,-15.7,128.0,0.588
8.0,0.183,75.23,0.053,20.2,13.2,-14.9,-15.7,128.0,0.588
8.1,0.182,75.23,0.054,20.2,13.3,-15.1,-15.6,128.4,0.586
8.2,0.181,75.23,0.055,20.3,13.3,-15.2,-15.5,128.6,0.585
8.3,0.177,75.23,0.055,20.3,13.2,-15.4,-15.6,129.0,0.583
