Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,2953.33,0.001,1.181
0.2,2910.47,0.001,1.164
0.3,2890.47,0.002,1.156
0.4,2910.47,0.003,1.164
0.5,2910.47,0.003,1.164
0.6,2823.81,0.004,1.13
0.7,2910.47,0.005,1.164
0.8,2910.47,0.005,1.164
0.9,2943.81,0.006,1.178
1.0,2930.47,0.007,1.172
1.1,2920.95,0.007,1.168
1.2,2887.62,0.008,1.155
1.3,2920.95,0.009,1.168
1.4,2913.81,0.009,1.166
1.5,2827.14,0.01,1.131
1.6,2827.14,0.011,1.131
1.7,2827.14,0.011,1.131
1.8,2827.14,0.012,1.131
1.9,2744.28,0.013,1.098
2.0,2622.06,0.013,1.049
2.1,2568.73,0.014,1.027
2.2,2568.73,0.015,1.027
2.3,2568.73,0.015,1.027
2.4,2508.09,0.016,1.003
2.5,2448.1,0.017,0.979
2.6,2334.76,0.017,0.934
2.7,2348.1,0.018,0.939
2.8,2311.91,0.019,0.925
2.9,2334.76,0.019,0.934
3.0,2277.78,0.02,0.911
3.1,2292.86,0.021,0.917
3.2,2292.86,0.021,0.917
3.3,2277.78,0.022,0.911
3.4,2257.3,0.023,0.903
3.5,2256.35,0.023,0.903
3.6,2251.27,0.024,0.901
3.7,2173.33,0.025,0.869
3.8,2259.05,0.025,0.904
3.9,2177.46,0.026,0.871
4.0,2205.24,0.027,0.882
4.1,2205.24,0.027,0.882
4.2,2198.09,0.028,0.879
4.3,2084.76,0.029,0.834
4.4,1998.09,0.029,0.799
4.5,1981.43,0.03,0.793
4.6,1931.43,0.031,0.773
4.7,1850.95,0.031,0.74
4.8,1837.79,0.032,0.735
4.9,1815.57,0.033,0.726
5.0,1806.68,0.033,0.723
5.1,1735.26,0.034,0.694
5.2,1613.98,0.035,0.646
5.3,1591.12,0.035,0.636
5.4,1525.27,0.036,0.61
5.5,1518.12,0.037,0.607
5.6,1523.68,0.037,0.609
5.7,1495.41,0.038,0.598
5.8,1495.41,0.039,0.598
5.9,1478.44,0.039,0.591
6.0,1474.0,0.04,0.59
6.1,1438.77,0.041,0.576
6.2,1429.55,0.041,0.572
