Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,-0.84,2.18,-12.46,16.77,11.62,-14.59,18.652,0.0,0.627,330.0,1.0
0.1,-0.89,2.18,-12.54,16.67,11.65,-14.49,18.593,0.001,0.628,329.80277,0.999
0.2,-0.93,2.18,-12.6,16.56,11.67,-14.38,18.52,0.001,0.63,329.6203,0.999
0.3,-1.33,1.39,-12.15,16.46,10.82,-15.07,18.552,0.002,0.629,329.37831,0.998
0.4,-1.78,1.6,-11.72,16.88,9.94,-15.28,18.229,0.003,0.635,329.15141,0.997
0.5,-0.93,2.15,-11.28,17.3,10.35,-15.15,18.348,0.003,0.633,328.89132,0.997
0.6,-1.41,1.52,-10.93,17.1,9.52,-15.58,18.258,0.004,0.635,328.68569,0.996
0.7,-2.22,1.88,-10.37,17.14,8.15,-15.26,17.3,0.005,0.654,328.52003,0.996
0.8,-7.33,6.14,-10.33,16.94,3.0,-10.8,11.209,0.005,0.776,328.37663,0.995
0.9,-8.66,10.31,-10.06,17.43,1.4,-7.12,7.256,0.006,0.855,328.26259,0.995
1.0,-4.08,6.84,-9.49,17.59,5.41,-10.75,12.035,0.007,0.759,328.14146,0.994
1.1,-8.33,11.81,-9.63,17.8,1.3,-5.99,6.129,0.007,0.877,328.0337,0.994
1.2,-8.29,11.69,-9.12,17.7,0.83,-6.01,6.067,0.008,0.879,327.86769,0.994
1.3,-8.16,11.68,-8.54,17.75,0.38,-6.07,6.082,0.009,0.878,327.7276,0.993
1.4,-8.05,11.75,-8.03,18.08,-0.02,-6.33,6.33,0.009,0.873,327.55041,0.993
1.5,-4.91,7.18,-7.59,17.88,2.68,-10.7,11.031,0.01,0.779,327.42571,0.992
1.6,-8.14,10.44,-7.17,18.28,-0.97,-7.84,7.9,0.011,0.842,327.24268,0.992
1.7,-9.32,12.19,-6.61,18.52,-2.71,-6.33,6.886,0.011,0.862,326.95782,0.991
1.8,-9.29,12.12,-6.57,18.29,-2.72,-6.17,6.743,0.012,0.865,326.77557,0.99
1.9,-9.3,12.13,-6.09,18.11,-3.21,-5.98,6.787,0.013,0.864,326.57228,0.99
2.0,-1.28,2.67,-5.62,18.46,4.34,-15.79,16.376,0.013,0.672,326.44195,0.989
2.1,-3.02,5.77,-5.69,18.33,2.67,-12.56,12.841,0.014,0.743,326.22422,0.989
2.2,-5.06,9.54,-5.79,18.55,0.73,-9.01,9.04,0.015,0.819,326.0454,0.988
2.3,-6.64,11.67,-5.41,18.96,-1.23,-7.29,7.393,0.015,0.852,325.86949,0.987
2.4,-7.36,12.4,-4.83,18.9,-2.53,-6.5,6.975,0.016,0.86,325.59948,0.987
2.5,-3.56,7.74,-4.49,19.31,0.93,-11.57,11.607,0.017,0.768,325.43551,0.986
2.6,-4.94,12.79,-4.25,19.73,-0.69,-6.94,6.974,0.017,0.861,325.25559,0.986
2.7,-5.16,15.22,-3.83,19.47,-1.33,-4.25,4.453,0.018,0.911,325.09911,0.985
