Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
0.0,15,0.0,-11.4,-2.4,,,0.275
0.0,16,0.0,20.9,24.7,,,0.275
0.0,17,0.0,18.1,1.6,,,0.275
0.0,18,0.0,-22.8,21.5,,,0.275
0.0,19,0.0,23.4,-19.9,,,0.275
0.0,20,0.0,8.9,17.7,,,0.275
0.0,21,0.0,-2.9,-17.2,,,0.275
0.0,22,0.0,1.5,-5.7,,,0.275
0.0,23,0.0,-14.8,0.7,,,0.275
0.0,24,0.0,-15.2,6.3,,,0.275
0.0,25,0.0,-23.5,7.4,,,0.275
0.1,15,0.0,-11.4,-2.3,2.0,7.523,0.275
0.1,16,0.0,20.9,24.8,0.0,22.568,0.275
0.1,17,0.0,18.1,1.6,0.0,22.568,0.275
0.1,18,0.172,-22.9,21.5,0.0,22.568,0.228
0.1,19,0.0,23.5,-20.0,0.0,22.568,0.275
0.1,20,0.0,9.0,17.8,0.0,22.568,0.275
0.1,21,0.0,-2.9,-17.1,0.0,22.568,0.275
0.1,22,0.0,1.6,-5.7,0.0,22.568,0.275
0.1,23,0.0,-14.8,0.6,3.0,5.642,0.275
0.1,24,0.0,-15.2,6.4,3.0,5.642,0.275
0.1,25,0.0,-23.5,7.3,2.0,7.523,0.275
0.2,15,0.0,-11.4,-2.2,2.0,7.523,0.275
0.2,16,0.0,21.0,24.8,0.0,22.568,0.275
0.2,17,0.0,18.1,1.6,0.0,22.568,0.275
0.2,18,0.344,-22.8,21.5,0.0,22.568,0.181
0.2,19,0.0,23.5,-20.1,0.0,22.568,0.275
0.2,20,0.0,9.0,17.7,0.0,22.568,0.275
0.2,21,0.0,-2.9,-17.1,0.0,22.568,0.275
0.2,22,0.0,1.7,-5.8,0.0,22.568,0.275
0.2,23,0.0,-14.8,0.6,3.0,5.642,0.275
0.2,24,0.0,-15.2,6.5,3.0,5.642,0.275
0.2,25,0.0,-23.6,7.2,2.0,7.523,0.275
0.3,15,0.0,-11.4,-2.3,2.0,7.523,0.275
0.3,16,0.0,20.9,24.7,0.0,22.568,0.275
0.3,17,0.0,18.2,1.5,0.0,22.568,0.275
0.3,18,0.392,-22.9,21.5,0.0,22.568,0.167
0.3,19,0.0,23.4,-20.0,0.0,22.568,0.275
0.3,20,0.0,9.0,17.7,0.0,22.568,0.275
0.3,21,0.0,-2.9,-17.1,0.0,22.568,0.275
0.3,22,0.0,1.8,-5.7,0.0,22.568,0.275
0.3,23,0.0,-14.8,0.6,3.0,5.642,0.275
0.3,24,0.0,-15.2,6.6,3.0,5.642,0.275
0.3,25,0.0,-23.6,7.3,2.0,7.523,0.275
0.4,15,0.0,-11.4,-2.4,2.0,7.523,0.275
0.4,16,0.0,21.0,24.8,0.0,22.568,0.275
0.4,17,0.0,18.2,1.6,0.0,22.568,0.275
0.4,18,0.491,-22.8,21.5,0.0,22.568,0.14
0.4,19,0.0,23.5,-20.0,0.0,22.568,0.275
0.4,20,0.0,9.0,17.8,0.0,22.568,0.275
0.4,21,0.0,-2.9,-17.1,0.0,22.568,0.275
0.4,22,0.0,1.7,-5.7,0.0,22.568,0.275
0.4,23,0.0,-14.8,0.5,3.0,5.642,0.275
0.4,24,0.0,-15.3,6.7,3.0,5.642,0.275
0.4,25,0.0,-23.7,7.3,2.0,7.523,0.275
0.5,15,0.0,-11.4,-2.4,2.0,7.523,0.275
0.5,16,0.0,20.9,24.8,0.0,22.568,0.275
0.5,17,0.0,18.2,1.5,0.0,22.568,0.275
0.5,18,0.58,-22.9,21.4,0.0,22.568,0.116
0.5,19,0.0,23.5,-20.0,0.0,22.568,0.275
0.5,20,0.0,9.0,17.8,0.0,22.568,0.275
0.5,21,0.0,-2.9,-17.1,0.0,22.568,0.275
0.5,22,0.0,1.8,-5.7,0.0,22.568,0.275
0.5,23,0.0,-14.8,0.4,3.0,5.642,0.275
0.5,24,0.0,-15.3,6.7,3.0,5.642,0.275
0.5,25,0.0,-23.7,7.3,2.0,7.523,0.275
0.6,15,0.0,-11.5,-2.5,2.0,7.523,0.275
0.6,16,0.0,20.9,24.8,0.0,22.568,0.275
0.6,17,0.0,18.2,1.6,0.0,22.568,0.275
0.6,18,0.64,-23.0,21.4,0.0,22.568,0.099
0.6,19,0.0,23.4,-20.0,0.0,22.568,0.275
0.6,20,0.0,9.1,17.9,0.0,22.568,0.275
0.6,21,0.0,-3.0,-17.1,0.0,22.568,0.275
0.6,22,0.0,1.8,-5.7,0.0,22.568,0.275
0.6,23,0.0,-14.8,0.4,3.0,5.642,0.275
