Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,-16.5,13.8,,,-3.91,6.08,12.59,-7.72,14.768,0.0,0.295,0.853,-0.523,
0.0,2,-9.4,22.9,,,-3.91,6.08,5.49,-16.82,17.693,0.0,0.354,0.31,-0.951,
0.0,3,7.1,18.4,,,-3.91,6.08,-11.01,-12.32,16.523,0.0,0.33,-0.666,-0.746,
0.0,4,-13.7,13.8,,,-3.91,6.08,9.79,-7.72,12.468,0.0,0.249,0.785,-0.619,
0.0,5,-4.9,-8.8,,,-3.91,6.08,0.99,14.88,14.913,0.0,0.298,0.066,0.998,
0.0,6,4.0,-9.5,,,-3.91,6.08,-7.91,15.58,17.473,0.0,0.349,-0.453,0.892,
0.0,7,-8.6,-12.0,,,-3.91,6.08,4.69,18.08,18.678,0.0,0.374,0.251,0.968,
0.0,8,23.3,5.0,,,-3.91,6.08,-27.21,1.08,27.231,0.0,0.545,-0.999,0.04,
0.0,9,1.1,-9.1,,,-3.91,6.08,-5.01,15.18,15.985,0.0,0.32,-0.313,0.95,
0.0,10,12.1,17.9,,,-3.91,6.08,-16.01,-11.82,19.901,0.0,0.398,-0.804,-0.594,
0.0,11,-16.7,-17.3,,,-3.91,6.08,12.79,23.38,26.65,0.0,0.533,0.48,0.877,
0.0,12,2.2,-7.6,,,-3.91,6.08,-6.11,13.68,14.982,0.0,0.3,-0.408,0.913,
0.1,1,-16.4,13.7,0.4,-0.6,-3.68,5.85,12.72,-7.85,14.947,0.001,0.299,0.851,-0.525,0.9090152565880721
0.1,2,-9.4,23.0,0.8,0.5,-3.68,5.85,5.72,-17.15,18.079,0.001,0.362,0.316,-0.949,-0.23510074231177092
0.1,3,7.2,18.5,0.7,0.6,-3.68,5.85,-10.88,-12.65,16.685,0.001,0.334,-0.652,-0.758,-0.9882863340563991
0.1,4,-13.6,13.8,0.4,-0.3,-3.68,5.85,9.92,-7.95,12.713,0.001,0.254,0.78,-0.625,0.9990000000000001
0.1,5,-5.0,-8.7,-0.3,0.5,-3.68,5.85,1.32,14.55,14.61,0.001,0.292,0.09,0.996,0.8078902229845626
0.1,6,4.0,-9.5,-0.1,0.4,-3.68,5.85,-7.68,15.35,17.164,0.001,0.343,-0.447,0.894,0.9764563106796118
