Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id,N,Ns,Ne,Ni
0.0,1,seeker,11.283791670955125,47520,100.0,14.7,0.0,0.0,,,,14.7,0.0,0.0,1,,,,
0.0,2,seeker,11.283791670955125,47520,100.0,4.9,5.3,0.0,,,,4.9,5.3,0.0,2,,,,
0.0,3,seeker,11.283791670955125,47520,100.0,17.8,-8.0,0.0,,,,17.8,-8.0,0.0,3,,,,
0.0,4,seeker,11.283791670955125,47520,100.0,-16.0,23.0,0.0,,,,-16.0,23.0,0.0,4,,,,
0.0,5,seeker,11.283791670955125,47520,100.0,11.8,18.7,0.0,,,,11.8,18.7,0.0,5,,,,
0.0,6,seeker,11.283791670955125,47520,100.0,-18.8,1.3,0.0,,,,-18.8,1.3,0.0,6,,,,
0.0,7,seeker,11.283791670955125,47520,100.0,10.7,-4.8,0.0,,,,10.7,-4.8,0.0,7,,,,
0.0,8,seeker,11.283791670955125,47520,100.0,-7.5,8.9,0.0,,,,-7.5,8.9,0.0,8,,,,
0.0,9,seeker,11.283791670955125,47520,100.0,-10.6,9.8,0.0,,,,-10.6,9.8,0.0,9,,,,
0.0,10,seeker,11.283791670955125,47520,100.0,10.7,17.6,0.0,,,,10.7,17.6,0.0,10,,,,
0.0,11,seeker,11.283791670955125,47520,100.0,-7.5,-5.3,0.0,,,,-7.5,-5.3,0.0,11,,,,
0.0,12,seeker,11.283791670955125,47520,100.0,-16.4,-19.8,0.0,,,,-16.4,-19.8,0.0,12,,,,
0.0,13,seeker,11.283791670955125,47520,100.0,20.9,-5.5,0.0,,,,20.9,-5.5,0.0,13,,,,
0.0,14,seeker,11.283791670955125,47520,100.0,-5.4,17.0,0.0,,,,-5.4,17.0,0.0,14,,,,
0.0,15,seeker,11.283791670955125,47520,100.0,19.5,9.1,0.0,,,,19.5,9.1,0.0,15,,,,
0.0,16,seeker,11.283791670955125,47520,100.0,7.3,-24.4,0.0,,,,7.3,-24.4,0.0,16,,,,
0.0,17,seeker,11.283791670955125,47520,100.0,-20.5,2.3,0.0,,,,-20.5,2.3,0.0,17,,,,
0.0,18,seeker,11.283791670955125,47520,100.0,16.7,-13.4,0.0,,,,16.7,-13.4,0.0,18,,,,
0.0,19,seeker,11.283791670955125,47520,100.0,15.4,22.5,0.0,,,,15.4,22.5,0.0,19,,,,
0.0,20,seeker,11.283791670955125,47520,100.0,-12.1,20.0,0.0,,,,-12.1,20.0,0.0,20,,,,
0.0,21,seeker,11.283791670955125,47520,100.0,5.4,12.6,0.0,,,,5.4,12.6,0.0,21,,,,
0.0,22,seeker,11.283791670955125,47520,100.0,-23.0,17.2,0.0,,,,-23.0,17.2,0.0,22,,,,
0.0,23,seeker,11.283791670955125,47520,100.0,-3.9,-13.0,0.0,,,,-3.9,-13.0,0.0,23,,,,
0.0,24,seeker,11.283791670955125,47520,100.0,-24.9,18.7,0.0,,,,-24.9,18.7,0.0,24,,,,
0.0,25,seeker,11.283791670955125,47520,100.0,-10.3,-9.4,0.0,,,,-10.3,-9.4,0.0,25,,,,
0.0,Target,,,,,14.33,-6.14,0.0,0.32,1.41,,,,,,,,,
0.1,1,seeker,11.283791670955125,47519.95,100.0,14.7,0.1,0.0,-0.0,0.3,0.3,14.7,0.1,0.0,1,5,5,0,0
0.1,2,seeker,11.283791670955125,47519.5,100.0,4.9,5.3,0.0,-0.6,-0.4,0.7,4.9,5.3,0.0,2,2,2,0,0
0.1,3,seeker,11.283791670955125,47519.06,100.0,17.8,-8.1,0.0,0.4,-0.8,0.9,17.8,-8.1,0.0,3,4,4,0,0
0.1,4,seeker,11.283791670955125,47518.97,100.0,-16.0,23.0,0.0,0.4,0.8,0.9,-16.0,23.0,0.0,4,3,3,0,0
0.1,5,seeker,11.283791670955125,47519.92,100.0,11.9,18.7,0.0,0.4,0.1,0.4,11.9,18.7,0.0,5,3,3,0,0
0.1,6,seeker,11.283791670955125,47519.71,100.0,-18.8,1.3,0.0,0.6,-0.0,0.6,-18.8,1.3,0.0,6,1,1,0,0
0.1,7,seeker,11.283791670955125,47519.39,100.0,10.6,-4.8,0.0,-0.8,-0.1,0.8,10.6,-4.8,0.0,7,4,4,0,0
0.1,8,seeker,11.283791670955125,47519.87,100.0,-7.5,8.9,0.0,-0.2,-0.4,0.4,-7.5,8.9,0.0,8,2,2,0,0
0.1,9,seeker,11.283791670955125,47518.87,100.0,-10.6,9.7,0.0,-0.2,-0.9,0.9,-10.6,9.7,0.0,9,3,3,0,0
0.1,10,seeker,11.283791670955125,47519.09,100.0,10.7,17.5,0.0,-0.5,-0.7,0.9,10.7,17.5,0.0,10,3,3,0,0
0.1,11,seeker,11.283791670955125,47518.87,100.0,-7.5,-5.3,0.0,0.1,0.9,0.9,-7.5,-5.3,0.0,11,2,2,0,0
0.1,12,seeker,11.283791670955125,47519.95,100.0,-16.4,-19.8,0.0,-0.3,-0.0,0.3,-16.4,-19.8,0.0,12,0,0,0,0
0.1,13,seeker,11.283791670955125,47518.72,100.0,20.9,-5.4,0.0,0.9,0.3,0.9,20.9,-5.4,0.0,13,4,4,0,0
0.1,14,seeker,11.283791670955125,47519.64,100.0,-5.4,17.1,0.0,0.2,0.6,0.6,-5.4,17.1,0.0,14,3,3,0,0
0.1,15,seeker,11.283791670955125,47519.91,100.0,19.5,9.1,0.0,0.3,0.3,0.4,19.5,9.1,0.0,15,1,1,0,0
0.1,16,seeker,11.283791670955125,47519.95,100.0,7.4,-24.4,0.0,0.3,0.1,0.3,7.4,-24.4,0.0,16,0,0,0,0
0.1,17,seeker,11.283791670955125,47519.29,100.0,-20.5,2.3,0.0,-0.5,0.7,0.9,-20.5,2.3,0.0,17,1,1,0,0
0.1,18,seeker,11.283791670955125,47518.76,100.0,16.7,-13.5,0.0,0.2,-1.0,1.0,16.7,-13.5,0.0,18,3,3,0,0
0.1,19,seeker,11.283791670955125,47519.94,100.0,15.4,22.5,0.0,0.2,0.3,0.4,15.4,22.5,0.0,19,2,2,0,0
