Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,3553.33,0.001,1.421
0.2,3573.33,0.001,1.429
0.3,3573.33,0.002,1.429
0.4,3573.33,0.003,1.429
0.5,3653.33,0.003,1.461
0.6,3653.33,0.004,1.461
0.7,3526.66,0.005,1.411
0.8,3526.66,0.005,1.411
0.9,3680.0,0.006,1.472
1.0,3613.33,0.007,1.445
1.1,3586.66,0.007,1.435
1.2,3533.33,0.008,1.413
1.3,3586.66,0.009,1.435
1.4,3553.33,0.009,1.421
1.5,3653.33,0.01,1.461
1.6,3653.33,0.011,1.461
1.7,3686.66,0.011,1.475
1.8,3686.66,0.012,1.475
1.9,3786.66,0.013,1.515
2.0,3786.66,0.013,1.515
2.1,3753.33,0.014,1.501
2.2,3720.0,0.015,1.488
2.3,3773.33,0.015,1.509
2.4,3686.66,0.016,1.475
2.5,3686.66,0.017,1.475
2.6,3673.33,0.017,1.469
2.7,3606.67,0.018,1.443
2.8,3606.67,0.019,1.443
2.9,3606.67,0.019,1.443
3.0,3606.67,0.02,1.443
3.1,3520.0,0.021,1.408
3.2,3466.67,0.021,1.387
3.3,3440.0,0.022,1.376
3.4,3440.0,0.023,1.376
3.5,3440.0,0.023,1.376
3.6,3440.0,0.024,1.376
3.7,3440.0,0.025,1.376
3.8,3440.0,0.025,1.376
3.9,3386.67,0.026,1.355
4.0,3386.67,0.027,1.355
4.1,3386.67,0.027,1.355
4.2,3300.0,0.028,1.32
4.3,3246.67,0.029,1.299
4.4,3166.67,0.029,1.267
4.5,3120.0,0.03,1.248
4.6,3120.0,0.031,1.248
4.7,3063.33,0.031,1.225
4.8,3063.33,0.032,1.225
4.9,3020.0,0.033,1.208
5.0,3020.0,0.033,1.208
5.1,3020.0,0.034,1.208
5.2,3020.0,0.035,1.208
5.3,3020.0,0.035,1.208
5.4,2967.62,0.036,1.187
5.5,2948.73,0.037,1.179
5.6,2932.06,0.037,1.173
5.7,2887.46,0.038,1.155
5.8,2873.17,0.039,1.149
5.9,2873.17,0.039,1.149
6.0,2873.17,0.04,1.149
6.1,2581.43,0.041,1.033
6.2,2444.6,0.041,0.978
6.3,2418.89,0.042,0.968
6.4,2272.38,0.043,0.909
6.5,2175.24,0.043,0.87
6.6,2088.43,0.044,0.835
6.7,2025.63,0.045,0.81
6.8,2013.4,0.045,0.805
6.9,1974.01,0.046,0.79
7.0,1951.28,0.047,0.781
7.1,1931.58,0.047,0.773
7.2,1931.58,0.048,0.773
7.3,1931.58,0.049,0.773
7.4,1931.58,0.049,0.773
7.5,1924.57,0.05,0.77
7.6,1915.37,0.051,0.766
7.7,1906.48,0.051,0.763
7.8,1896.5,0.052,0.759
7.9,1845.59,0.053,0.738
8.0,1845.59,0.053,0.738
8.1,1842.56,0.054,0.737
8.2,1840.36,0.055,0.736
8.3,1840.36,0.055,0.736
8.4,1831.15,0.056,0.732
8.5,1820.66,0.057,0.728
8.6,1819.0,0.057,0.728
8.7,1809.19,0.058,0.724
8.8,1806.16,0.059,0.722
8.9,1806.16,0.059,0.722
9.0,1703.74,0.06,0.681
9.1,1683.74,0.061,0.673
9.2,1667.52,0.061,0.667
9.3,1647.23,0.062,0.659
9.4,1633.28,0.063,0.653
9.5,1616.89,0.063,0.647
9.6,1596.03,0.064,0.638
9.7,1572.33,0.065,0.629
9.8,1559.67,0.065,0.624
9.9,1554.06,0.066,0.622
10.0,1547.39,0.067,0.619
10.1,1529.02,0.067,0.612
10.2,1532.07,0.068,0.613
10.3,1513.11,0.069,0.605
10.4,1509.6,0.069,0.604
10.5,1499.83,0.07,0.6
10.6,1499.83,0.071,0.6
10.7,1499.83,0.071,0.6
10.8,1486.42,0.072,0.595
10.9,1474.16,0.073,0.59
11.0,1437.51,0.073,0.575
11.1,1408.82,0.074,0.564
11.2,1395.74,0.075,0.558
11.3,1386.93,0.075,0.555
11.4,1384.51,0.076,0.554
11.5,1379.2,0.077,0.552
11.6,1379.2,0.077,0.552
11.7,1379.2,0.078,0.552
11.8,1378.14,0.079,0.551
11.9,1372.31,0.079,0.549
12.0,1367.27,0.08,0.547
12.1,1365.96,0.081,0.546
12.2,1364.06,0.081,0.546
12.3,1354.94,0.082,0.542
12.4,1354.94,0.083,0.542
12.5,1330.97,0.083,0.532
12.6,1328.19,0.084,0.531
12.7,1319.17,0.085,0.528
12.8,1317.0,0.085,0.527
12.9,1313.97,0.086,0.526
13.0,1308.13,0.087,0.523
13.1,1307.26,0.087,0.523
13.2,1307.26,0.088,0.523
13.3,1307.26,0.089,0.523
13.4,1307.26,0.089,0.523
13.5,1307.26,0.09,0.523
13.6,1304.01,0.091,0.522
13.7,1290.32,0.091,0.516
13.8,1285.44,0.092,0.514
13.9,1280.16,0.093,0.512
14.0,1277.19,0.093,0.511
14.1,1277.19,0.094,0.511
