Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,-0.84,4.02,14.33,-6.14,-15.17,10.16,18.258,0.0,0.635,330.0,1.0
0.1,-0.85,4.0,14.55,-6.55,-15.4,10.55,18.667,0.001,0.627,329.99529,1.0
0.2,-0.84,4.0,14.56,-7.11,-15.4,11.11,18.989,0.001,0.62,329.99019,1.0
0.3,-0.84,4.0,14.19,-7.09,-15.03,11.09,18.679,0.002,0.626,329.98588,1.0
0.4,-0.5,3.62,14.2,-6.96,-14.7,10.58,18.111,0.003,0.638,329.95972,1.0
0.5,-2.01,3.58,13.98,-6.83,-15.99,10.41,19.08,0.003,0.618,329.92651,1.0
0.6,-0.88,3.04,14.19,-6.88,-15.07,9.92,18.042,0.004,0.639,329.8806,1.0
0.7,-0.61,2.92,14.07,-6.74,-14.68,9.66,17.573,0.005,0.649,329.83549,1.0
0.8,-1.93,3.52,13.92,-7.32,-15.85,10.84,19.202,0.005,0.616,329.80009,0.999
0.9,-0.92,3.02,13.94,-7.19,-14.86,10.21,18.03,0.006,0.639,329.76432,0.999
1.0,-0.92,3.86,13.55,-7.18,-14.47,11.04,18.201,0.007,0.636,329.71244,0.999
1.1,-2.06,3.48,13.47,-7.75,-15.53,11.23,19.165,0.007,0.617,329.67349,0.999
1.2,-1.57,1.71,13.26,-7.61,-14.83,9.32,17.515,0.008,0.65,329.62485,0.999
1.3,-1.76,0.55,12.98,-7.49,-14.74,8.04,16.79,0.009,0.664,329.55864,0.999
1.4,-1.34,0.31,12.54,-7.53,-13.88,7.84,15.941,0.009,0.681,329.49068,0.998
1.5,-2.44,0.84,12.57,-7.41,-15.01,8.25,17.128,0.01,0.657,329.408,0.998
1.6,-1.59,0.38,12.16,-7.84,-13.75,8.22,16.02,0.011,0.68,329.32863,0.998
1.7,-2.36,0.3,11.67,-7.98,-14.03,8.28,16.291,0.011,0.674,329.23133,0.998
1.8,-2.35,-0.14,11.84,-8.37,-14.19,8.23,16.404,0.012,0.672,329.12758,0.997
1.9,-2.03,-0.81,11.44,-8.82,-13.47,8.01,15.672,0.013,0.687,329.02622,0.997
2.0,-1.14,3.17,11.01,-8.77,-12.15,11.94,17.035,0.013,0.659,328.9261,0.997
2.1,-1.81,0.94,10.9,-9.33,-12.71,10.27,16.341,0.014,0.673,328.8097,0.996
2.2,-1.82,-0.44,10.84,-9.86,-12.66,9.42,15.78,0.015,0.684,328.685,0.996
