Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id,N,Ns,Ne,Ni
0.0,1,isocontour,11.283791670955125,47520,100.0,-12.0,-5.4,0.0,,,,-12.0,-5.4,0.0,1,,,,
0.0,2,isocontour,11.283791670955125,47520,100.0,1.7,-23.8,0.0,,,,1.7,-23.8,0.0,2,,,,
0.0,3,isocontour,11.283791670955125,47520,100.0,12.6,2.6,0.0,,,,12.6,2.6,0.0,3,,,,
0.0,4,isocontour,11.283791670955125,47520,100.0,16.0,16.1,0.0,,,,16.0,16.1,0.0,4,,,,
0.0,5,isocontour,11.283791670955125,47520,100.0,-1.6,3.1,0.0,,,,-1.6,3.1,0.0,5,,,,
0.0,6,isocontour,11.283791670955125,47520,100.0,4.3,10.9,0.0,,,,4.3,10.9,0.0,6,,,,
0.0,7,isocontour,11.283791670955125,47520,100.0,13.5,23.6,0.0,,,,13.5,23.6,0.0,7,,,,
0.0,8,isocontour,11.283791670955125,47520,100.0,3.5,-3.0,0.0,,,,3.5,-3.0,0.0,8,,,,
0.0,9,isocontour,11.283791670955125,47520,100.0,-11.5,18.8,0.0,,,,-11.5,18.8,0.0,9,,,,
0.0,10,isocontour,11.283791670955125,47520,100.0,-24.1,-13.0,0.0,,,,-24.1,-13.0,0.0,10,,,,
0.0,11,isocontour,11.283791670955125,47520,100.0,0.2,6.2,0.0,,,,0.2,6.2,0.0,11,,,,
0.0,12,isocontour,11.283791670955125,47520,100.0,14.6,-11.0,0.0,,,,14.6,-11.0,0.0,12,,,,
0.0,13,isocontour,11.283791670955125,47520,100.0,15.5,2.4,0.0,,,,15.5,2.4,0.0,13,,,,
0.0,14,isocontour,11.283791670955125,47520,100.0,-14.1,16.1,0.0,,,,-14.1,16.1,0.0,14,,,,
0.0,15,isocontour,11.283791670955125,47520,100.0,-5.7,-3.6,0.0,,,,-5.7,-3.6,0.0,15,,,,
0.0,16,isocontour,11.283791670955125,47520,100.0,-16.5,4.0,0.0,,,,-16.5,4.0,0.0,16,,,,
0.0,17,isocontour,11.283791670955125,47520,100.0,13.5,-3.2,0.0,,,,13.5,-3.2,0.0,17,,,,
0.0,18,isocontour,11.283791670955125,47520,100.0,18.8,-5.2,0.0,,,,18.8,-5.2,0.0,18,,,,
0.0,19,isocontour,11.283791670955125,47520,100.0,10.2,3.7,0.0,,,,10.2,3.7,0.0,19,,,,
0.0,20,isocontour,11.283791670955125,47520,100.0,-4.5,17.3,0.0,,,,-4.5,17.3,0.0,20,,,,
0.0,21,isocontour,11.283791670955125,47520,100.0,14.0,10.7,0.0,,,,14.0,10.7,0.0,21,,,,
0.0,22,isocontour,11.283791670955125,47520,100.0,-5.3,16.8,0.0,,,,-5.3,16.8,0.0,22,,,,
0.0,23,isocontour,11.283791670955125,47520,100.0,3.5,11.0,0.0,,,,3.5,11.0,0.0,23,,,,
0.0,24,isocontour,11.283791670955125,47520,100.0,17.2,-16.5,0.0,,,,17.2,-16.5,0.0,24,,,,
0.0,25,isocontour,11.283791670955125,47520,100.0,-23.2,-10.4,0.0,,,,-23.2,-10.4,0.0,25,,,,
0.0,Target,,,,,0.0,0.0,0.42,-0.0,-0.0,,,,,,,,,
0.1,1,isocontour,11.283791670955125,47518.56,100.0,-12.1,-5.4,0.0,-0.6,-0.8,1.0,-12.1,-5.4,0.0,1,2,0,0,2
0.1,2,isocontour,11.283791670955125,47518.9,100.0,1.6,-23.8,0.0,-0.9,-0.0,0.9,1.6,-23.8,0.0,2,0,0,0,0
0.1,3,isocontour,11.283791670955125,47518.56,100.0,12.7,2.7,0.0,0.3,1.0,1.0,12.7,2.7,0.0,3,6,0,0,6
0.1,4,isocontour,11.283791670955125,47518.79,100.0,16.1,16.2,0.0,0.6,0.7,0.9,16.1,16.2,0.0,4,2,0,0,2
0.1,5,isocontour,11.283791670955125,47519.15,100.0,-1.6,3.1,0.0,0.9,-0.1,0.9,-1.6,3.1,0.0,5,5,0,0,5
0.1,6,isocontour,11.283791670955125,47518.72,100.0,4.2,10.9,0.0,-0.7,0.7,1.0,4.2,10.9,0.0,6,6,0,0,6
0.1,7,isocontour,11.283791670955125,47519.0,100.0,13.6,23.6,0.0,0.9,-0.0,0.9,13.6,23.6,0.0,7,1,0,0,1
0.1,8,isocontour,11.283791670955125,47519.18,100.0,3.5,-3.0,0.0,0.2,0.8,0.8,3.5,-3.0,0.0,8,6,0,0,6
0.1,9,isocontour,11.283791670955125,47518.72,100.0,-11.6,18.7,0.0,-0.9,-0.4,1.0,-11.6,18.7,0.0,9,3,0,0,3
0.1,10,isocontour,11.283791670955125,47518.52,100.0,-24.1,-13.1,0.0,-0.4,-0.9,1.0,-24.1,-13.1,0.0,10,1,0,0,1
0.1,11,isocontour,11.283791670955125,47519.18,100.0,0.2,6.3,0.0,0.9,0.0,0.9,0.2,6.3,0.0,11,5,0,0,5
0.1,12,isocontour,11.283791670955125,47518.79,100.0,14.7,-11.0,0.0,0.6,-0.8,1.0,14.7,-11.0,0.0,12,3,0,0,3
0.1,13,isocontour,11.283791670955125,47518.68,100.0,15.6,2.5,0.0,0.3,0.9,0.9,15.6,2.5,0.0,13,5,0,0,5
0.1,14,isocontour,11.283791670955125,47519.12,100.0,-14.0,16.1,0.0,0.8,-0.4,0.9,-14.0,16.1,0.0,14,3,0,0,3
0.1,15,isocontour,11.283791670955125,47519.09,100.0,-5.7,-3.6,0.0,0.0,0.9,0.9,-5.7,-3.6,0.0,15,3,0,0,3
0.1,16,isocontour,11.283791670955125,47519.15,100.0,-16.5,3.9,0.0,0.0,-0.9,0.9,-16.5,3.9,0.0,16,1,0,0,1
0.1,17,isocontour,11.283791670955125,47518.56,100.0,13.6,-3.3,0.0,0.3,-1.0,1.0,13.6,-3.3,0.0,17,6,0,0,6
0.1,18,isocontour,11.283791670955125,47519.06,100.0,18.8,-5.1,0.0,0.0,0.9,0.9,18.8,-5.1,0.0,18,4,0,0,4
0.1,19,isocontour,11.283791670955125,47518.68,100.0,10.2,3.6,0.0,0.2,-1.0,1.0,10.2,3.6,0.0,19,8,0,0,8
0.1,20,isocontour,11.283791670955125,47518.87,100.0,-4.4,17.4,0.0,0.9,0.1,0.9,-4.4,17.4,0.0,20,5,0,0,5
0.1,21,isocontour,11.283791670955125,47519.06,100.0,14.0,10.8,0.0,-0.8,0.3,0.9,14.0,10.8,0.0,21,6,0,0,6
0.1,22,isocontour,11.283791670955125,47518.93,100.0,-5.2,16.8,0.0,0.9,0.3,0.9,-5.2,16.8,0.0,22,5,0,0,5
0.1,23,isocontour,11.283791670955125,47519.06,100.0,3.4,11.0,0.0,-0.9,0.2,0.9,3.4,11.0,0.0,23,7,0,0,7
0.1,24,isocontour,11.283791670955125,47519.18,100.0,17.2,-16.5,0.0,-0.5,0.7,0.9,17.2,-16.5,0.0,24,1,0,0,1
0.1,25,isocontour,11.283791670955125,47519.18,100.0,-23.2,-10.4,0.0,-0.5,-0.7,0.9,-23.2,-10.4,0.0,25,1,0,0,1
0.1,Target,,,,,0.0,0.0,0.55,-0.0,-0.0,,,,,,,,,
0.2,1,isocontour,11.283791670955125,47517.2,99.99,-12.1,-5.5,0.0,0.6,-0.8,1.0,-12.1,-5.5,0.0,1,2,0,0,2
0.2,2,isocontour,11.283791670955125,47517.8,100.0,1.5,-23.8,0.0,-0.9,0.0,0.9,1.5,-23.8,0.0,2,0,0,0,0
0.2,3,isocontour,11.283791670955125,47517.43,99.99,12.6,2.7,0.0,-0.9,0.1,0.9,12.6,2.7,0.0,3,6,0,0,6
0.2,4,isocontour,11.283791670955125,47517.95,100.0,16.0,16.3,0.0,-0.6,0.6,0.8,16.0,16.3,0.0,4,2,0,0,2
0.2,5,isocontour,11.283791670955125,47518.25,100.0,-1.5,3.0,0.001,0.8,-0.4,0.9,-1.5,3.0,0.0,5,5,0,0,5
0.2,6,isocontour,11.283791670955125,47517.84,100.0,4.2,10.9,0.0,-0.2,-0.8,0.8,4.2,10.9,0.0,6,7,0,0,7
0.2,7,isocontour,11.283791670955125,47518.03,100.0,13.6,23.6,0.0,0.9,-0.0,0.9,13.6,23.6,0.0,7,1,0,0,1
0.2,8,isocontour,11.283791670955125,47517.82,100.0,3.6,-3.0,0.0,0.5,-0.9,1.0,3.6,-3.0,0.0,8,6,0,0,6
0.2,9,isocontour,11.283791670955125,47517.32,99.99,-11.7,18.7,0.0,-1.0,-0.1,1.0,-11.7,18.7,0.0,9,3,0,0,3
0.2,10,isocontour,11.283791670955125,47517.67,100.0,-24.1,-13.0,0.0,-0.2,0.8,0.8,-24.1,-13.0,0.0,10,1,0,0,1
0.2,11,isocontour,11.283791670955125,47518.34,100.0,0.3,6.3,0.0,0.8,0.1,0.8,0.3,6.3,0.0,11,5,0,0,5
0.2,12,isocontour,11.283791670955125,47517.47,99.99,14.7,-11.1,0.0,0.3,-1.0,1.0,14.7,-11.1,0.0,12,3,0,0,3
0.2,13,isocontour,11.283791670955125,47517.4,99.99,15.6,2.6,0.0,0.2,1.0,1.0,15.6,2.6,0.0,13,5,0,0,5
0.2,14,isocontour,11.283791670955125,47517.72,100.0,-14.1,16.0,0.0,-0.6,-0.8,1.0,-14.1,16.0,0.0,14,3,0,0,3
0.2,15,isocontour,11.283791670955125,47517.74,100.0,-5.8,-3.6,0.0,-1.0,0.1,1.0,-5.8,-3.6,0.0,15,3,0,0,3
0.2,16,isocontour,11.283791670955125,47518.28,100.0,-16.5,3.8,0.0,-0.2,-0.8,0.8,-16.5,3.8,0.0,16,1,0,0,1
0.2,17,isocontour,11.283791670955125,47517.74,100.0,13.6,-3.2,0.0,-0.2,0.8,0.8,13.6,-3.2,0.0,17,6,0,0,6
0.2,18,isocontour,11.283791670955125,47518.16,100.0,18.8,-5.0,0.0,-0.1,0.9,0.9,18.8,-5.0,0.0,18,4,0,0,4
0.2,19,isocontour,11.283791670955125,47517.77,100.0,10.2,3.6,0.0,-0.0,0.9,0.9,10.2,3.6,0.0,19,8,0,0,8
0.2,20,isocontour,11.283791670955125,47517.83,100.0,-4.5,17.3,0.0,-0.9,-0.1,0.9,-4.5,17.3,0.0,20,5,0,0,5
0.2,21,isocontour,11.283791670955125,47518.1,100.0,13.9,10.8,0.0,-0.8,0.4,0.9,13.9,10.8,0.0,21,6,0,0,6
0.2,22,isocontour,11.283791670955125,47517.83,100.0,-5.2,16.8,0.0,0.9,0.3,0.9,-5.2,16.8,0.0,22,5,0,0,5
0.2,23,isocontour,11.283791670955125,47517.66,100.0,3.5,11.0,0.0,1.0,0.3,1.0,3.5,11.0,0.0,23,7,0,0,7
0.2,24,isocontour,11.283791670955125,47517.7,100.0,17.2,-16.5,0.0,0.6,-0.9,1.1,17.2,-16.5,0.0,24,1,0,0,1
0.2,25,isocontour,11.283791670955125,47517.9,100.0,-23.2,-10.4,0.0,1.0,0.3,1.0,-23.2,-10.4,0.0,25,1,0,0,1
0.2,Target,,,,,0.0,0.0,0.676,-0.0,-0.0,,,,,,,,,
0.3,1,isocontour,11.283791670955125,47515.72,99.99,-12.1,-5.6,0.0,-0.3,-1.0,1.0,-12.1,-5.6,0.0,1,2,0,0,2
0.3,2,isocontour,11.283791670955125,47516.7,99.99,1.5,-23.8,0.0,0.9,-0.0,0.9,1.5,-23.8,0.0,2,0,0,0,0
0.3,3,isocontour,11.283791670955125,47516.61,99.99,12.6,2.6,0.0,0.3,-0.8,0.9,12.6,2.6,0.0,3,6,0,0,6
0.3,4,isocontour,11.283791670955125,47516.51,99.99,16.1,16.3,0.0,1.0,-0.0,1.0,16.1,16.3,0.0,4,2,0,0,2
0.3,5,isocontour,11.283791670955125,47516.81,99.99,-1.6,3.0,0.02,-1.0,-0.2,1.0,-1.6,3.0,0.001,5,5,0,0,5
0.3,6,isocontour,11.283791670955125,47499.9,99.96,4.2,10.6,0.0,-0.5,-2.3,2.4,-1.5,3.0,0.001,5,7,0,0,7
0.3,7,isocontour,11.283791670955125,47516.75,99.99,13.6,23.7,0.0,-1.0,0.3,1.0,13.6,23.7,0.0,7,1,0,0,1
