Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,2860.16,0.001,1.144
0.2,2853.02,0.001,1.141
0.3,2853.02,0.002,1.141
0.4,2823.49,0.003,1.129
0.5,2823.49,0.003,1.129
0.6,2810.79,0.004,1.124
0.7,2806.35,0.005,1.123
0.8,2796.83,0.005,1.119
0.9,2785.71,0.006,1.114
1.0,2785.71,0.007,1.114
1.1,2774.13,0.007,1.11
1.2,2762.54,0.008,1.105
1.3,2752.54,0.009,1.101
1.4,2752.54,0.009,1.101
1.5,2712.06,0.01,1.085
1.6,2712.06,0.011,1.085
1.7,2602.54,0.011,1.041
1.8,2576.38,0.012,1.031
1.9,2563.22,0.013,1.025
2.0,2517.82,0.013,1.007
2.1,2517.82,0.014,1.007
2.2,2486.87,0.015,0.995
2.3,2466.87,0.015,0.987
2.4,2452.59,0.016,0.981
2.5,2421.44,0.017,0.969
2.6,2412.85,0.017,0.965
2.7,2358.2,0.018,0.943
2.8,2341.02,0.019,0.936
2.9,2327.34,0.019,0.931
3.0,2315.62,0.02,0.926
3.1,2277.83,0.021,0.911
3.2,2245.46,0.021,0.898
3.3,2245.46,0.022,0.898
3.4,2239.62,0.023,0.896
3.5,2229.73,0.023,0.892
3.6,2235.31,0.024,0.894
3.7,2198.92,0.025,0.88
3.8,2172.45,0.025,0.869
3.9,2175.33,0.026,0.87
4.0,2155.21,0.027,0.862
4.1,2147.46,0.027,0.859
4.2,2133.9,0.028,0.854
4.3,2130.87,0.029,0.852
4.4,2130.87,0.029,0.852
4.5,2119.5,0.03,0.848
4.6,2125.27,0.031,0.85
4.7,2127.83,0.031,0.851
4.8,2138.31,0.032,0.855
4.9,2144.95,0.033,0.858
5.0,2114.18,0.033,0.846
5.1,2028.17,0.034,0.811
5.2,2041.74,0.035,0.817
5.3,2041.74,0.035,0.817
5.4,2041.74,0.036,0.817
5.5,2029.18,0.037,0.812
5.6,2095.85,0.037,0.838
5.7,2112.94,0.038,0.845
5.8,2102.17,0.039,0.841
5.9,2118.97,0.039,0.848
6.0,2103.74,0.04,0.841
6.1,2098.97,0.041,0.84
6.2,2102.0,0.041,0.841
6.3,2096.77,0.042,0.839
6.4,2098.67,0.043,0.839
6.5,2087.48,0.043,0.835
6.6,2126.7,0.044,0.851
6.7,2141.1,0.045,0.856
6.8,2145.57,0.045,0.858
6.9,2172.89,0.046,0.869
7.0,2184.77,0.047,0.874
7.1,2190.8,0.047,0.876
7.2,2190.8,0.048,0.876
7.3,2190.8,0.049,0.876
7.4,2190.8,0.049,0.876
7.5,2197.95,0.05,0.879
7.6,2078.53,0.051,0.831
7.7,2045.2,0.051,0.818
7.8,1878.53,0.052,0.751
7.9,1811.87,0.053,0.725
8.0,1816.63,0.053,0.727
8.1,1816.63,0.054,0.727
8.2,1816.63,0.055,0.727
8.3,1834.78,0.055,0.734
8.4,1838.41,0.056,0.735
8.5,1851.62,0.057,0.741
8.6,1863.28,0.057,0.745
8.7,1869.48,0.058,0.748
8.8,1883.62,0.059,0.753
8.9,1883.62,0.059,0.753
9.0,1890.29,0.06,0.756
9.1,1890.29,0.061,0.756
9.2,1913.76,0.061,0.766
9.3,1913.76,0.062,0.766
9.4,1923.47,0.063,0.769
9.5,1944.14,0.063,0.778
9.6,1954.32,0.064,0.782
9.7,1986.84,0.065,0.795
9.8,1986.84,0.065,0.795
9.9,2000.0,0.066,0.8
10.0,2000.0,0.067,0.8
10.1,2000.0,0.067,0.8
10.2,2000.0,0.068,0.8
10.3,2000.0,0.069,0.8
10.4,2000.0,0.069,0.8
10.5,2000.0,0.07,0.8
10.6,2000.0,0.071,0.8
10.7,2000.0,0.071,0.8
10.8,2000.0,0.072,0.8
10.9,2000.0,0.073,0.8
11.0,2000.0,0.073,0.8
11.1,2000.0,0.074,0.8
11.2,2000.0,0.075,0.8
11.3,2000.0,0.075,0.8
11.4,2000.0,0.076,0.8
11.5,2000.0,0.077,0.8
11.6,2000.0,0.077,0.8
11.7,2000.0,0.078,0.8
11.8,2000.0,0.079,0.8
11.9,2000.0,0.079,0.8
12.0,2000.0,0.08,0.8
12.1,2000.0,0.081,0.8
12.2,2000.0,0.081,0.8
12.3,2000.0,0.082,0.8
12.4,2000.0,0.083,0.8
12.5,2000.0,0.083,0.8
12.6,2000.0,0.084,0.8
12.7,2000.0,0.085,0.8
12.8,2000.0,0.085,0.8
