Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
0.0,1,0.0,-12.0,-5.4,,,0.249
0.0,2,0.0,1.7,-23.8,,,0.249
0.0,3,0.0,12.6,2.6,,,0.249
0.0,4,0.0,16.0,16.1,,,0.249
0.0,5,0.0,-1.6,3.1,,,0.249
0.0,6,0.0,4.3,10.9,,,0.249
0.0,7,0.0,13.5,23.6,,,0.249
0.0,8,0.0,3.5,-3.0,,,0.249
0.0,9,0.0,-11.5,18.8,,,0.249
0.0,10,0.0,-24.1,-13.0,,,0.249
0.0,11,0.0,0.2,6.2,,,0.249
0.0,12,0.0,14.6,-11.0,,,0.249
0.0,13,0.0,15.5,2.4,,,0.249
0.0,14,0.0,-14.1,16.1,,,0.249
0.0,15,0.0,-5.7,-3.6,,,0.249
0.0,16,0.0,-16.5,4.0,,,0.249
0.0,17,0.0,13.5,-3.2,,,0.249
0.0,18,0.0,18.8,-5.2,,,0.249
0.0,19,0.0,10.2,3.7,,,0.249
0.0,20,0.0,-4.5,17.3,,,0.249
0.0,21,0.0,14.0,10.7,,,0.249
0.0,22,0.0,-5.3,16.8,,,0.249
0.0,23,0.0,3.5,11.0,,,0.249
0.0,24,0.0,17.2,-16.5,,,0.249
0.0,25,0.0,-23.2,-10.4,,,0.249
0.1,1,0.0,-12.1,-5.4,2.0,7.523,0.249
0.1,2,0.0,1.6,-23.8,0.0,22.568,0.249
0.1,3,0.0,12.7,2.7,6.0,3.224,0.249
0.1,4,0.0,16.1,16.2,2.0,7.523,0.249
0.1,5,0.0,-1.6,3.1,5.0,3.761,0.249
0.1,6,0.0,4.2,10.9,6.0,3.224,0.249
0.1,7,0.0,13.6,23.6,1.0,11.284,0.249
0.1,8,0.0,3.5,-3.0,6.0,3.224,0.249
0.1,9,0.0,-11.6,18.7,3.0,5.642,0.249
0.1,10,0.0,-24.1,-13.1,1.0,11.284,0.249
0.1,11,0.0,0.2,6.3,5.0,3.761,0.249
0.1,12,0.0,14.7,-11.0,3.0,5.642,0.249
0.1,13,0.0,15.6,2.5,5.0,3.761,0.249
0.1,14,0.0,-14.0,16.1,3.0,5.642,0.249
0.1,15,0.0,-5.7,-3.6,3.0,5.642,0.249
0.1,16,0.0,-16.5,3.9,1.0,11.284,0.249
0.1,17,0.0,13.6,-3.3,6.0,3.224,0.249
0.1,18,0.0,18.8,-5.1,4.0,4.514,0.249
0.1,19,0.0,10.2,3.6,8.0,2.508,0.249
0.1,20,0.0,-4.4,17.4,5.0,3.761,0.249
0.1,21,0.0,14.0,10.8,6.0,3.224,0.249
0.1,22,0.0,-5.2,16.8,5.0,3.761,0.249
0.1,23,0.0,3.4,11.0,7.0,2.821,0.249
0.1,24,0.0,17.2,-16.5,1.0,11.284,0.249
0.1,25,0.0,-23.2,-10.4,1.0,11.284,0.249
0.2,1,0.0,-12.1,-5.5,2.0,7.523,0.249
0.2,2,0.0,1.5,-23.8,0.0,22.568,0.249
0.2,3,0.0,12.6,2.7,6.0,3.224,0.249
