Time,Average Abs(zi-z_goal)/range,Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,0.249,0.0,0.0,18.8,23.6,-24.1,-23.8,180.6,0.0
0.1,0.249,161.37,0.001,18.8,23.6,-24.1,-23.8,180.6,0.894
0.2,0.249,160.97,0.001,18.8,23.6,-24.1,-23.8,180.6,0.891
0.3,0.249,160.97,0.002,18.8,23.7,-24.2,-23.8,181.0,0.889
0.4,0.248,159.3,0.003,18.8,23.7,-24.3,-23.8,181.2,0.879
0.5,0.247,159.3,0.003,18.8,23.8,-24.3,-23.8,181.4,0.878
0.6,0.244,158.59,0.004,18.8,23.8,-24.3,-23.8,181.4,0.874
0.7,0.242,158.34,0.005,18.7,23.9,-24.4,-23.9,181.8,0.871
0.8,0.238,157.8,0.005,18.6,23.9,-24.4,-23.8,181.4,0.87
0.9,0.234,157.17,0.006,18.5,24.0,-24.3,-23.8,181.2,0.867
1.0,0.23,157.17,0.007,18.3,23.9,-24.3,-23.8,180.6,0.87
1.1,0.225,156.52,0.007,18.2,23.9,-24.3,-23.8,180.4,0.868
1.2,0.218,155.86,0.008,18.0,23.9,-24.4,-23.8,180.2,0.865
1.3,0.212,155.3,0.009,17.8,23.8,-24.5,-23.8,179.8,0.864
1.4,0.205,155.3,0.009,17.6,23.6,-24.6,-23.8,179.2,0.867
1.5,0.197,153.02,0.01,17.4,23.5,-24.6,-23.8,178.6,0.857
1.6,0.192,153.02,0.011,17.2,23.3,-24.7,-23.8,178.0,0.86
1.7,0.189,146.84,0.011,17.0,23.0,-24.5,-23.8,176.6,0.831
1.8,0.187,145.36,0.012,16.9,22.8,-24.4,-23.8,175.8,0.827
1.9,0.185,144.62,0.013,16.7,22.5,-24.3,-23.8,174.6,0.828
2.0,0.182,142.06,0.013,16.7,22.3,-24.2,-23.8,174.0,0.816
2.1,0.179,142.06,0.014,16.7,22.1,-24.1,-23.8,173.4,0.819
2.2,0.174,140.31,0.015,16.7,21.9,-24.0,-23.7,172.6,0.813
2.3,0.169,139.18,0.015,16.7,21.7,-24.0,-23.7,172.2,0.808
2.4,0.164,138.38,0.016,16.7,21.6,-24.0,-23.7,172.0,0.805
2.5,0.16,136.62,0.017,16.6,21.4,-23.9,-23.8,171.4,0.797
2.6,0.156,136.14,0.017,16.6,21.1,-23.8,-23.8,170.6,0.798
2.7,0.153,133.05,0.018,16.5,20.9,-23.7,-23.8,169.8,0.784
2.8,0.15,132.08,0.019,16.3,20.7,-23.6,-23.8,168.8,0.782
2.9,0.146,131.31,0.019,16.3,20.4,-23.5,-23.9,168.2,0.781
3.0,0.146,130.65,0.02,16.1,20.1,-23.4,-23.9,167.0,0.782
3.1,0.145,128.52,0.021,16.0,19.8,-23.4,-23.9,166.2,0.773
3.2,0.145,126.69,0.021,15.9,19.6,-23.3,-23.9,165.4,0.766
3.3,0.143,126.69,0.022,15.9,19.4,-23.3,-23.9,165.0,0.768
3.4,0.141,126.36,0.023,15.9,19.2,-23.3,-23.9,164.6,0.768
3.5,0.138,125.8,0.023,15.8,18.9,-23.3,-24.0,164.0,0.767
3.6,0.136,126.12,0.024,15.7,18.7,-23.3,-24.0,163.4,0.772
3.7,0.133,124.06,0.025,15.6,18.5,-23.3,-24.0,162.8,0.762
3.8,0.13,122.57,0.025,15.5,18.2,-23.4,-24.0,162.2,0.756
3.9,0.128,122.73,0.026,15.3,18.0,-23.4,-24.0,161.4,0.76
4.0,0.127,121.6,0.027,15.2,17.7,-23.3,-24.0,160.4,0.758
4.1,0.127,121.16,0.027,15.1,17.5,-23.2,-24.0,159.6,0.759
4.2,0.126,120.4,0.028,15.1,17.4,-23.2,-24.0,159.4,0.755
4.3,0.126,120.23,0.029,15.0,17.1,-23.1,-24.0,158.4,0.759
4.4,0.124,120.23,0.029,14.8,16.8,-23.1,-24.0,157.4,0.764
4.5,0.125,119.58,0.03,14.6,16.6,-23.1,-24.0,156.6,0.764
4.6,0.126,119.91,0.031,14.5,16.3,-23.2,-24.0,156.0,0.769
4.7,0.126,120.06,0.031,14.4,16.2,-23.2,-24.0,155.6,0.772
4.8,0.126,120.65,0.032,14.2,15.9,-23.1,-24.0,154.4,0.781
4.9,0.125,121.02,0.033,14.1,15.7,-23.1,-24.0,153.8,0.787
5.0,0.124,119.29,0.033,14.0,15.4,-23.2,-24.1,153.4,0.778
5.1,0.123,114.43,0.034,14.0,15.1,-23.2,-24.1,152.8,0.749
5.2,0.122,115.2,0.035,13.9,14.9,-23.1,-24.0,151.8,0.759
5.3,0.122,115.2,0.035,13.8,14.7,-23.1,-24.0,151.2,0.762
5.4,0.121,115.2,0.036,13.8,14.4,-22.8,-24.1,150.2,0.767
