Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,1.62,2.73,0.0,0.0,1.62,2.73,3.174,0.0,0.937,330.0,1.0
0.1,1.64,2.74,0.0,0.0,1.64,2.74,3.193,0.001,0.936,329.99241,1.0
0.2,1.62,2.73,0.0,0.0,1.62,2.73,3.174,0.001,0.937,329.98471,1.0
0.3,1.11,2.46,0.0,0.0,1.11,2.46,2.699,0.002,0.946,329.94879,1.0
0.4,0.12,0.88,0.0,0.0,0.12,0.88,0.888,0.003,0.982,329.88981,1.0
0.5,-0.66,-0.61,0.0,0.0,-0.66,-0.61,0.899,0.003,0.982,329.83871,1.0
0.6,-1.9,-0.88,0.0,0.0,-1.9,-0.88,2.094,0.004,0.958,329.78115,0.999
0.7,-2.17,-0.6,0.0,0.0,-2.17,-0.6,2.251,0.005,0.955,329.71766,0.999
0.8,-2.45,-0.32,0.0,0.0,-2.45,-0.32,2.471,0.005,0.951,329.64738,0.999
0.9,-1.66,-1.34,0.0,0.0,-1.66,-1.34,2.133,0.006,0.957,329.56118,0.999
1.0,-1.21,-1.98,0.0,0.0,-1.21,-1.98,2.32,0.007,0.954,329.47637,0.998
1.1,-1.73,-1.38,0.0,0.0,-1.73,-1.38,2.213,0.007,0.956,329.36329,0.998
1.2,-1.09,-2.21,0.0,0.0,-1.09,-2.21,2.464,0.008,0.951,329.23448,0.998
1.3,-0.49,-3.01,0.0,0.0,-0.49,-3.01,3.05,0.009,0.939,329.13541,0.997
1.4,-1.12,-2.3,0.0,0.0,-1.12,-2.3,2.558,0.009,0.949,329.0365,0.997
1.5,-0.71,-2.81,0.0,0.0,-0.71,-2.81,2.898,0.01,0.942,328.95188,0.997
1.6,-0.67,-2.64,0.0,0.0,-0.67,-2.64,2.724,0.011,0.946,328.86518,0.997
1.7,-1.4,-1.82,0.0,0.0,-1.4,-1.82,2.296,0.011,0.954,328.72633,0.996
1.8,-1.91,-1.2,0.0,0.0,-1.91,-1.2,2.256,0.012,0.955,328.62005,0.996
1.9,-2.39,-0.57,0.0,0.0,-2.39,-0.57,2.457,0.013,0.951,328.52941,0.996
2.0,1.27,2.17,0.0,0.0,1.27,2.17,2.514,0.013,0.95,328.39599,0.995
