Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,3285.24,0.001,1.314
0.2,3368.57,0.001,1.347
0.3,3308.57,0.002,1.323
0.4,3346.67,0.003,1.339
0.5,3325.24,0.003,1.33
0.6,3281.91,0.004,1.313
0.7,3248.58,0.005,1.299
0.8,3195.24,0.005,1.278
0.9,3168.57,0.006,1.267
1.0,3205.24,0.007,1.282
1.1,3258.57,0.007,1.303
1.2,3081.91,0.008,1.233
1.3,3081.91,0.009,1.233
1.4,3048.57,0.009,1.219
1.5,3031.9,0.01,1.213
1.6,3031.67,0.011,1.213
1.7,3001.67,0.011,1.201
1.8,2970.79,0.012,1.188
1.9,2961.27,0.013,1.185
2.0,2941.03,0.013,1.176
2.1,2891.51,0.014,1.157
2.2,2846.74,0.015,1.139
2.3,2826.74,0.015,1.131
2.4,2748.65,0.016,1.099
2.5,2737.54,0.017,1.095
2.6,2669.92,0.017,1.068
2.7,2664.12,0.018,1.066
2.8,2613.88,0.019,1.046
2.9,2663.88,0.019,1.066
3.0,2458.33,0.02,0.983
3.1,2359.36,0.021,0.944
3.2,2448.42,0.021,0.979
3.3,2459.84,0.022,0.984
3.4,2386.05,0.023,0.954
3.5,2372.08,0.023,0.949
3.6,2369.7,0.024,0.948
3.7,2348.27,0.025,0.939
3.8,2316.37,0.025,0.927
3.9,2298.52,0.026,0.919
4.0,2264.0,0.027,0.906
4.1,2250.18,0.027,0.9
4.2,2216.77,0.028,0.887
4.3,2198.44,0.029,0.879
4.4,2172.21,0.029,0.869
4.5,2160.54,0.03,0.864
4.6,2162.76,0.031,0.865
4.7,2160.71,0.031,0.864
4.8,2146.53,0.032,0.859
4.9,2145.8,0.033,0.858
5.0,2146.11,0.033,0.858
5.1,2119.79,0.034,0.848
5.2,2123.8,0.035,0.85
5.3,2132.13,0.035,0.853
5.4,2106.88,0.036,0.843
5.5,2103.97,0.037,0.842
5.6,2110.01,0.037,0.844
5.7,2075.3,0.038,0.83
5.8,2059.98,0.039,0.824
5.9,2055.92,0.039,0.822
6.0,2026.98,0.04,0.811
6.1,2004.12,0.041,0.802
6.2,1970.55,0.041,0.788
6.3,1962.65,0.042,0.785
6.4,1943.75,0.043,0.778
6.5,1933.99,0.043,0.774
6.6,1931.42,0.044,0.773
6.7,1931.42,0.045,0.773
6.8,1937.47,0.045,0.775
6.9,1937.47,0.046,0.775
7.0,1937.47,0.047,0.775
7.1,1937.47,0.047,0.775
7.2,1870.8,0.048,0.748
7.3,1870.8,0.049,0.748
7.4,1831.63,0.049,0.733
7.5,1748.3,0.05,0.699
7.6,1759.25,0.051,0.704
7.7,1759.25,0.051,0.704
7.8,1754.04,0.052,0.702
7.9,1793.09,0.053,0.717
8.0,1822.5,0.053,0.729
8.1,1856.78,0.054,0.743
8.2,1856.78,0.055,0.743
8.3,1856.78,0.055,0.743
8.4,1856.78,0.056,0.743
8.5,1856.78,0.057,0.743
8.6,1856.78,0.057,0.743
8.7,1856.78,0.058,0.743
8.8,1856.78,0.059,0.743
8.9,1856.78,0.059,0.743
9.0,1852.18,0.06,0.741
9.1,1848.14,0.061,0.739
9.2,1846.33,0.061,0.739
9.3,1846.33,0.062,0.739
9.4,1848.14,0.063,0.739
