Time,Average Abs(zi-z_goal)/range,Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,0.249,0.0,0.0,20.9,23.9,0.7,-21.6,131.4,0.0
0.1,0.243,79.79,0.001,20.8,24.0,0.7,-21.6,131.4,0.607
0.2,0.236,79.79,0.001,20.8,24.0,0.7,-21.6,131.4,0.607
0.3,0.23,79.79,0.002,20.8,24.0,0.6,-21.6,131.6,0.606
0.4,0.225,79.79,0.003,20.8,24.0,0.7,-21.7,131.6,0.606
0.5,0.219,79.79,0.003,20.7,24.0,0.7,-21.8,131.6,0.606
0.6,0.214,79.79,0.004,20.7,24.0,0.7,-21.8,131.6,0.606
0.7,0.209,79.79,0.005,20.7,24.1,0.7,-21.7,131.6,0.606
0.8,0.205,79.79,0.005,20.6,24.0,0.8,-21.8,131.2,0.608
0.9,0.201,79.79,0.006,20.6,24.0,0.8,-21.7,131.0,0.609
1.0,0.202,79.79,0.007,20.6,24.0,0.8,-21.7,131.0,0.609
1.1,0.206,79.79,0.007,20.5,24.0,0.8,-21.7,130.8,0.61
1.2,0.209,79.79,0.008,20.3,23.8,1.0,-21.6,129.4,0.617
1.3,0.21,79.79,0.009,20.2,23.7,1.1,-21.7,129.0,0.619
1.4,0.211,79.79,0.009,20.1,23.5,1.3,-21.6,127.8,0.624
1.5,0.212,79.79,0.01,19.9,23.3,1.5,-21.6,126.6,0.63
1.6,0.212,79.79,0.011,19.8,23.1,1.6,-21.5,125.6,0.635
1.7,0.211,79.79,0.011,19.6,23.0,1.7,-21.6,125.0,0.638
1.8,0.211,79.79,0.012,19.4,22.8,1.8,-21.6,124.0,0.643
1.9,0.211,79.79,0.013,19.2,22.6,2.0,-21.6,122.8,0.65
2.0,0.209,79.79,0.013,19.1,22.4,2.1,-21.6,122.0,0.654
2.1,0.206,79.79,0.014,18.9,22.3,2.2,-21.6,121.2,0.658
2.2,0.204,79.79,0.015,18.7,22.2,2.3,-21.5,120.2,0.664
2.3,0.202,79.79,0.015,18.5,22.0,2.2,-21.6,119.8,0.666
2.4,0.2,79.79,0.016,18.3,21.8,2.4,-21.6,118.6,0.673
2.5,0.196,79.79,0.017,18.1,21.7,2.4,-21.7,118.2,0.675
2.6,0.192,79.79,0.017,18.0,21.5,2.3,-21.7,117.8,0.677
2.7,0.188,79.79,0.018,17.7,21.4,2.1,-21.7,117.4,0.68
2.8,0.183,79.79,0.019,17.6,21.2,1.9,-21.6,117.0,0.682
2.9,0.177,79.79,0.019,17.4,21.0,1.8,-21.6,116.4,0.685
3.0,0.172,79.79,0.02,17.1,20.9,1.6,-21.5,115.8,0.689
3.1,0.166,79.79,0.021,17.0,20.7,1.7,-21.5,115.0,0.694
3.2,0.161,79.79,0.021,16.9,20.5,1.7,-21.5,114.4,0.697
3.3,0.155,79.79,0.022,16.8,20.3,1.6,-21.5,114.0,0.7
3.4,0.149,79.79,0.023,16.7,20.2,1.5,-21.4,113.6,0.702
3.5,0.143,79.79,0.023,16.7,20.0,1.4,-21.3,113.2,0.705
3.6,0.136,79.79,0.024,16.6,19.8,1.5,-21.3,112.4,0.71
3.7,0.13,79.79,0.025,16.7,19.6,1.4,-21.3,112.4,0.71
3.8,0.126,79.79,0.025,16.6,19.4,1.5,-21.2,111.4,0.716
3.9,0.124,79.79,0.026,16.6,19.3,1.3,-21.1,111.4,0.716
4.0,0.121,79.79,0.027,16.7,19.1,1.1,-21.0,111.4,0.716
4.1,0.118,79.79,0.027,16.9,18.9,1.0,-20.8,111.2,0.718
4.2,0.116,79.79,0.028,17.0,18.7,0.9,-20.7,111.0,0.719
4.3,0.113,79.79,0.029,17.1,18.5,1.1,-20.4,109.8,0.727
