,Time Averaged Non-Dimensional Area Coverage,heterogeneity,seekers,explorers,isocontours
0,0.9238053333333334,0.0,0,0,25
0,0.7960193333333333,0.04,0,1,24
0,0.8237813333333334,0.08,0,2,23
0,0.8749933333333333,0.12,0,3,22
0,0.932054,0.16,0,4,21
0,0.9610953333333332,0.2,0,5,20
0,0.9426073333333334,0.24,0,6,19
0,0.7967786666666667,0.28,0,7,18
0,0.934758,0.32,0,8,17
0,1.0478526666666668,0.36,0,9,16
0,0.9913013333333334,0.4,0,10,15
0,1.032654,0.44,0,11,14
0,1.019188,0.48,0,12,13
0,1.0743686666666663,0.52,0,13,12
0,1.01353,0.56,0,14,11
0,0.944392,0.6,0,15,10
0,0.9472653333333334,0.64,0,16,9
0,0.801526,0.68,0,17,8
0,0.9123973333333332,0.72,0,18,7
0,0.937672,0.76,0,19,6
0,0.8301006666666666,0.8,0,20,5
0,0.8628466666666667,0.84,0,21,4
0,0.915918,0.88,0,22,3
0,0.736996,0.92,0,23,2
0,0.960702,0.96,0,24,1
