Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,2.17,2.34,0.0,0.0,2.17,2.34,3.191,0.0,0.936,330.0,1.0
0.1,2.2,2.32,0.0,0.0,2.2,2.32,3.197,0.001,0.936,329.91408,1.0
0.2,2.22,2.29,0.0,0.0,2.22,2.29,3.189,0.001,0.936,329.86088,1.0
0.3,2.26,2.3,0.0,0.0,2.26,2.3,3.225,0.002,0.936,329.8077,0.999
0.4,2.26,2.28,0.0,0.0,2.26,2.28,3.21,0.003,0.936,329.71175,0.999
0.5,3.17,2.82,0.0,0.0,3.17,2.82,4.243,0.003,0.915,329.65779,0.999
0.6,3.7,1.78,0.0,0.0,3.7,1.78,4.106,0.004,0.918,329.58941,0.999
0.7,3.94,1.5,0.0,0.0,3.94,1.5,4.216,0.005,0.916,329.49544,0.998
0.8,3.98,1.58,0.0,0.0,3.98,1.58,4.282,0.005,0.914,329.41688,0.998
0.9,3.45,0.72,0.0,0.0,3.45,0.72,3.524,0.006,0.93,329.26068,0.998
1.0,3.18,0.44,0.0,0.0,3.18,0.44,3.21,0.007,0.936,329.16416,0.997
1.1,2.69,-0.09,0.0,0.0,2.69,-0.09,2.692,0.007,0.946,329.05408,0.997
1.2,2.5,0.69,0.0,0.0,2.5,0.69,2.593,0.008,0.948,328.87247,0.997
1.3,2.6,0.72,0.0,0.0,2.6,0.72,2.698,0.009,0.946,328.71699,0.996
1.4,2.66,0.78,0.0,0.0,2.66,0.78,2.772,0.009,0.945,328.57551,0.996
1.5,3.48,0.96,0.0,0.0,3.48,0.96,3.61,0.01,0.928,328.47987,0.995
1.6,2.78,0.86,0.0,0.0,2.78,0.86,2.91,0.011,0.942,328.36152,0.995
1.7,2.93,0.33,0.0,0.0,2.93,0.33,2.949,0.011,0.941,328.24719,0.995
1.8,2.95,0.95,0.0,0.0,2.95,0.95,3.099,0.012,0.938,328.11807,0.994
1.9,2.97,1.0,0.0,0.0,2.97,1.0,3.134,0.013,0.937,327.99584,0.994
2.0,2.62,2.09,0.0,0.0,2.62,2.09,3.351,0.013,0.933,327.82738,0.993
2.1,2.96,0.19,0.0,0.0,2.96,0.19,2.966,0.014,0.941,327.67898,0.993
2.2,3.19,0.46,0.0,0.0,3.19,0.46,3.223,0.015,0.936,327.56263,0.993
2.3,3.23,1.02,0.0,0.0,3.23,1.02,3.387,0.015,0.932,327.41286,0.992
2.4,3.24,1.3,0.0,0.0,3.24,1.3,3.491,0.016,0.93,327.24858,0.992
2.5,3.43,2.8,0.0,0.0,3.43,2.8,4.428,0.017,0.911,327.10712,0.991
2.6,2.45,3.2,0.0,0.0,2.45,3.2,4.03,0.017,0.919,326.95065,0.991
2.7,2.42,3.45,0.0,0.0,2.42,3.45,4.214,0.018,0.916,326.83977,0.99
2.8,2.56,3.52,0.0,0.0,2.56,3.52,4.352,0.019,0.913,326.70805,0.99
2.9,2.6,3.57,0.0,0.0,2.6,3.57,4.416,0.019,0.912,326.61914,0.99
3.0,3.61,3.14,0.0,0.0,3.61,3.14,4.785,0.02,0.904,326.49015,0.989
3.1,2.76,3.6,0.0,0.0,2.76,3.6,4.536,0.021,0.909,326.40425,0.989
3.2,2.82,3.63,0.0,0.0,2.82,3.63,4.597,0.021,0.908,326.26577,0.989
3.3,2.97,3.62,0.0,0.0,2.97,3.62,4.682,0.022,0.906,326.16566,0.988
3.4,3.04,3.58,0.0,0.0,3.04,3.58,4.697,0.023,0.906,326.04839,0.988
3.5,4.13,3.06,0.0,0.0,4.13,3.06,5.14,0.023,0.897,325.93637,0.988
3.6,3.31,3.51,0.0,0.0,3.31,3.51,4.825,0.024,0.904,325.83889,0.987
3.7,3.42,3.45,0.0,0.0,3.42,3.45,4.858,0.025,0.903,325.7458,0.987
3.8,3.52,3.4,0.0,0.0,3.52,3.4,4.894,0.025,0.902,325.67094,0.987
3.9,3.6,3.38,0.0,0.0,3.6,3.38,4.938,0.026,0.901,325.5657,0.987
4.0,2.76,1.28,0.0,0.0,2.76,1.28,3.042,0.027,0.939,325.48971,0.986
4.1,3.74,1.68,0.0,0.0,3.74,1.68,4.1,0.027,0.918,325.41028,0.986
4.2,3.46,3.11,0.0,0.0,3.46,3.11,4.652,0.028,0.907,325.30686,0.986
4.3,3.44,3.06,0.0,0.0,3.44,3.06,4.604,0.029,0.908,325.21349,0.985
4.4,3.34,3.24,0.0,0.0,3.34,3.24,4.653,0.029,0.907,325.08501,0.985
4.5,4.22,2.85,0.0,0.0,4.22,2.85,5.092,0.03,0.898,324.99778,0.985
4.6,3.8,3.75,0.0,0.0,3.8,3.75,5.339,0.031,0.893,324.91037,0.985
4.7,3.81,3.77,0.0,0.0,3.81,3.77,5.36,0.031,0.893,324.82484,0.984
4.8,3.99,3.94,0.0,0.0,3.99,3.94,5.607,0.032,0.888,324.70056,0.984
4.9,4.02,3.91,0.0,0.0,4.02,3.91,5.608,0.033,0.888,324.62043,0.984
5.0,4.38,2.87,0.0,0.0,4.38,2.87,5.237,0.033,0.895,324.51041,0.983
5.1,4.01,3.71,0.0,0.0,4.01,3.71,5.463,0.034,0.891,324.44402,0.983
5.2,4.0,3.71,0.0,0.0,4.0,3.71,5.456,0.035,0.891,324.33986,0.983
5.3,4.5,1.66,0.0,0.0,4.5,1.66,4.796,0.035,0.904,324.2293,0.983
5.4,4.42,1.58,0.0,0.0,4.42,1.58,4.694,0.036,0.906,324.09217,0.982
5.5,4.55,2.21,0.0,0.0,4.55,2.21,5.058,0.037,0.899,323.96778,0.982
5.6,4.43,1.64,0.0,0.0,4.43,1.64,4.724,0.037,0.906,323.85971,0.981
5.7,4.4,1.68,0.0,0.0,4.4,1.68,4.71,0.038,0.906,323.74488,0.981
5.8,4.44,1.54,0.0,0.0,4.44,1.54,4.699,0.039,0.906,323.64342,0.981
5.9,4.42,1.44,0.0,0.0,4.42,1.44,4.649,0.039,0.907,323.55579,0.98
6.0,3.09,-0.2,0.0,0.0,3.09,-0.2,3.096,0.04,0.938,323.45433,0.98
6.1,4.64,1.24,0.0,0.0,4.64,1.24,4.803,0.041,0.904,323.31408,0.98
6.2,3.87,1.66,0.0,0.0,3.87,1.66,4.211,0.041,0.916,323.19159,0.979
6.3,1.38,-0.54,0.0,0.0,1.38,-0.54,1.482,0.042,0.97,323.05202,0.979
6.4,0.13,-1.64,0.0,0.0,0.13,-1.64,1.645,0.043,0.967,322.94006,0.979
6.5,1.4,-1.43,0.0,0.0,1.4,-1.43,2.001,0.043,0.96,322.84133,0.978
6.6,0.34,-1.59,0.0,0.0,0.34,-1.59,1.626,0.044,0.967,322.74061,0.978
6.7,0.43,-1.54,0.0,0.0,0.43,-1.54,1.599,0.045,0.968,322.61203,0.978
6.8,0.53,-1.43,0.0,0.0,0.53,-1.43,1.525,0.045,0.97,322.50075,0.977
6.9,0.59,-1.49,0.0,0.0,0.59,-1.49,1.603,0.046,0.968,322.42231,0.977
7.0,1.78,-1.2,0.0,0.0,1.78,-1.2,2.147,0.047,0.957,322.3121,0.977
7.1,0.42,-1.46,0.0,0.0,0.42,-1.46,1.519,0.047,0.97,322.23658,0.976
7.2,0.36,-1.46,0.0,0.0,0.36,-1.46,1.504,0.048,0.97,322.10223,0.976
7.3,0.34,-1.37,0.0,0.0,0.34,-1.37,1.412,0.049,0.972,322.03915,0.976
7.4,0.34,-1.36,0.0,0.0,0.34,-1.36,1.402,0.049,0.972,321.95467,0.976
7.5,1.67,-1.11,0.0,0.0,1.67,-1.11,2.005,0.05,0.96,321.8352,0.975
7.6,0.36,-1.34,0.0,0.0,0.36,-1.34,1.388,0.051,0.972,321.72511,0.975
7.7,0.35,-1.37,0.0,0.0,0.35,-1.37,1.414,0.051,0.972,321.62631,0.975
7.8,0.34,-1.38,0.0,0.0,0.34,-1.38,1.421,0.052,0.972,321.53323,0.974
7.9,0.36,-1.4,0.0,0.0,0.36,-1.4,1.446,0.053,0.971,321.44042,0.974
8.0,3.71,-0.11,0.0,0.0,3.71,-0.11,3.712,0.053,0.926,321.36226,0.974
8.1,4.39,1.25,0.0,0.0,4.39,1.25,4.564,0.054,0.909,321.27854,0.974
8.2,1.92,1.92,0.0,0.0,1.92,1.92,2.715,0.055,0.946,321.16997,0.973
8.3,0.58,2.8,0.0,0.0,0.58,2.8,2.859,0.055,0.943,321.09308,0.973
8.4,0.6,2.78,0.0,0.0,0.6,2.78,2.844,0.056,0.943,320.99904,0.973
8.5,2.17,0.68,0.0,0.0,2.17,0.68,2.274,0.057,0.955,320.92262,0.972
8.6,0.83,0.76,0.0,0.0,0.83,0.76,1.125,0.057,0.978,320.8303,0.972
8.7,0.81,0.79,0.0,0.0,0.81,0.79,1.131,0.058,0.977,320.72572,0.972
8.8,0.75,0.53,0.0,0.0,0.75,0.53,0.918,0.059,0.982,320.64381,0.972
8.9,0.89,-0.7,0.0,0.0,0.89,-0.7,1.132,0.059,0.977,320.54837,0.971
9.0,2.18,-0.96,0.0,0.0,2.18,-0.96,2.382,0.06,0.952,320.44627,0.971
9.1,0.81,-1.31,0.0,0.0,0.81,-1.31,1.54,0.061,0.969,320.38178,0.971
9.2,0.78,-1.24,0.0,0.0,0.78,-1.24,1.465,0.061,0.971,320.30629,0.971
9.3,0.74,-1.31,0.0,0.0,0.74,-1.31,1.505,0.062,0.97,320.21933,0.97
9.4,0.76,-1.3,0.0,0.0,0.76,-1.3,1.506,0.063,0.97,320.13544,0.97
9.5,2.12,-0.94,0.0,0.0,2.12,-0.94,2.319,0.063,0.954,320.06608,0.97
9.6,0.77,-1.28,0.0,0.0,0.77,-1.28,1.494,0.064,0.97,319.91895,0.969
9.7,0.74,-1.29,0.0,0.0,0.74,-1.29,1.487,0.065,0.97,319.84332,0.969
9.8,0.75,-1.31,0.0,0.0,0.75,-1.31,1.51,0.065,0.97,319.77332,0.969
9.9,0.75,-1.3,0.0,0.0,0.75,-1.3,1.501,0.066,0.97,319.71128,0.969
10.0,3.74,-0.01,0.0,0.0,3.74,-0.01,3.74,0.067,0.925,319.62846,0.969
10.1,4.88,2.76,0.0,0.0,4.88,2.76,5.606,0.067,0.888,319.53129,0.968
10.2,5.56,1.19,0.0,0.0,5.56,1.19,5.686,0.068,0.886,319.39768,0.968
10.3,5.86,0.5,0.0,0.0,5.86,0.5,5.881,0.069,0.882,319.31088,0.968
10.4,5.86,0.42,0.0,0.0,5.86,0.42,5.875,0.069,0.883,319.24693,0.967
10.5,6.14,0.4,0.0,0.0,6.14,0.4,6.153,0.07,0.877,319.10852,0.967
10.6,5.85,0.38,0.0,0.0,5.85,0.38,5.862,0.071,0.883,318.98175,0.967
10.7,5.85,0.38,0.0,0.0,5.85,0.38,5.862,0.071,0.883,318.84577,0.966
10.8,5.86,0.38,0.0,0.0,5.86,0.38,5.872,0.072,0.883,318.72606,0.966
10.9,5.85,0.36,0.0,0.0,5.85,0.36,5.861,0.073,0.883,318.6077,0.965
11.0,6.12,0.4,0.0,0.0,6.12,0.4,6.133,0.073,0.877,318.52421,0.965
11.1,5.72,0.58,0.0,0.0,5.72,0.58,5.749,0.074,0.885,318.43944,0.965
11.2,5.81,0.34,0.0,0.0,5.81,0.34,5.82,0.075,0.884,318.36947,0.965
11.3,5.76,0.36,0.0,0.0,5.76,0.36,5.771,0.075,0.885,318.25292,0.964
11.4,5.75,0.42,0.0,0.0,5.75,0.42,5.765,0.076,0.885,318.12773,0.964
11.5,5.92,0.42,0.0,0.0,5.92,0.42,5.935,0.077,0.881,318.02172,0.964
11.6,5.26,-0.22,0.0,0.0,5.26,-0.22,5.265,0.077,0.895,317.91535,0.963
11.7,5.28,-0.11,0.0,0.0,5.28,-0.11,5.281,0.078,0.894,317.81478,0.963
11.8,5.27,-0.09,0.0,0.0,5.27,-0.09,5.271,0.079,0.895,317.71238,0.963
11.9,5.26,-0.1,0.0,0.0,5.26,-0.1,5.261,0.079,0.895,317.55113,0.962
12.0,3.55,-0.18,0.0,0.0,3.55,-0.18,3.555,0.08,0.929,317.35401,0.962
12.1,4.24,-0.21,0.0,0.0,4.24,-0.21,4.245,0.081,0.915,317.24566,0.961
12.2,5.32,-0.06,0.0,0.0,5.32,-0.06,5.32,0.081,0.894,317.14121,0.961
12.3,5.32,-0.15,0.0,0.0,5.32,-0.15,5.322,0.082,0.894,317.05178,0.961
12.4,5.29,-0.13,0.0,0.0,5.29,-0.13,5.292,0.083,0.894,316.96633,0.961
12.5,5.86,0.52,0.0,0.0,5.86,0.52,5.883,0.083,0.882,316.87476,0.96
12.6,5.17,0.11,0.0,0.0,5.17,0.11,5.171,0.084,0.897,316.77007,0.96
12.7,5.23,-0.14,0.0,0.0,5.23,-0.14,5.232,0.085,0.895,316.65987,0.96
12.8,5.22,-0.14,0.0,0.0,5.22,-0.14,5.222,0.085,0.896,316.56161,0.959
12.9,5.22,-0.14,0.0,0.0,5.22,-0.14,5.222,0.086,0.896,316.47362,0.959
13.0,5.79,0.54,0.0,0.0,5.79,0.54,5.815,0.087,0.884,316.36213,0.959
13.1,5.08,0.08,0.0,0.0,5.08,0.08,5.081,0.087,0.898,316.25418,0.958
13.2,5.2,-0.17,0.0,0.0,5.2,-0.17,5.203,0.088,0.896,316.16034,0.958
13.3,5.2,-0.18,0.0,0.0,5.2,-0.18,5.203,0.089,0.896,316.07034,0.958
13.4,5.2,-0.18,0.0,0.0,5.2,-0.18,5.203,0.089,0.896,315.96907,0.957
13.5,5.78,0.46,0.0,0.0,5.78,0.46,5.798,0.09,0.884,315.89606,0.957
13.6,5.11,0.06,0.0,0.0,5.11,0.06,5.11,0.091,0.898,315.80634,0.957
13.7,5.2,-0.19,0.0,0.0,5.2,-0.19,5.203,0.091,0.896,315.72467,0.957
13.8,5.22,-0.19,0.0,0.0,5.22,-0.19,5.223,0.092,0.896,315.64667,0.957
13.9,5.22,-0.19,0.0,0.0,5.22,-0.19,5.223,0.093,0.896,315.50642,0.956
14.0,4.08,-0.87,0.0,0.0,4.08,-0.87,4.172,0.093,0.917,315.40022,0.956
14.1,3.37,-2.13,0.0,0.0,3.37,-2.13,3.987,0.094,0.92,315.26508,0.955
14.2,3.26,-2.56,0.0,0.0,3.26,-2.56,4.145,0.095,0.917,315.0893,0.955
14.3,3.28,-2.57,0.0,0.0,3.28,-2.57,4.167,0.095,0.917,314.98283,0.954
14.4,3.26,-2.59,0.0,0.0,3.26,-2.59,4.164,0.096,0.917,314.87944,0.954
14.5,4.01,-2.46,0.0,0.0,4.01,-2.46,4.704,0.097,0.906,314.77645,0.954
14.6,3.29,-2.74,0.0,0.0,3.29,-2.74,4.282,0.097,0.914,314.72315,0.954
14.7,3.28,-2.75,0.0,0.0,3.28,-2.75,4.28,0.098,0.914,314.60162,0.953
14.8,3.27,-2.78,0.0,0.0,3.27,-2.78,4.292,0.099,0.914,314.53237,0.953
14.9,3.28,-2.77,0.0,0.0,3.28,-2.77,4.293,0.099,0.914,314.43847,0.953
15.0,3.98,-2.6,0.0,0.0,3.98,-2.6,4.754,0.1,0.905,314.3291,0.953
15.1,3.23,-2.78,0.0,0.0,3.23,-2.78,4.262,0.101,0.915,314.19868,0.952
15.2,3.22,-2.78,0.0,0.0,3.22,-2.78,4.254,0.101,0.915,314.13358,0.952
15.3,3.22,-2.78,0.0,0.0,3.22,-2.78,4.254,0.102,0.915,314.01754,0.952
15.4,3.22,-2.78,0.0,0.0,3.22,-2.78,4.254,0.103,0.915,313.93731,0.951
15.5,3.98,-2.64,0.0,0.0,3.98,-2.64,4.776,0.103,0.904,313.8351,0.951
15.6,3.24,-2.84,0.0,0.0,3.24,-2.84,4.309,0.104,0.914,313.74611,0.951
15.7,3.22,-2.94,0.0,0.0,3.22,-2.94,4.36,0.105,0.913,313.63864,0.95
15.8,3.21,-2.95,0.0,0.0,3.21,-2.95,4.36,0.105,0.913,313.4743,0.95
15.9,3.2,-2.95,0.0,0.0,3.2,-2.95,4.352,0.106,0.913,313.3616,0.95
16.0,3.61,-1.63,0.0,0.0,3.61,-1.63,3.961,0.107,0.921,313.20332,0.949
16.1,3.16,-1.71,0.0,0.0,3.16,-1.71,3.593,0.107,0.928,313.08861,0.949
16.2,2.85,-3.54,0.0,0.0,2.85,-3.54,4.545,0.108,0.909,312.94442,0.948
16.3,2.85,-3.53,0.0,0.0,2.85,-3.53,4.537,0.109,0.909,312.82115,0.948
16.4,2.86,-3.55,0.0,0.0,2.86,-3.55,4.559,0.109,0.909,312.71751,0.948
16.5,3.53,-3.43,0.0,0.0,3.53,-3.43,4.922,0.11,0.902,312.63019,0.947
16.6,2.86,-3.58,0.0,0.0,2.86,-3.58,4.582,0.111,0.908,312.53084,0.947
16.7,2.84,-3.58,0.0,0.0,2.84,-3.58,4.57,0.111,0.909,312.43333,0.947
16.8,2.83,-3.6,0.0,0.0,2.83,-3.6,4.579,0.112,0.908,312.37315,0.947
16.9,2.84,-3.63,0.0,0.0,2.84,-3.63,4.609,0.113,0.908,312.25038,0.946
17.0,3.49,-3.43,0.0,0.0,3.49,-3.43,4.893,0.113,0.902,312.15589,0.946
17.1,2.8,-3.66,0.0,0.0,2.8,-3.66,4.608,0.114,0.908,312.06133,0.946
17.2,2.79,-3.64,0.0,0.0,2.79,-3.64,4.586,0.115,0.908,311.96445,0.945
17.3,2.81,-3.66,0.0,0.0,2.81,-3.66,4.614,0.115,0.908,311.81762,0.945
17.4,2.8,-3.79,0.0,0.0,2.8,-3.79,4.712,0.116,0.906,311.71325,0.945
17.5,3.46,-3.64,0.0,0.0,3.46,-3.64,5.022,0.117,0.9,311.62845,0.944
17.6,2.78,-3.8,0.0,0.0,2.78,-3.8,4.708,0.117,0.906,311.50199,0.944
17.7,2.79,-3.79,0.0,0.0,2.79,-3.79,4.706,0.118,0.906,311.36793,0.944
17.8,2.79,-3.8,0.0,0.0,2.79,-3.8,4.714,0.119,0.906,311.29115,0.943
17.9,2.78,-3.8,0.0,0.0,2.78,-3.8,4.708,0.119,0.906,311.21178,0.943
18.0,3.53,-2.61,0.0,0.0,3.53,-2.61,4.39,0.12,0.912,311.08859,0.943
18.1,2.96,-3.94,0.0,0.0,2.96,-3.94,4.928,0.121,0.901,310.96363,0.942
18.2,2.6,-4.24,0.0,0.0,2.6,-4.24,4.974,0.121,0.901,310.81125,0.942
18.3,2.57,-4.24,0.0,0.0,2.57,-4.24,4.958,0.122,0.901,310.70702,0.942
18.4,2.56,-4.24,0.0,0.0,2.56,-4.24,4.953,0.123,0.901,310.59271,0.941
18.5,3.2,-4.09,0.0,0.0,3.2,-4.09,5.193,0.123,0.896,310.48346,0.941
18.6,2.53,-4.26,0.0,0.0,2.53,-4.26,4.955,0.124,0.901,310.3862,0.941
18.7,2.52,-4.27,0.0,0.0,2.52,-4.27,4.958,0.125,0.901,310.22948,0.94
18.8,2.52,-4.26,0.0,0.0,2.52,-4.26,4.95,0.125,0.901,310.12502,0.94
18.9,2.51,-4.25,0.0,0.0,2.51,-4.25,4.936,0.126,0.901,309.98169,0.939
19.0,3.17,-4.08,0.0,0.0,3.17,-4.08,5.167,0.127,0.897,309.87528,0.939
19.1,2.66,-4.76,0.0,0.0,2.66,-4.76,5.453,0.127,0.891,309.80066,0.939
19.2,2.66,-4.76,0.0,0.0,2.66,-4.76,5.453,0.128,0.891,309.72061,0.939
