Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id,N,Ns,Ne,Ni
0.0,1,explorer,11.283791670955125,47520,100.0,-8.5,-14.0,0.0,,,,-8.5,-14.0,0.0,1,,,,
0.0,2,explorer,11.283791670955125,47520,100.0,-6.7,9.6,0.0,,,,-6.7,9.6,0.0,2,,,,
0.0,3,explorer,11.283791670955125,47520,100.0,-7.6,-15.7,0.0,,,,-7.6,-15.7,0.0,3,,,,
0.0,4,explorer,11.283791670955125,47520,100.0,22.5,3.4,0.0,,,,22.5,3.4,0.0,4,,,,
0.0,5,explorer,11.283791670955125,47520,100.0,-1.7,-3.4,0.0,,,,-1.7,-3.4,0.0,5,,,,
0.0,6,explorer,11.283791670955125,47520,100.0,-20.7,3.0,0.0,,,,-20.7,3.0,0.0,6,,,,
0.0,7,explorer,11.283791670955125,47520,100.0,1.7,-7.4,0.0,,,,1.7,-7.4,0.0,7,,,,
0.0,8,explorer,11.283791670955125,47520,100.0,-16.0,9.0,0.0,,,,-16.0,9.0,0.0,8,,,,
0.0,9,explorer,11.283791670955125,47520,100.0,-18.9,-2.5,0.0,,,,-18.9,-2.5,0.0,9,,,,
0.0,10,explorer,11.283791670955125,47520,100.0,18.6,17.3,0.0,,,,18.6,17.3,0.0,10,,,,
0.0,11,explorer,11.283791670955125,47520,100.0,16.2,-0.5,0.0,,,,16.2,-0.5,0.0,11,,,,
0.0,12,explorer,11.283791670955125,47520,100.0,-3.3,-7.2,0.0,,,,-3.3,-7.2,0.0,12,,,,
0.0,13,explorer,11.283791670955125,47520,100.0,0.1,-22.4,0.0,,,,0.1,-22.4,0.0,13,,,,
0.0,14,explorer,11.283791670955125,47520,100.0,17.1,-13.2,0.0,,,,17.1,-13.2,0.0,14,,,,
0.0,15,explorer,11.283791670955125,47520,100.0,4.9,-25.0,0.0,,,,4.9,-25.0,0.0,15,,,,
0.0,16,isocontour,11.283791670955125,47520,100.0,21.0,-1.2,0.0,,,,21.0,-1.2,0.0,16,,,,
0.0,17,isocontour,11.283791670955125,47520,100.0,24.1,11.0,0.0,,,,24.1,11.0,0.0,17,,,,
0.0,18,isocontour,11.283791670955125,47520,100.0,-9.7,-8.8,0.0,,,,-9.7,-8.8,0.0,18,,,,
0.0,19,isocontour,11.283791670955125,47520,100.0,0.9,19.4,0.0,,,,0.9,19.4,0.0,19,,,,
0.0,20,isocontour,11.283791670955125,47520,100.0,12.1,1.5,0.0,,,,12.1,1.5,0.0,20,,,,
0.0,21,isocontour,11.283791670955125,47520,100.0,-16.7,-4.2,0.0,,,,-16.7,-4.2,0.0,21,,,,
0.0,22,isocontour,11.283791670955125,47520,100.0,17.6,20.5,0.0,,,,17.6,20.5,0.0,22,,,,
0.0,23,isocontour,11.283791670955125,47520,100.0,21.3,-21.4,0.0,,,,21.3,-21.4,0.0,23,,,,
