Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
0.0,4,0.0,22.2,-3.2,,,0.249
0.0,5,0.0,24.8,19.5,,,0.249
0.0,6,0.0,-3.1,-18.2,,,0.249
0.0,7,0.0,21.1,12.5,,,0.249
0.0,8,0.0,-11.8,-8.2,,,0.249
0.0,9,0.0,2.7,-7.3,,,0.249
0.0,10,0.0,0.0,-4.6,,,0.249
0.1,4,0.0,22.2,-3.2,1.0,17.841,0.249
0.1,5,0.0,24.8,19.4,1.0,17.841,0.249
0.1,6,0.0,-3.0,-18.2,3.0,8.921,0.249
0.1,7,0.0,21.1,12.5,2.0,11.894,0.249
0.1,8,0.0,-11.8,-8.3,3.0,8.921,0.249
0.1,9,0.0,2.8,-7.3,3.0,8.921,0.249
0.1,10,0.0,0.1,-4.6,3.0,8.921,0.249
0.2,4,0.0,22.2,-3.3,1.0,17.841,0.249
0.2,5,0.0,24.8,19.4,1.0,17.841,0.249
0.2,6,0.0,-2.9,-18.2,3.0,8.921,0.249
0.2,7,0.0,21.1,12.5,2.0,11.894,0.249
0.2,8,0.0,-11.9,-8.2,3.0,8.921,0.249
0.2,9,0.0,2.9,-7.3,3.0,8.921,0.249
0.2,10,0.0,0.0,-4.6,3.0,8.921,0.249
0.3,4,0.0,22.2,-3.3,1.0,17.841,0.249
0.3,5,0.0,24.8,19.4,1.0,17.841,0.249
0.3,6,0.0,-2.9,-18.3,3.0,8.921,0.249
0.3,7,0.0,21.2,12.5,2.0,11.894,0.249
0.3,8,0.0,-12.0,-8.3,3.0,8.921,0.249
0.3,9,0.0,2.9,-7.4,3.0,8.921,0.249
0.3,10,0.002,-0.0,-4.6,3.0,8.921,0.248
0.4,4,0.0,22.2,-3.2,1.0,17.841,0.249
0.4,5,0.0,24.8,19.5,1.0,17.841,0.249
0.4,6,0.0,-2.7,-18.1,3.0,8.921,0.249
0.4,7,0.0,21.1,12.6,2.0,11.894,0.249
0.4,8,0.0,-11.8,-8.2,3.0,8.921,0.249
0.4,9,0.0,2.7,-7.4,3.0,8.921,0.249
0.4,10,0.019,-0.1,-4.6,3.0,8.921,0.244
0.5,4,0.0,22.2,-3.3,1.0,17.841,0.249
0.5,5,0.0,24.9,19.6,1.0,17.841,0.249
0.5,6,0.0,-2.6,-17.9,3.0,8.921,0.249
0.5,7,0.0,21.2,12.6,2.0,11.894,0.249
0.5,8,0.0,-11.6,-8.1,3.0,8.921,0.249
0.5,9,0.002,2.6,-7.2,3.0,8.921,0.248
0.5,10,0.055,-0.1,-4.6,3.0,8.921,0.235
0.6,4,0.0,22.2,-3.2,1.0,17.841,0.249
0.6,5,0.0,24.9,19.5,1.0,17.841,0.249
0.6,6,0.0,-2.4,-17.7,3.0,8.921,0.249
0.6,7,0.0,21.2,12.5,2.0,11.894,0.249
0.6,8,0.0,-11.3,-7.9,3.0,8.921,0.249
0.6,9,0.011,2.6,-7.0,3.0,8.921,0.246
0.6,10,0.104,0.0,-4.6,3.0,8.921,0.223
0.7,4,0.0,22.2,-3.3,1.0,17.841,0.249
0.7,5,0.0,24.9,19.4,1.0,17.841,0.249
0.7,6,0.0,-2.3,-17.5,3.0,8.921,0.249
