Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,2971.9,0.001,1.189
0.2,2982.85,0.001,1.193
0.3,3012.38,0.002,1.205
0.4,2992.61,0.003,1.197
0.5,3025.23,0.003,1.21
0.6,2945.71,0.004,1.178
0.7,3019.04,0.005,1.208
0.8,3012.62,0.005,1.205
0.9,3046.26,0.006,1.219
1.0,3034.28,0.007,1.214
1.1,2982.85,0.007,1.193
1.2,3051.5,0.008,1.221
1.3,3076.42,0.009,1.231
1.4,3095.07,0.009,1.238
1.5,3038.49,0.01,1.215
1.6,3046.5,0.011,1.219
1.7,3002.93,0.011,1.201
1.8,2989.84,0.012,1.196
1.9,2934.52,0.013,1.174
2.0,2888.25,0.013,1.155
2.1,2833.18,0.014,1.133
2.2,2790.16,0.015,1.116
2.3,2779.37,0.015,1.112
2.4,2785.48,0.016,1.114
2.5,2701.19,0.017,1.08
2.6,2822.15,0.017,1.129
2.7,2791.84,0.018,1.117
2.8,2786.17,0.019,1.114
2.9,2791.0,0.019,1.116
3.0,2790.06,0.02,1.116
3.1,2785.23,0.021,1.114
3.2,2758.33,0.021,1.103
3.3,2721.98,0.022,1.089
3.4,2745.8,0.023,1.098
3.5,2730.63,0.023,1.092
3.6,2728.98,0.024,1.092
3.7,2735.17,0.025,1.094
3.8,2725.16,0.025,1.09
3.9,2732.38,0.026,1.093
4.0,2687.58,0.027,1.075
4.1,2685.04,0.027,1.074
4.2,2659.63,0.028,1.064
4.3,2532.36,0.029,1.013
4.4,2554.08,0.029,1.022
4.5,2546.6,0.03,1.019
4.6,2575.83,0.031,1.03
4.7,2597.72,0.031,1.039
4.8,2534.22,0.032,1.014
4.9,2506.57,0.033,1.003
5.0,2519.33,0.033,1.008
5.1,2478.39,0.034,0.991
5.2,2455.73,0.035,0.982
5.3,2469.5,0.035,0.988
5.4,2417.21,0.036,0.967
5.5,2463.71,0.037,0.985
5.6,2514.59,0.037,1.006
5.7,2418.29,0.038,0.967
5.8,2449.21,0.039,0.98
5.9,2434.8,0.039,0.974
6.0,2356.66,0.04,0.943
6.1,2337.83,0.041,0.935
6.2,2364.56,0.041,0.946
6.3,2389.23,0.042,0.956
6.4,2406.09,0.043,0.962
6.5,2395.52,0.043,0.958
6.6,2387.43,0.044,0.955
6.7,2327.95,0.045,0.931
6.8,2329.22,0.045,0.932
6.9,2317.46,0.046,0.927
7.0,2338.75,0.047,0.936
7.1,2335.21,0.047,0.934
7.2,2336.84,0.048,0.935
7.3,2314.67,0.049,0.926
7.4,2308.64,0.049,0.923
7.5,2285.44,0.05,0.914
7.6,2128.69,0.051,0.851
7.7,2108.71,0.051,0.843
7.8,2111.4,0.052,0.845
7.9,2106.34,0.053,0.843
8.0,2232.42,0.053,0.893
8.1,2216.6,0.054,0.887
8.2,2197.24,0.055,0.879
8.3,2194.27,0.055,0.878
8.4,2195.74,0.056,0.878
8.5,2191.72,0.057,0.877
8.6,2185.36,0.057,0.874
8.7,2186.66,0.058,0.875
8.8,2196.87,0.059,0.879
8.9,2180.99,0.059,0.872
9.0,2160.78,0.06,0.864
9.1,2140.72,0.061,0.856
9.2,2138.02,0.061,0.855
9.3,2142.17,0.062,0.857
9.4,2153.25,0.063,0.861
9.5,1948.16,0.063,0.779
9.6,1929.77,0.064,0.772
9.7,1913.94,0.065,0.766
9.8,1895.61,0.065,0.758
9.9,1899.23,0.066,0.76
10.0,1928.01,0.067,0.771
10.1,1925.0,0.067,0.77
10.2,1959.46,0.068,0.784
10.3,2180.49,0.069,0.872
10.4,2100.32,0.069,0.84
10.5,2205.77,0.07,0.882
10.6,2221.21,0.071,0.888
10.7,2224.53,0.071,0.89
10.8,2231.2,0.072,0.892
10.9,2148.51,0.073,0.859
11.0,2146.19,0.073,0.858
11.1,2149.81,0.074,0.86
11.2,2154.71,0.075,0.862
11.3,2153.08,0.075,0.861
11.4,2115.68,0.076,0.846
11.5,2130.78,0.077,0.852
11.6,2133.91,0.077,0.854
11.7,2119.73,0.078,0.848
11.8,2139.25,0.079,0.856
11.9,2105.27,0.079,0.842
12.0,2104.68,0.08,0.842
12.1,2090.48,0.081,0.836
12.2,2107.43,0.081,0.843
12.3,2107.43,0.082,0.843
12.4,2041.43,0.083,0.817
12.5,2042.88,0.083,0.817
12.6,2016.69,0.084,0.807
12.7,1989.09,0.085,0.796
12.8,1982.74,0.085,0.793
12.9,1947.17,0.086,0.779
13.0,1926.49,0.087,0.771
13.1,1914.16,0.087,0.766
13.2,1870.3,0.088,0.748
13.3,1897.4,0.089,0.759
13.4,1867.37,0.089,0.747
13.5,1856.98,0.09,0.743
13.6,1850.35,0.091,0.74
13.7,1816.62,0.091,0.727
13.8,1844.61,0.092,0.738
13.9,1830.06,0.093,0.732
14.0,1823.18,0.093,0.729
14.1,1861.49,0.094,0.745
14.2,1845.68,0.095,0.738
14.3,1847.59,0.095,0.739
14.4,1830.68,0.096,0.732
14.5,1848.78,0.097,0.74
14.6,1855.68,0.097,0.742
14.7,1855.68,0.098,0.742
14.8,1849.02,0.099,0.74
14.9,1865.1,0.099,0.746
15.0,1869.87,0.1,0.748
15.1,1853.2,0.101,0.741
15.2,1865.1,0.101,0.746
15.3,1866.03,0.102,0.746
15.4,1846.65,0.103,0.739
15.5,1867.55,0.103,0.747
15.6,1870.71,0.104,0.748
15.7,1853.82,0.105,0.742
15.8,1875.25,0.105,0.75
15.9,1883.43,0.106,0.753
16.0,1902.92,0.107,0.761
16.1,2115.04,0.107,0.846
16.2,2042.16,0.108,0.817
16.3,1918.83,0.109,0.768
16.4,1918.83,0.109,0.768
16.5,2142.16,0.11,0.857
16.6,2141.92,0.111,0.857
16.7,2087.16,0.111,0.835
16.8,1896.68,0.112,0.759
16.9,1896.68,0.113,0.759
17.0,1946.68,0.113,0.779
17.1,1930.26,0.114,0.772
17.2,1913.35,0.115,0.765
17.3,1936.68,0.115,0.775
17.4,1929.78,0.116,0.772
17.5,1929.78,0.117,0.772
17.6,1913.12,0.117,0.765
17.7,1906.68,0.118,0.763
17.8,1880.01,0.119,0.752
17.9,1913.35,0.119,0.765
18.0,1930.01,0.12,0.772
18.1,1913.35,0.121,0.765
18.2,1936.68,0.121,0.775
18.3,1913.35,0.122,0.765
18.4,1902.48,0.123,0.761
18.5,1902.04,0.123,0.761
18.6,1876.92,0.124,0.751
18.7,1892.11,0.125,0.757
18.8,1895.1,0.125,0.758
18.9,1916.71,0.126,0.767
19.0,1916.71,0.127,0.767
19.1,1898.14,0.127,0.759
19.2,1902.9,0.128,0.761
19.3,1929.57,0.129,0.772
19.4,1929.57,0.129,0.772
19.5,1930.06,0.13,0.772
19.6,1925.46,0.131,0.77
19.7,1995.42,0.131,0.798
19.8,1969.64,0.132,0.788
19.9,1942.95,0.133,0.777
20.0,1988.82,0.133,0.796
20.1,2194.44,0.134,0.878
20.2,2270.72,0.135,0.908
20.3,2189.3,0.135,0.876
20.4,2112.58,0.136,0.845
