Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,0.41,-4.31,6.27,-21.63,-5.86,17.32,18.284,0.0,0.634,660.0,1.0
0.1,0.42,-4.3,6.21,-21.38,-5.79,17.08,18.035,0.001,0.639,659.51083,0.999
0.2,0.43,-4.29,5.62,-21.38,-5.19,17.09,17.861,0.001,0.643,659.02857,0.999
0.3,0.57,-4.34,5.65,-21.69,-5.08,17.35,18.078,0.002,0.638,658.66482,0.998
0.4,0.2,-4.82,5.78,-21.78,-5.58,16.96,17.854,0.003,0.643,658.20975,0.997
0.5,0.33,-4.42,5.84,-21.63,-5.51,17.21,18.071,0.003,0.639,657.98227,0.997
0.6,-0.21,-5.06,5.72,-22.04,-5.93,16.98,17.986,0.004,0.64,657.60828,0.996
0.7,-0.1,-5.49,5.76,-22.34,-5.86,16.85,17.84,0.005,0.643,657.22293,0.996
0.8,0.52,-6.1,5.23,-22.61,-4.71,16.51,17.169,0.005,0.657,656.80922,0.995
0.9,1.81,-7.65,5.25,-22.92,-3.44,15.27,15.653,0.006,0.687,656.47931,0.995
1.0,0.4,-4.33,4.77,-22.7,-4.37,18.37,18.883,0.007,0.622,656.20089,0.994
1.1,0.24,-5.07,4.28,-22.49,-4.04,17.42,17.882,0.007,0.642,655.9394,0.994
1.2,0.71,-5.73,3.69,-22.59,-2.98,16.86,17.121,0.008,0.658,655.65287,0.993
1.3,1.32,-7.05,3.42,-22.99,-2.1,15.94,16.078,0.009,0.678,655.32463,0.993
1.4,2.63,-9.87,3.34,-23.35,-0.71,13.48,13.499,0.009,0.73,655.02406,0.992
1.5,1.81,-6.2,2.91,-23.7,-1.1,17.5,17.535,0.01,0.649,654.76137,0.992
1.6,4.5,-11.2,2.71,-24.09,1.79,12.89,13.014,0.011,0.74,654.45373,0.992
1.7,4.6,-11.77,2.3,-24.44,2.3,12.67,12.877,0.011,0.742,654.16701,0.991
1.8,4.71,-12.05,2.26,-24.77,2.45,12.72,12.954,0.012,0.741,653.90248,0.991
1.9,4.88,-12.44,2.14,-25.13,2.74,12.69,12.982,0.013,0.74,653.42375,0.99
2.0,0.39,-4.65,2.18,-24.91,-1.79,20.26,20.339,0.013,0.593,653.10703,0.99
2.1,1.35,-6.43,1.8,-25.26,-0.45,18.83,18.835,0.014,0.623,652.75912,0.989
2.2,1.26,-8.49,1.8,-25.07,-0.54,16.58,16.589,0.015,0.668,652.34038,0.988
2.3,1.18,-10.6,1.42,-24.26,-0.24,13.66,13.662,0.015,0.727,652.00702,0.988
2.4,1.21,-12.19,1.53,-24.16,-0.32,11.97,11.974,0.016,0.761,651.67383,0.987
2.5,1.09,-6.62,0.99,-23.96,0.1,17.34,17.34,0.017,0.653,651.27927,0.987
2.6,1.14,-13.08,0.82,-23.61,0.32,10.53,10.535,0.017,0.789,650.93724,0.986
2.7,0.44,-14.6,0.52,-23.26,-0.08,8.66,8.66,0.018,0.827,650.53751,0.986
2.8,0.51,-15.83,0.51,-22.99,0.0,7.16,7.16,0.019,0.857,650.22728,0.985
2.9,0.76,-16.85,0.03,-22.72,0.73,5.87,5.915,0.019,0.882,649.80439,0.985
3.0,0.26,-5.15,-0.39,-23.04,0.65,17.89,17.902,0.02,0.642,649.43558,0.984
3.1,0.37,-7.53,-0.28,-22.96,0.65,15.43,15.444,0.021,0.691,649.06124,0.983
3.2,0.28,-9.54,-0.81,-23.18,1.09,13.64,13.683,0.021,0.726,648.64961,0.983
3.3,1.38,-9.88,-1.23,-23.49,2.61,13.61,13.858,0.022,0.723,648.36158,0.982
