Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,-6.3,-23.9,,,9.5,-12.59,15.8,11.31,19.431,0.0,0.389,0.813,0.582,
0.0,2,12.3,-10.1,,,9.5,-12.59,-2.8,-2.49,3.747,0.0,0.075,-0.747,-0.665,
0.0,3,-0.7,7.5,,,9.5,-12.59,10.2,-20.09,22.531,0.0,0.451,0.453,-0.892,
0.0,4,23.1,-8.7,,,9.5,-12.59,-13.6,-3.89,14.145,0.0,0.283,-0.961,-0.275,
0.1,1,-6.3,-23.9,-0.6,-0.7,9.31,-12.37,15.61,11.53,19.407,0.001,0.388,0.804,0.594,-0.9741865509761387
0.1,2,12.3,-10.2,0.5,-0.6,9.31,-12.37,-2.99,-2.17,3.694,0.001,0.074,-0.809,-0.587,-0.06696542893726001
0.1,3,-0.8,7.5,-1.0,-0.3,9.31,-12.37,10.11,-19.87,22.294,0.001,0.446,0.453,-0.891,-0.17787356321839082
0.1,4,23.1,-8.7,0.4,0.8,9.31,-12.37,-13.79,-3.67,14.27,0.001,0.285,-0.966,-0.257,-0.662192393736018
0.2,1,-6.4,-24.0,-0.4,-0.9,8.76,-12.48,15.16,11.52,19.04,0.001,0.381,0.796,0.605,-0.8760406091370558
0.2,2,12.2,-10.4,-1.5,-2.3,8.76,-12.48,-3.44,-2.08,4.02,0.001,0.08,-0.856,-0.517,0.9006190823015295
0.2,3,-0.9,7.5,-1.0,-0.2,8.76,-12.48,9.66,-19.98,22.193,0.001,0.444,0.435,-0.9,-0.25
0.2,4,23.1,-8.6,0.3,0.2,8.76,-12.48,-14.34,-3.88,14.856,0.001,0.297,-0.965,-0.261,-0.9465373961218837
0.3,1,-6.4,-24.1,-0.1,-0.4,8.22,-12.75,14.62,11.35,18.509,0.002,0.37,0.79,0.613,-0.7868932038834953
0.3,2,12.0,-10.6,-1.6,-2.4,8.22,-12.75,-3.78,-2.15,4.349,0.002,0.087,-0.869,-0.494,0.8932038834951457
0.3,3,-1.0,7.5,-0.8,0.1,8.22,-12.75,9.22,-20.25,22.25,0.002,0.445,0.414,-0.91,-0.5238213399503722
0.3,4,23.0,-8.7,-1.4,-0.4,8.22,-12.75,-14.78,-4.05,15.325,0.002,0.306,-0.964,-0.264,0.9994505494505493
0.4,1,-6.4,-24.1,0.0,-0.6,8.06,-13.24,14.46,10.86,18.084,0.003,0.362,0.8,0.601,-0.601
0.4,2,11.9,-10.9,-1.6,-2.5,8.06,-13.24,-3.84,-2.34,4.497,0.003,0.09,-0.854,-0.52,0.8983827493261457
0.4,3,-1.0,7.4,-0.3,-0.3,8.06,-13.24,9.06,-20.64,22.541,0.003,0.451,0.402,-0.916,0.36367924528301887
0.4,4,22.9,-8.6,-1.4,0.2,8.06,-13.24,-14.84,-4.64,15.548,0.003,0.311,-0.954,-0.298,0.9024045261669024
0.5,1,-6.4,-24.2,-0.0,-0.6,8.21,-13.26,14.61,10.94,18.252,0.003,0.365,0.8,0.599,-0.599
0.5,2,11.7,-11.1,-1.5,-2.6,8.21,-13.26,-3.49,-2.16,4.104,0.003,0.082,-0.85,-0.526,0.8802798134576949
0.5,3,-1.0,7.4,-0.5,0.1,8.21,-13.26,9.21,-20.66,22.62,0.003,0.452,0.407,-0.913,-0.5780392156862745
0.5,4,22.6,-8.7,-2.6,-0.6,8.21,-13.26,-14.39,-4.56,15.095,0.003,0.302,-0.953,-0.302,0.9966266866566715
