Time,ID,behv,com_radius,Battery,Battery Percent,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id,N,Ns,Ne,Ni
0.0,1,seeker,11.283791670955125,47520,100.0,-19.9,22.7,0.0,,,,-19.9,22.7,0.0,1,,,,
0.0,2,seeker,11.283791670955125,47520,100.0,21.7,15.2,0.0,,,,21.7,15.2,0.0,2,,,,
0.0,3,seeker,11.283791670955125,47520,100.0,21.2,9.4,0.0,,,,21.2,9.4,0.0,3,,,,
0.0,4,seeker,11.283791670955125,47520,100.0,8.2,-6.5,0.0,,,,8.2,-6.5,0.0,4,,,,
0.0,5,seeker,11.283791670955125,47520,100.0,19.3,6.7,0.0,,,,19.3,6.7,0.0,5,,,,
0.0,6,seeker,11.283791670955125,47520,100.0,12.1,-4.4,0.0,,,,12.1,-4.4,0.0,6,,,,
0.0,7,seeker,11.283791670955125,47520,100.0,-18.3,-23.3,0.0,,,,-18.3,-23.3,0.0,7,,,,
0.0,8,explorer,11.283791670955125,47520,100.0,-16.5,-8.2,0.0,,,,-16.5,-8.2,0.0,8,,,,
0.0,9,explorer,11.283791670955125,47520,100.0,-11.4,2.5,0.0,,,,-11.4,2.5,0.0,9,,,,
0.0,10,explorer,11.283791670955125,47520,100.0,17.5,19.3,0.0,,,,17.5,19.3,0.0,10,,,,
0.0,11,explorer,11.283791670955125,47520,100.0,7.0,11.5,0.0,,,,7.0,11.5,0.0,11,,,,
0.0,12,explorer,11.283791670955125,47520,100.0,17.0,8.2,0.0,,,,17.0,8.2,0.0,12,,,,
0.0,13,explorer,11.283791670955125,47520,100.0,5.0,7.0,0.0,,,,5.0,7.0,0.0,13,,,,
0.0,14,explorer,11.283791670955125,47520,100.0,-6.4,11.7,0.0,,,,-6.4,11.7,0.0,14,,,,
0.0,15,explorer,11.283791670955125,47520,100.0,-4.5,4.8,0.0,,,,-4.5,4.8,0.0,15,,,,
0.0,16,explorer,11.283791670955125,47520,100.0,-21.0,10.0,0.0,,,,-21.0,10.0,0.0,16,,,,
0.0,17,explorer,11.283791670955125,47520,100.0,-13.0,-24.8,0.0,,,,-13.0,-24.8,0.0,17,,,,
0.0,18,explorer,11.283791670955125,47520,100.0,-6.1,-10.5,0.0,,,,-6.1,-10.5,0.0,18,,,,
0.0,19,explorer,11.283791670955125,47520,100.0,-3.8,-10.6,0.0,,,,-3.8,-10.6,0.0,19,,,,
0.0,20,explorer,11.283791670955125,47520,100.0,-7.2,-2.5,0.0,,,,-7.2,-2.5,0.0,20,,,,
0.0,21,explorer,11.283791670955125,47520,100.0,-23.7,22.2,0.0,,,,-23.7,22.2,0.0,21,,,,
0.0,22,explorer,11.283791670955125,47520,100.0,-14.9,-8.8,0.0,,,,-14.9,-8.8,0.0,22,,,,
0.0,23,explorer,11.283791670955125,47520,100.0,-6.7,1.2,0.0,,,,-6.7,1.2,0.0,23,,,,
0.0,24,explorer,11.283791670955125,47520,100.0,-19.7,-11.8,0.0,,,,-19.7,-11.8,0.0,24,,,,
0.0,25,explorer,11.283791670955125,47520,100.0,-7.7,-18.8,0.0,,,,-7.7,-18.8,0.0,25,,,,
0.0,Target,,,,,-4.19,-18.32,0.0,-0.46,4.22,,,,,,,,,
0.1,1,seeker,11.283791670955125,47518.93,100.0,-19.8,22.7,0.0,0.9,0.3,0.9,-19.8,22.7,0.0,1,1,0,1,0
0.1,2,seeker,11.283791670955125,47518.68,100.0,21.8,15.2,0.0,0.6,0.8,1.0,21.8,15.2,0.0,2,4,2,2,0
0.1,3,seeker,11.283791670955125,47518.76,100.0,21.2,9.3,0.0,0.7,-0.7,1.0,21.2,9.3,0.0,3,4,2,2,0
0.1,4,seeker,11.283791670955125,47519.03,100.0,8.1,-6.6,0.0,-0.6,-0.6,0.8,8.1,-6.6,0.0,4,1,1,0,0
0.1,5,seeker,11.283791670955125,47519.94,100.0,19.3,6.7,0.0,-0.1,-0.3,0.3,19.3,6.7,0.0,5,3,2,1,0
