Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,-4.98,-3.19,-21.36,7.28,16.38,-10.47,19.44,0.0,0.611,660.0,1.0
0.1,-5.09,-2.12,-21.63,7.62,16.54,-9.74,19.195,0.001,0.616,659.19408,0.999
0.2,-5.16,1.15,-21.24,8.04,16.08,-6.89,17.494,0.001,0.65,658.5651,0.998
0.3,-5.47,1.5,-20.94,8.56,15.47,-7.06,17.005,0.002,0.66,658.03334,0.997
0.4,-4.68,2.4,-20.9,9.15,16.22,-6.75,17.568,0.003,0.649,657.32464,0.996
0.5,-5.03,-1.03,-20.63,9.05,15.6,-10.08,18.573,0.003,0.629,656.70573,0.995
0.6,-7.41,3.99,-20.45,8.92,13.04,-4.93,13.941,0.004,0.721,655.97717,0.994
0.7,-10.44,6.11,-20.1,9.4,9.66,-3.29,10.205,0.005,0.796,655.36331,0.993
0.8,-13.8,6.38,-19.77,9.33,5.97,-2.95,6.659,0.005,0.867,654.62913,0.992
0.9,-16.74,7.37,-19.67,9.92,2.93,-2.55,3.884,0.006,0.922,653.98019,0.991
1.0,-4.85,-2.72,-19.91,10.02,15.06,-12.74,19.726,0.007,0.605,653.38562,0.99
1.1,-7.58,-0.65,-19.72,10.59,12.14,-11.24,16.544,0.007,0.669,652.79503,0.989
1.2,-9.14,1.43,-19.97,10.79,10.83,-9.36,14.314,0.008,0.714,652.13163,0.988
1.3,-11.1,4.25,-20.05,10.7,8.95,-6.45,11.032,0.009,0.779,651.4459,0.987
1.4,-13.05,6.32,-20.2,11.16,7.15,-4.84,8.634,0.009,0.827,650.85186,0.986
1.5,-6.85,0.58,-19.87,11.67,13.02,-11.09,17.103,0.01,0.658,650.26677,0.985
1.6,-11.64,5.1,-19.61,12.21,7.97,-7.11,10.68,0.011,0.786,649.65683,0.984
1.7,-14.36,7.21,-19.25,12.7,4.89,-5.49,7.352,0.011,0.853,649.03008,0.983
1.8,-15.96,8.68,-19.15,13.26,3.19,-4.58,5.581,0.012,0.888,648.40747,0.982
1.9,-15.69,9.2,-18.85,13.79,3.16,-4.59,5.573,0.013,0.889,647.75147,0.981
2.0,-5.2,-2.28,-18.99,14.21,13.79,-16.49,21.496,0.013,0.57,647.07021,0.98
