,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,Seekers,Explorers
0,0.1,,,,,10,0
0,0.1,0.0,62.266666666665984,10.377777777777665,20.755555555555325,9,1
0,0.1,0.0,11.933333333333325,2.237499999999998,4.474999999999996,8,2
0,0.1,0.0,15.533333333333374,3.328571428571437,6.657142857142874,7,3
0,0.1,0.085,25.400000000000183,6.350000000000045,12.70000000000009,6,4
0,0.1,0.0,5.8666666666666565,1.759999999999997,3.519999999999994,5,5
0,0.1,0.047,3.0666666666666664,1.15,2.3,4,6
0,0.1,0.053,7.2666666666666515,3.6333333333333258,7.2666666666666515,3,7
0,0.1,0.029,3.0666666666666664,2.3,4.6,2,8
0,0.1,,,,,1,9
