Time,ID,behv,N,comm_area,Area Coverage
0.0,1,seeker,,2000.0,
0.0,2,seeker,,2000.0,
0.0,3,explorer,,2000.0,
0.0,4,explorer,,2000.0,
0.0,5,explorer,,2000.0,
0.0,Target,,,,
0.1,1,seeker,1.0,2000.0,1000.0
0.1,2,seeker,2.0,2000.0,666.667
0.1,3,explorer,0.0,2000.0,2000.0
0.1,4,explorer,2.0,2000.0,666.667
0.1,5,explorer,1.0,2000.0,1000.0
0.1,Target,,,,
0.2,1,seeker,2.0,2000.0,666.667
0.2,2,seeker,2.0,2000.0,666.667
0.2,3,explorer,0.0,2000.0,2000.0
0.2,4,explorer,3.0,2000.0,500.0
0.2,5,explorer,1.0,2000.0,1000.0
0.2,Target,,,,
0.3,1,seeker,2.0,2000.0,666.667
0.3,2,seeker,2.0,2000.0,666.667
0.3,3,explorer,0.0,2000.0,2000.0
0.3,4,explorer,3.0,2000.0,500.0
0.3,5,explorer,1.0,2000.0,1000.0
0.3,Target,,,,
0.4,1,seeker,2.0,2000.0,666.667
0.4,2,seeker,2.0,2000.0,666.667
0.4,3,explorer,0.0,2000.0,2000.0
0.4,4,explorer,3.0,2000.0,500.0
0.4,5,explorer,1.0,2000.0,1000.0
0.4,Target,,,,
0.5,1,seeker,2.0,2000.0,666.667
0.5,2,seeker,2.0,2000.0,666.667
0.5,3,explorer,0.0,2000.0,2000.0
0.5,4,explorer,3.0,2000.0,500.0
0.5,5,explorer,1.0,2000.0,1000.0
0.5,Target,,,,
0.6,1,seeker,2.0,2000.0,666.667
0.6,2,seeker,2.0,2000.0,666.667
0.6,3,explorer,0.0,2000.0,2000.0
0.6,4,explorer,3.0,2000.0,500.0
0.6,5,explorer,1.0,2000.0,1000.0
0.6,Target,,,,
0.7,1,seeker,2.0,2000.0,666.667
0.7,2,seeker,2.0,2000.0,666.667
0.7,3,explorer,0.0,2000.0,2000.0
0.7,4,explorer,3.0,2000.0,500.0
0.7,5,explorer,1.0,2000.0,1000.0
0.7,Target,,,,
0.8,1,seeker,2.0,2000.0,666.667
0.8,2,seeker,2.0,2000.0,666.667
0.8,3,explorer,0.0,2000.0,2000.0
0.8,4,explorer,3.0,2000.0,500.0
0.8,5,explorer,1.0,2000.0,1000.0
0.8,Target,,,,
