,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,heterogeneity,Seekers,Explorers,Isocontours
0,0.1,0.014,21.133333333333454,1.2680000000000071,2.5360000000000142,0.0,25,0,0
0,0.1,0.019,143.86666666666136,8.991666666666335,17.98333333333267,0.04,24,1,0
0,0.1,0.013,50.93333333333329,3.32173913043478,6.64347826086956,0.08,23,2,0
0,0.1,,,,,0.12,22,3,0
0,0.1,0.012,11.73333333333332,0.8380952380952371,1.6761904761904742,0.16,21,4,0
0,0.1,0.001,65.26666666666581,4.894999999999936,9.789999999999871,0.2,20,5,0
0,0.1,0.0,15.466666666666706,1.2210526315789505,2.442105263157901,0.24,19,6,0
0,0.1,0.0,13.200000000000008,1.1000000000000003,2.200000000000001,0.28,18,7,0
0,0.1,0.0,40.33333333333373,3.5588235294118,7.117647058823599,0.32,17,8,0
0,0.1,0.027,8.866666666666646,0.831249999999998,1.662499999999996,0.36,16,9,0
0,0.1,0.0,22.533333333333477,2.253333333333347,4.506666666666694,0.4,15,10,0
0,0.1,0.005,222.6000000000049,23.85000000000053,47.70000000000106,0.44,14,11,0
0,0.1,0.01,46.53333333333354,5.369230769230793,10.738461538461586,0.48,13,12,0
0,0.1,0.059,7.733333333333317,0.9666666666666646,1.933333333333329,0.52,12,13,0
0,0.1,0.014,30.866666666666926,4.2090909090909445,8.418181818181889,0.56,11,14,0
0,0.1,0.042,11.399999999999984,1.7099999999999973,3.4199999999999946,0.6,10,15,0
0,0.1,0.0,8.999999999999979,1.4999999999999964,2.999999999999993,0.64,9,16,0
0,0.1,0.053,4.199999999999996,0.7874999999999992,1.5749999999999984,0.68,8,17,0
0,0.1,0.0,43.466666666667045,9.314285714285797,18.628571428571597,0.72,7,18,0
0,0.1,0.013,11.066666666666643,2.766666666666661,5.533333333333322,0.76,6,19,0
0,0.1,0.007,13.733333333333348,4.1200000000000045,8.240000000000009,0.8,5,20,0
0,0.1,0.031,3.1333333333333333,1.1749999999999998,2.35,0.84,4,21,0
0,0.1,0.004,17.40000000000007,8.700000000000033,17.400000000000066,0.88,3,22,0
0,0.1,0.373,3.799999999999997,2.849999999999998,5.699999999999996,0.92,2,23,0
0,0.1,0.114,7.866666666666649,11.799999999999974,23.599999999999948,0.96,1,24,0
0,0.1,0.0,57.1999999999996,3.574999999999975,7.14999999999995,0.0,24,0,1
0,0.1,0.009,10.399999999999974,0.6782608695652157,1.3565217391304314,0.04,23,1,1
0,0.1,0.033,29.20000000000024,1.990909090909107,3.981818181818214,0.08,22,2,1
0,0.1,0.027,12.466666666666663,0.8904761904761903,1.7809523809523806,0.12,21,3,1
0,0.1,0.0,15.200000000000037,1.1400000000000028,2.2800000000000056,0.16,20,4,1
0,0.1,0.007,12.26666666666666,0.9684210526315784,1.936842105263157,0.2,19,5,1
0,0.1,0.0,24.80000000000017,2.066666666666681,4.133333333333362,0.24,18,6,1
0,0.1,0.017,15.600000000000042,1.376470588235298,2.752941176470596,0.28,17,7,1
0,0.1,0.017,38.40000000000037,3.6000000000000343,7.200000000000069,0.32,16,8,1
0,0.1,0.039,2.5333333333333345,0.2533333333333334,0.5066666666666669,0.36,15,9,1
0,0.1,0.003,6.999999999999986,0.7499999999999984,1.499999999999997,0.4,14,10,1
0,0.1,0.009,3.999999999999997,0.4615384615384611,0.9230769230769222,0.44,13,11,1
0,0.1,0.041,7.399999999999984,0.924999999999998,1.849999999999996,0.48,12,12,1
0,0.1,0.001,44.466666666667,6.063636363636408,12.127272727272816,0.52,11,13,1
0,0.1,0.024,122.0666666666626,18.309999999999388,36.619999999998775,0.56,10,14,1
0,0.1,0.013,16.600000000000055,2.766666666666676,5.533333333333352,0.6,9,15,1
0,0.1,0.0,15.266666666666705,2.862500000000007,5.725000000000014,0.64,8,16,1
0,0.1,0.024,10.199999999999974,2.18571428571428,4.37142857142856,0.68,7,17,1
0,0.1,0.003,4.666666666666661,1.1666666666666652,2.3333333333333304,0.72,6,18,1
0,0.1,0.067,36.000000000000334,10.8000000000001,21.6000000000002,0.76,5,19,1
0,0.1,0.331,1.0000000000000002,0.375,0.7500000000000001,0.8,4,20,1
0,0.1,0.054,0.9333333333333336,0.4666666666666667,0.9333333333333336,0.84,3,21,1
0,0.1,0.813,6.3333333333333215,4.749999999999991,9.499999999999982,0.88,2,22,1
0,0.1,,,,,0.92,1,23,1
0,0.1,0.016,14.733333333333364,0.9608695652173932,1.9217391304347864,0.0,23,0,2
0,0.1,0.017,4.266666666666662,0.2909090909090906,0.5818181818181812,0.04,22,1,2
0,0.1,0.0,48.133333333333454,3.4380952380952463,6.876190476190493,0.08,21,2,2
0,0.1,0.026,10.533333333333308,0.789999999999998,1.579999999999996,0.12,20,3,2
0,0.1,0.0,44.466666666667,3.5105263157894995,7.021052631578999,0.16,19,4,2
0,0.1,0.037,11.666666666666654,0.972222222222221,1.944444444444442,0.2,18,5,2
0,0.1,0.0,24.3333333333335,2.1470588235294263,4.294117647058853,0.24,17,6,2
0,0.1,0.0,10.86666666666664,1.0187499999999976,2.037499999999995,0.28,16,7,2
0,0.1,0.02,10.86666666666664,1.086666666666664,2.173333333333328,0.32,15,8,2
0,0.1,0.009,14.066666666666686,1.5071428571428591,3.0142857142857187,0.36,14,9,2
0,0.1,0.049,2.6000000000000014,0.3000000000000001,0.6000000000000003,0.4,13,10,2
0,0.1,0.032,10.333333333333307,1.2916666666666634,2.583333333333327,0.44,12,11,2
0,0.1,0.056,29.600000000000243,4.036363636363669,8.072727272727338,0.48,11,12,2
0,0.1,0.01,1.4000000000000004,0.21,0.4200000000000001,0.52,10,13,2
0,0.1,0.035,25.73333333333352,4.28888888888892,8.57777777777784,0.56,9,14,2
0,0.1,0.01,6.199999999999989,1.162499999999998,2.324999999999996,0.6,8,15,2
0,0.1,0.021,50.86666666666663,10.899999999999991,21.799999999999983,0.64,7,16,2
0,0.1,0.023,45.333333333333606,11.3333333333334,22.666666666666803,0.68,6,17,2
0,0.1,0.051,49.933333333333344,14.980000000000004,29.960000000000008,0.72,5,18,2
0,0.1,0.051,9.933333333333309,3.724999999999991,7.449999999999981,0.76,4,19,2
0,0.1,0.072,6.466666666666654,3.233333333333327,6.466666666666654,0.8,3,20,2
0,0.1,0.165,9.133333333333312,6.849999999999984,13.699999999999967,0.84,2,21,2
0,0.1,0.841,1.5333333333333337,2.3000000000000007,4.600000000000001,0.88,1,22,2
0,0.1,0.001,37.93333333333369,2.586363636363661,5.172727272727322,0.0,22,0,3
0,0.1,0.0,22.800000000000143,1.6285714285714388,3.257142857142877,0.04,21,1,3
0,0.1,0.0,4.4666666666666615,0.3349999999999996,0.6699999999999993,0.08,20,2,3
0,0.1,0.01,50.53333333333331,3.989473684210525,7.978947368421049,0.12,19,3,3
0,0.1,0.0,233.40000000000745,19.450000000000617,38.90000000000124,0.16,18,4,3
0,0.1,0.004,43.53333333333372,3.8411764705882687,7.682352941176537,0.2,17,5,3
0,0.1,0.056,6.999999999999986,0.6562499999999987,1.3124999999999971,0.24,16,6,3
0,0.1,0.007,2.8000000000000007,0.2800000000000001,0.5600000000000002,0.28,15,7,3
0,0.1,0.0,43.53333333333372,4.664285714285755,9.32857142857151,0.32,14,8,3
0,0.1,0.015,11.866666666666656,1.369230769230768,2.738461538461536,0.36,13,9,3
0,0.1,0.052,13.466666666666676,1.683333333333335,3.3666666666666694,0.4,12,10,3
0,0.1,0.021,24.533333333333506,3.3454545454545683,6.690909090909137,0.44,11,11,3
0,0.1,0.177,14.80000000000003,2.2200000000000046,4.440000000000009,0.48,10,12,3
0,0.1,0.116,4.733333333333327,0.7888888888888879,1.5777777777777755,0.52,9,13,3
0,0.1,0.011,3.399999999999999,0.6374999999999997,1.2749999999999997,0.56,8,14,3
