,Time Averaged Non-Dimensional Area Coverage,heterogeneity,seekers,explorers,isocontours
0,0.5154933333333335,0.0,25,0,0
0,0.3758626666666667,0.04,24,1,0
0,0.5397226666666667,0.08,23,2,0
0,0.4908326666666667,0.12,22,3,0
0,0.5401986666666667,0.16,21,4,0
0,0.620936,0.2,20,5,0
0,0.9021326666666668,0.24,19,6,0
0,0.8118306666666667,0.28,18,7,0
0,0.7809433333333333,0.32,17,8,0
0,1.066590666666667,0.36,16,9,0
0,0.87115,0.4,15,10,0
0,0.8628999999999999,0.44,14,11,0
0,0.9775593333333332,0.48,13,12,0
0,0.8850786666666667,0.52,12,13,0
0,1.1325966666666667,0.56,11,14,0
0,0.961398,0.6,10,15,0
0,1.0586019999999998,0.64,9,16,0
0,1.1266866666666668,0.68,8,17,0
0,0.9567013333333332,0.72,7,18,0
0,0.975548,0.76,6,19,0
0,1.1357366666666666,0.8,5,20,0
0,1.050155333333333,0.84,4,21,0
0,0.8838826666666667,0.88,3,22,0
0,1.071718,0.92,2,23,0
0,1.0618213333333333,0.96,1,24,0
0,0.2351439999999999,0.0,24,0,1
0,0.333744,0.04,23,1,1
0,0.576358,0.08,22,2,1
0,0.8111013333333333,0.12,21,3,1
0,1.0856826666666668,0.16,20,4,1
0,0.8521753333333333,0.2,19,5,1
0,0.973932,0.24,18,6,1
0,0.8492746666666667,0.28,17,7,1
0,1.005132,0.32,16,8,1
0,0.8822933333333334,0.36,15,9,1
0,0.9814853333333334,0.4,14,10,1
0,0.96853,0.44,13,11,1
0,1.023898,0.48,12,12,1
0,1.098712,0.52,11,13,1
0,1.0629453333333334,0.56,10,14,1
0,0.9526393333333332,0.6,9,15,1
0,0.8694966666666666,0.64,8,16,1
0,1.0721486666666666,0.68,7,17,1
0,1.1087073333333333,0.72,6,18,1
0,0.888648,0.76,5,19,1
0,1.130801333333333,0.8,4,20,1
0,1.162823333333333,0.84,3,21,1
0,1.099634,0.88,2,22,1
0,1.095298,0.92,1,23,1
0,0.2470153333333332,0.0,23,0,2
0,0.4350793333333334,0.04,22,1,2
0,0.666402,0.08,21,2,2
0,0.6059513333333334,0.12,20,3,2
0,0.7679693333333333,0.16,19,4,2
0,0.7565093333333334,0.2,18,5,2
0,0.7620366666666666,0.24,17,6,2
