,Time Averaged Accuracy,Total Energy Remaining,Best Heading/Bearing Correlation,Heterogeneity,Seekers,Explorers,Isocontours
0,0.6782733333333333,0.293,0.4583733333333333,0.0,25,0,0
0,0.7625793333333333,0.271,0.4509444444444444,0.04,24,1,0
0,0.5845973333333333,0.254,0.4698550724637681,0.08,23,2,0
0,0.4694460000000001,0.164,0.4773333333333333,0.12,22,3,0
0,0.5911113333333333,0.114,0.5297142857142857,0.16,21,4,0
0,0.83375,0.23,0.4763,0.2,20,5,0
0,0.6770033333333333,0.133,0.5517894736842105,0.24,19,6,0
0,0.614656,0.25,0.4776666666666667,0.28,18,7,0
0,0.7429893333333333,0.204,0.5496078431372549,0.32,17,8,0
0,0.6646213333333334,0.172,0.5655416666666667,0.36,16,9,0
0,0.70557,0.274,0.5228888888888888,0.4,15,10,0
0,0.8879786666666666,0.253,0.5226666666666666,0.44,14,11,0
0,0.8422879999999998,0.239,0.5841538461538461,0.48,13,12,0
0,0.7172400000000001,0.22,0.6631666666666667,0.52,12,13,0
0,0.7734486666666667,0.251,0.6771515151515152,0.56,11,14,0
0,0.7201440000000001,0.183,0.6790666666666667,0.6,10,15,0
0,0.6953346666666667,0.229,0.6737037037037037,0.64,9,16,0
0,0.7103626666666666,0.234,0.7108333333333333,0.68,8,17,0
0,0.810474,0.243,0.7073333333333334,0.72,7,18,0
0,0.7574899999999999,0.286,0.6127777777777778,0.76,6,19,0
0,0.7239926666666667,0.25,0.7077333333333333,0.8,5,20,0
0,0.7206753333333333,0.283,0.6605,0.84,4,21,0
0,0.8661246666666668,0.267,0.6188888888888889,0.88,3,22,0
0,0.7639279999999998,0.287,0.6783333333333333,0.92,2,23,0
0,0.7716653333333333,0.29,0.6106666666666667,0.96,1,24,0
0,0.570922,0.308,0.5045,0.0,24,0,1
0,0.4835819999999999,0.198,0.4314782608695652,0.04,23,1,1
0,0.7149580000000001,0.281,0.4327272727272727,0.08,22,2,1
0,0.60886,0.33,0.4124761904761905,0.12,21,3,1
0,0.6649586666666667,0.309,0.4618666666666666,0.16,20,4,1
0,0.6140713333333333,0.138,0.5286666666666666,0.2,19,5,1
0,0.5577233333333333,0.255,0.4797777777777778,0.24,18,6,1
0,0.7017546666666667,0.173,0.53,0.28,17,7,1
0,0.759628,0.156,0.626125,0.32,16,8,1
0,0.5359253333333333,0.199,0.4061333333333333,0.36,15,9,1
0,0.72982,0.195,0.5341428571428571,0.4,14,10,1
0,0.5964986666666667,0.175,0.3563589743589743,0.44,13,11,1
0,0.7057006666666668,0.246,0.5961666666666666,0.48,12,12,1
0,0.851234,0.317,0.5167272727272727,0.52,11,13,1
0,0.8126513333333334,0.256,0.5621333333333334,0.56,10,14,1
0,0.6864839999999999,0.229,0.6345185185185185,0.6,9,15,1
0,0.7241833333333334,0.285,0.6111666666666666,0.64,8,16,1
0,0.7551853333333334,0.227,0.5914285714285714,0.68,7,17,1
0,0.7194633333333333,0.23,0.6703333333333333,0.72,6,18,1
0,0.8664333333333334,0.25,0.6661333333333334,0.76,5,19,1
0,0.7259386666666666,0.24,0.7133333333333334,0.8,4,20,1
0,0.7541093333333333,0.267,0.66,0.84,3,21,1
0,0.7779400000000001,0.253,0.721,0.88,2,22,1
0,0.7120106666666667,0.264,0.676,0.92,1,23,1
0,0.5504946666666667,0.269,0.4876231884057971,0.0,23,0,2
0,0.5727420000000001,0.294,0.5209393939393939,0.04,22,1,2
