,Time Averaged Accuracy,Time Averaged Spreading,Heterogeneity,seekers,explorers,isocontours
0,,,0.0,25,0,0
0,,,0.04,24,1,0
0,,,0.08,23,2,0
0,,,0.12,22,3,0
0,,,0.16,21,4,0
0,,,0.2,20,5,0
0,,,0.24,19,6,0
0,,,0.28,18,7,0
0,,,0.32,17,8,0
0,,,0.36,16,9,0
0,,,0.4,15,10,0
0,,,0.44,14,11,0
0,,,0.48,13,12,0
0,,,0.52,12,13,0
0,,,0.56,11,14,0
0,,,0.6,10,15,0
0,,,0.64,9,16,0
0,,,0.68,8,17,0
0,,,0.72,7,18,0
0,,,0.76,6,19,0
0,,,0.8,5,20,0
0,,,0.84,4,21,0
0,,,0.88,3,22,0
0,,,0.92,2,23,0
0,,,0.96,1,24,0
0,0.0627493333333333,inf,0.0,24,0,1
0,0.072126,inf,0.04,23,1,1
0,0.1043766666666666,inf,0.08,22,2,1
0,0.0547926666666666,inf,0.12,21,3,1
0,0.034888,inf,0.16,20,4,1
0,0.0669706666666666,inf,0.2,19,5,1
0,0.0572826666666666,inf,0.24,18,6,1
0,0.0522606666666666,inf,0.28,17,7,1
0,0.103016,inf,0.32,16,8,1
0,0.110258,inf,0.36,15,9,1
0,0.0499593333333333,inf,0.4,14,10,1
0,0.080566,inf,0.44,13,11,1
0,0.032764,inf,0.48,12,12,1
0,0.066368,inf,0.52,11,13,1
0,0.0812533333333333,inf,0.56,10,14,1
0,0.0781286666666666,inf,0.6,9,15,1
0,0.0726706666666666,inf,0.64,8,16,1
0,0.0279353333333333,inf,0.68,7,17,1
0,0.083266,inf,0.72,6,18,1
0,0.106726,inf,0.76,5,19,1
0,0.0208093333333333,inf,0.8,4,20,1
0,0.090864,inf,0.84,3,21,1
0,0.0709393333333333,inf,0.88,2,22,1
0,0.0298906666666666,inf,0.92,1,23,1
0,0.034308,inf,0.0,23,0,2
0,0.0728839999999999,6.959893333333333,0.04,22,1,2
0,0.1127053333333333,0.5793886666666668,0.08,21,2,2
0,0.0543153333333333,12.135449999999995,0.12,20,3,2
0,0.073268,3.96779,0.16,19,4,2
0,0.074066,inf,0.2,18,5,2
0,0.0286713333333333,inf,0.24,17,6,2
0,0.114578,3.841145333333333,0.28,16,7,2
0,0.0429526666666666,8.246462,0.32,15,8,2
0,0.1237526666666666,0.941586,0.36,14,9,2
0,0.0911086666666666,inf,0.4,13,10,2
0,0.1210633333333333,3.38774,0.44,12,11,2
0,0.083636,6.563814666666667,0.48,11,12,2
0,0.0209473333333333,6.925984666666666,0.52,10,13,2
0,0.06276,9.306922666666669,0.56,9,14,2
0,0.0244153333333333,9.55069,0.6,8,15,2
0,0.1085179999999999,7.280342666666666,0.64,7,16,2
0,0.0526646666666666,3.378203333333333,0.68,6,17,2
0,0.042222,1.8386966666666664,0.72,5,18,2
0,0.0440573333333333,9.689574,0.76,4,19,2
0,0.0598886666666666,inf,0.8,3,20,2
0,0.0883399999999999,2.4422726666666663,0.84,2,21,2
0,0.013542,10.264485333333331,0.88,1,22,2
0,0.1166219999999999,4.453699999999999,0.0,22,0,3
