Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,4126.66,0.001,1.651
0.2,4126.66,0.001,1.651
0.3,4126.66,0.002,1.651
0.4,4073.33,0.003,1.629
0.5,4126.66,0.003,1.651
0.6,4126.66,0.004,1.651
0.7,4073.33,0.005,1.629
0.8,4073.33,0.005,1.629
0.9,3940.0,0.006,1.576
1.0,4073.33,0.007,1.629
1.1,3906.66,0.007,1.563
1.2,4006.66,0.008,1.603
1.3,3926.66,0.009,1.571
1.4,3880.0,0.009,1.552
1.5,3880.0,0.01,1.552
1.6,3840.0,0.011,1.536
1.7,3740.0,0.011,1.496
1.8,3906.66,0.012,1.563
1.9,3693.33,0.013,1.477
2.0,3826.66,0.013,1.531
2.1,3826.66,0.014,1.531
2.2,3726.66,0.015,1.491
2.3,3726.66,0.015,1.491
2.4,3726.66,0.016,1.491
2.5,3693.33,0.017,1.477
2.6,3693.33,0.017,1.477
2.7,3583.81,0.018,1.434
2.8,3597.14,0.019,1.439
2.9,3767.62,0.019,1.507
3.0,3634.28,0.02,1.454
3.1,3607.62,0.021,1.443
3.2,3588.57,0.021,1.435
3.3,3588.57,0.022,1.435
3.4,3361.43,0.023,1.345
3.5,3335.87,0.023,1.334
3.6,3235.87,0.024,1.294
3.7,3269.21,0.025,1.308
3.8,3058.73,0.025,1.223
3.9,3254.92,0.026,1.302
4.0,3232.06,0.027,1.293
4.1,3150.95,0.027,1.26
4.2,3070.95,0.028,1.228
4.3,3127.14,0.029,1.251
4.4,3103.34,0.029,1.241
4.5,3016.67,0.03,1.207
4.6,3016.67,0.031,1.207
4.7,2960.48,0.031,1.184
4.8,3047.14,0.032,1.219
4.9,3007.14,0.033,1.203
5.0,3007.14,0.033,1.203
5.1,3083.34,0.034,1.233
5.2,3070.0,0.035,1.228
5.3,2970.0,0.035,1.188
5.4,2970.0,0.036,1.188
5.5,3023.34,0.037,1.209
5.6,3056.67,0.037,1.223
5.7,3013.81,0.038,1.206
5.8,3027.14,0.039,1.211
