Time,ID,Measurement,x,y,Ni,Linear Coverage,Abs(zi-z_goal)/range
0.0,23,0.0,-6.7,-6.1,,,0.276
0.0,24,0.0,-18.6,14.9,,,0.276
0.0,25,0.0,-0.9,-24.6,,,0.276
0.1,23,0.0,-6.7,-6.0,0.0,22.568,0.276
0.1,24,0.0,-18.7,14.9,0.0,22.568,0.276
0.1,25,0.0,-0.8,-24.5,0.0,22.568,0.276
0.2,23,0.0,-6.7,-6.0,0.0,22.568,0.276
0.2,24,0.0,-18.7,14.9,0.0,22.568,0.276
0.2,25,0.0,-0.7,-24.5,0.0,22.568,0.276
0.3,23,0.0,-6.6,-6.0,0.0,22.568,0.276
0.3,24,0.0,-18.6,14.8,0.0,22.568,0.276
0.3,25,0.0,-0.8,-24.5,0.0,22.568,0.276
0.4,23,0.0,-6.6,-6.1,0.0,22.568,0.276
0.4,24,0.0,-18.7,14.8,0.0,22.568,0.276
0.4,25,0.0,-0.9,-24.5,0.0,22.568,0.276
0.5,23,0.0,-6.5,-6.1,0.0,22.568,0.276
0.5,24,0.0,-18.7,14.9,0.0,22.568,0.276
0.5,25,0.0,-0.8,-24.5,0.0,22.568,0.276
0.6,23,0.0,-6.5,-6.2,0.0,22.568,0.276
0.6,24,0.0,-18.8,15.0,0.0,22.568,0.276
0.6,25,0.0,-0.9,-24.5,0.0,22.568,0.276
0.7,23,0.0,-6.6,-6.2,0.0,22.568,0.276
0.7,24,0.0,-18.7,14.9,0.0,22.568,0.276
0.7,25,0.0,-0.8,-24.5,0.0,22.568,0.276
0.8,23,0.0,-6.5,-6.1,0.0,22.568,0.276
0.8,24,0.0,-18.8,15.0,0.0,22.568,0.276
0.8,25,0.0,-0.7,-24.6,0.0,22.568,0.276
0.9,23,0.0,-6.6,-6.1,0.0,22.568,0.276
0.9,24,0.0,-18.7,15.0,0.0,22.568,0.276
0.9,25,0.0,-0.8,-24.6,0.0,22.568,0.276
1.0,23,0.0,-6.5,-6.1,0.0,22.568,0.276
1.0,24,0.0,-18.7,15.1,0.0,22.568,0.276
1.0,25,0.0,-0.7,-24.6,0.0,22.568,0.276
1.1,23,0.0,-6.5,-6.0,0.0,22.568,0.276
1.1,24,0.0,-18.7,15.0,0.0,22.568,0.276
1.1,25,0.0,-0.8,-24.6,0.0,22.568,0.276
1.2,23,0.0,-6.5,-6.1,0.0,22.568,0.276
1.2,24,0.0,-18.7,15.1,0.0,22.568,0.276
1.2,25,0.0,-0.7,-24.6,0.0,22.568,0.276
1.3,23,0.0,-6.5,-6.2,0.0,22.568,0.276
1.3,24,0.0,-18.7,15.0,0.0,22.568,0.276
1.3,25,0.0,-0.8,-24.6,0.0,22.568,0.276
1.4,23,0.0,-6.4,-6.2,0.0,22.568,0.276
1.4,24,0.0,-18.7,15.0,0.0,22.568,0.276
1.4,25,0.001,-0.9,-24.5,0.0,22.568,0.275
1.5,23,0.001,-6.5,-6.3,0.0,22.568,0.275
1.5,24,0.0,-18.6,15.1,0.0,22.568,0.276
1.5,25,0.002,-0.8,-24.5,0.0,22.568,0.275
1.6,23,0.002,-6.5,-6.5,0.0,22.568,0.275
1.6,24,0.0,-18.5,15.1,0.0,22.568,0.276
1.6,25,0.003,-0.7,-24.5,0.0,22.568,0.275
1.7,23,0.004,-6.6,-6.7,0.0,22.568,0.275
1.7,24,0.0,-18.5,15.0,0.0,22.568,0.276
1.7,25,0.005,-0.6,-24.5,0.0,22.568,0.274
1.8,23,0.006,-6.7,-6.8,0.0,22.568,0.274
1.8,24,0.0,-18.6,15.0,0.0,22.568,0.276
1.8,25,0.008,-0.5,-24.5,0.0,22.568,0.273
1.9,23,0.01,-6.9,-6.9,0.0,22.568,0.273
1.9,24,0.0,-18.5,15.0,0.0,22.568,0.276
1.9,25,0.012,-0.6,-24.5,0.0,22.568,0.272
2.0,23,0.016,-7.1,-7.1,0.0,22.568,0.271
2.0,24,0.0,-18.5,14.9,0.0,22.568,0.276
2.0,25,0.017,-0.5,-24.5,0.0,22.568,0.271
2.1,23,0.023,-7.2,-7.2,0.0,22.568,0.269
2.1,24,0.0,-18.5,14.9,0.0,22.568,0.276
2.1,25,0.023,-0.6,-24.5,0.0,22.568,0.269
2.2,23,0.031,-7.3,-7.2,0.0,22.568,0.267
2.2,24,0.0,-18.5,14.8,0.0,22.568,0.276
2.2,25,0.03,-0.5,-24.6,0.0,22.568,0.267
2.3,23,0.042,-7.5,-7.2,0.0,22.568,0.264
2.3,24,0.001,-18.5,14.9,0.0,22.568,0.275
2.3,25,0.038,-0.6,-24.6,0.0,22.568,0.265
2.4,23,0.056,-7.7,-7.4,0.0,22.568,0.26
2.4,24,0.001,-18.5,15.0,0.0,22.568,0.275
2.4,25,0.047,-0.6,-24.6,0.0,22.568,0.263
2.5,23,0.071,-7.9,-7.4,0.0,22.568,0.256
2.5,24,0.001,-18.6,15.0,0.0,22.568,0.275
2.5,25,0.057,-0.6,-24.6,0.0,22.568,0.26
2.6,23,0.089,-8.2,-7.5,0.0,22.568,0.251
2.6,24,0.002,-18.5,15.0,0.0,22.568,0.275
2.6,25,0.069,-0.7,-24.6,0.0,22.568,0.257
2.7,23,0.11,-8.4,-7.6,0.0,22.568,0.245
2.7,24,0.003,-18.5,15.1,0.0,22.568,0.275
2.7,25,0.08,-0.6,-24.6,0.0,22.568,0.254
2.8,23,0.132,-8.6,-7.7,0.0,22.568,0.239
2.8,24,0.004,-18.5,15.1,0.0,22.568,0.275
2.8,25,0.091,-0.6,-24.6,0.0,22.568,0.251
2.9,23,0.157,-8.8,-7.8,0.0,22.568,0.232
2.9,24,0.006,-18.6,15.1,0.0,22.568,0.274
2.9,25,0.104,-0.6,-24.6,0.0,22.568,0.247
3.0,23,0.185,-9.1,-7.9,0.0,22.568,0.225
3.0,24,0.008,-18.7,15.2,0.0,22.568,0.273
3.0,25,0.116,-0.6,-24.6,0.0,22.568,0.244
3.1,23,0.212,-9.3,-8.0,0.0,22.568,0.217
3.1,24,0.011,-18.6,15.1,0.0,22.568,0.273
3.1,25,0.128,-0.5,-24.6,0.0,22.568,0.24
3.2,23,0.237,-9.4,-8.0,0.0,22.568,0.21
3.2,24,0.014,-18.5,15.1,0.0,22.568,0.272
3.2,25,0.144,-0.5,-24.6,0.0,22.568,0.236
3.3,23,0.269,-9.7,-8.1,0.0,22.568,0.201
3.3,24,0.018,-18.6,15.0,0.0,22.568,0.271
3.3,25,0.157,-0.5,-24.6,0.0,22.568,0.232
3.4,23,0.303,-10.0,-8.1,0.0,22.568,0.192
