Time,Average Abs(zi-z_goal)/range,Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,0.277,0.0,0.0,24.3,20.0,-17.6,-21.1,166.0,0.0
0.1,0.277,157.98,0.001,24.2,20.1,-17.6,-21.0,165.8,0.953
0.2,0.277,157.98,0.001,24.2,20.0,-17.6,-21.0,165.6,0.954
0.3,0.275,157.98,0.002,24.2,20.0,-17.6,-21.0,165.6,0.954
0.4,0.273,157.98,0.003,24.1,20.0,-17.6,-21.1,165.6,0.954
0.5,0.27,157.98,0.003,24.0,19.9,-17.6,-21.2,165.4,0.955
0.6,0.268,157.98,0.004,24.0,19.9,-17.6,-21.3,165.6,0.954
0.7,0.264,157.98,0.005,23.9,20.0,-17.6,-21.3,165.6,0.954
0.8,0.261,157.98,0.005,23.9,20.0,-17.6,-21.3,165.6,0.954
0.9,0.258,157.98,0.006,23.8,19.9,-17.6,-21.3,165.2,0.956
1.0,0.255,157.98,0.007,23.7,20.0,-17.4,-21.3,164.8,0.959
1.1,0.252,157.98,0.007,23.6,20.0,-17.2,-21.3,164.2,0.962
1.2,0.249,157.98,0.008,23.5,20.1,-17.0,-21.3,163.8,0.964
1.3,0.248,157.98,0.009,23.4,20.1,-16.8,-21.2,163.0,0.969
1.4,0.249,157.98,0.009,23.3,20.2,-16.6,-21.1,162.4,0.973
1.5,0.251,157.98,0.01,23.2,20.2,-16.4,-21.2,162.0,0.975
1.6,0.251,157.98,0.011,23.0,20.2,-16.2,-21.0,160.8,0.982
1.7,0.25,157.98,0.011,22.8,20.1,-15.9,-20.8,159.2,0.992
1.8,0.248,157.98,0.012,22.5,20.2,-15.8,-20.7,158.4,0.997
1.9,0.246,157.98,0.013,22.4,20.2,-15.6,-20.6,157.6,1.002
2.0,0.242,157.98,0.013,22.3,20.1,-15.3,-20.3,156.0,1.013
2.1,0.237,157.98,0.014,22.1,20.1,-15.1,-20.0,154.6,1.022
2.2,0.232,157.98,0.015,22.0,20.2,-14.9,-19.7,153.6,1.029
2.3,0.225,157.98,0.015,21.9,20.1,-14.7,-19.5,152.4,1.037
2.4,0.218,157.98,0.016,21.7,20.1,-14.5,-19.4,151.4,1.043
2.5,0.212,157.98,0.017,21.5,20.0,-14.3,-19.2,150.0,1.053
2.6,0.204,157.98,0.017,21.4,19.9,-14.0,-19.0,148.6,1.063
2.7,0.196,157.98,0.018,21.3,19.9,-13.8,-18.8,147.6,1.07
2.8,0.189,142.93,0.019,21.1,19.9,-13.6,-18.5,146.2,0.978
2.9,0.181,142.93,0.019,20.9,19.9,-13.4,-18.3,145.0,0.986
3.0,0.174,142.93,0.02,20.7,19.8,-13.2,-18.1,143.6,0.995
3.1,0.165,142.93,0.021,20.6,19.7,-12.9,-17.9,142.2,1.005
3.2,0.159,142.93,0.021,20.5,19.6,-12.7,-17.6,140.8,1.015
3.3,0.155,142.93,0.022,20.4,19.6,-12.5,-17.5,140.0,1.021
3.4,0.151,142.93,0.023,20.2,19.4,-12.3,-17.2,138.2,1.034
3.5,0.144,142.93,0.023,20.1,19.4,-12.1,-17.0,137.2,1.042
3.6,0.137,142.93,0.024,19.9,19.3,-11.9,-16.7,135.6,1.054
3.7,0.131,142.93,0.025,19.7,19.3,-11.7,-16.5,134.4,1.063
3.8,0.123,142.93,0.025,19.5,19.2,-11.5,-16.2,132.8,1.076
3.9,0.119,135.41,0.026,19.3,19.1,-11.2,-15.9,131.0,1.034
4.0,0.116,135.41,0.027,19.2,19.1,-11.0,-15.6,129.8,1.043
4.1,0.112,135.41,0.027,19.0,18.9,-10.8,-15.3,128.0,1.058
4.2,0.11,120.36,0.028,18.7,18.8,-10.6,-15.1,126.4,0.952
4.3,0.109,120.36,0.029,18.7,18.8,-10.3,-14.9,125.4,0.96
4.4,0.107,109.08,0.029,18.7,18.7,-10.2,-14.7,124.6,0.875
4.5,0.106,107.2,0.03,18.6,18.6,-10.0,-14.6,123.6,0.867
4.6,0.104,107.2,0.031,18.6,18.5,-9.8,-14.4,122.6,0.874
4.7,0.101,99.68,0.031,18.6,18.4,-9.6,-14.1,121.4,0.821
4.8,0.1,99.68,0.032,18.7,18.3,-9.3,-13.8,120.2,0.829
4.9,0.099,94.04,0.033,18.6,18.1,-9.2,-13.6,119.0,0.79
5.0,0.099,94.04,0.033,18.6,18.1,-9.0,-13.3,118.0,0.797
5.1,0.099,94.04,0.034,18.6,18.1,-8.8,-13.2,117.4,0.801
5.2,0.099,94.04,0.035,18.6,18.1,-8.6,-13.0,116.6,0.807
5.3,0.101,94.04,0.035,18.5,18.2,-8.4,-12.8,115.8,0.812
5.4,0.101,94.04,0.036,18.5,18.3,-8.2,-12.6,115.2,0.816
5.5,0.102,94.04,0.037,18.5,18.3,-8.0,-12.3,114.2,0.823
5.6,0.103,94.04,0.037,18.5,18.4,-7.8,-12.2,113.8,0.826
5.7,0.104,94.04,0.038,18.6,18.4,-7.7,-12.0,113.4,0.829
5.8,0.107,94.04,0.039,18.5,18.4,-7.7,-11.8,112.8,0.834
5.9,0.109,94.04,0.039,18.5,18.4,-7.7,-11.7,112.6,0.835
6.0,0.11,94.04,0.04,18.4,18.4,-7.6,-11.5,111.8,0.841
6.1,0.111,94.04,0.041,18.5,18.3,-7.6,-11.3,111.4,0.844
6.2,0.114,94.04,0.041,18.6,18.4,-7.5,-11.2,111.4,0.844
6.3,0.118,94.04,0.042,18.5,18.4,-7.5,-11.1,111.0,0.847
6.4,0.12,94.04,0.043,18.4,18.3,-7.4,-11.1,110.4,0.852
6.5,0.124,94.04,0.043,18.4,18.2,-7.4,-11.0,110.0,0.855
6.6,0.128,94.04,0.044,18.3,18.2,-7.5,-11.1,110.2,0.853
6.7,0.13,94.04,0.045,18.3,18.2,-7.5,-11.0,110.0,0.855
6.8,0.131,88.39,0.045,18.4,18.1,-7.5,-11.0,110.0,0.804
6.9,0.133,88.39,0.046,18.4,18.1,-7.5,-10.9,109.8,0.805
7.0,0.133,88.39,0.047,18.3,18.0,-7.6,-11.0,109.8,0.805
7.1,0.135,88.39,0.047,18.3,18.0,-7.8,-11.0,110.2,0.802
7.2,0.136,88.39,0.048,18.3,17.9,-7.9,-11.0,110.2,0.802
7.3,0.138,88.39,0.049,18.2,17.9,-7.8,-11.1,110.0,0.804
7.4,0.14,88.39,0.049,18.2,18.0,-7.9,-11.1,110.4,0.801
7.5,0.142,88.39,0.05,18.1,18.0,-7.9,-11.2,110.4,0.801
7.6,0.143,88.39,0.051,18.1,18.0,-7.8,-11.1,110.0,0.804
7.7,0.143,88.39,0.051,18.1,18.0,-8.0,-11.0,110.2,0.802
7.8,0.142,88.39,0.052,18.1,18.0,-8.0,-11.1,110.4,0.801
7.9,0.144,88.39,0.053,18.1,18.0,-8.0,-11.0,110.2,0.802
8.0,0.145,88.39,0.053,18.1,18.0,-7.9,-10.9,109.8,0.805
8.1,0.146,88.39,0.054,18.0,18.0,-7.9,-10.9,109.6,0.806
8.2,0.146,88.39,0.055,18.0,17.9,-7.8,-10.8,109.0,0.811
8.3,0.147,88.39,0.055,18.0,17.9,-7.7,-10.7,108.6,0.814
8.4,0.148,84.63,0.056,18.0,17.9,-7.6,-10.8,108.6,0.779
8.5,0.148,84.63,0.057,17.9,17.8,-7.5,-10.8,108.0,0.784
8.6,0.148,84.63,0.057,18.0,17.8,-7.4,-10.9,108.2,0.782
8.7,0.147,84.63,0.058,18.0,17.7,-7.3,-10.9,107.8,0.785
8.8,0.145,84.63,0.059,18.0,17.7,-7.3,-11.0,108.0,0.784
8.9,0.144,79.74,0.059,18.0,17.7,-7.2,-11.1,108.0,0.738
9.0,0.143,79.74,0.06,18.0,17.6,-7.2,-11.1,107.8,0.74
9.1,0.14,79.74,0.061,18.0,17.5,-7.1,-11.1,107.4,0.742
9.2,0.139,79.74,0.061,17.9,17.5,-7.1,-11.0,107.0,0.745
9.3,0.139,79.74,0.062,18.0,17.5,-7.0,-11.1,107.2,0.744
9.4,0.137,79.74,0.063,18.0,17.5,-7.0,-11.0,107.0,0.745
9.5,0.136,79.74,0.063,18.0,17.4,-7.0,-11.1,107.0,0.745
9.6,0.135,79.74,0.064,17.9,17.3,-7.0,-11.1,106.6,0.748
9.7,0.133,79.74,0.065,18.0,17.2,-7.0,-11.3,107.0,0.745
9.8,0.132,79.74,0.065,17.9,17.2,-6.9,-11.2,106.4,0.749
9.9,0.13,79.74,0.066,17.9,17.2,-6.9,-11.3,106.6,0.748
10.0,0.128,79.74,0.067,17.9,17.2,-6.7,-11.3,106.2,0.751
10.1,0.125,79.74,0.067,17.9,17.1,-6.7,-11.3,106.0,0.752
10.2,0.122,79.74,0.068,17.9,17.2,-6.7,-11.4,106.4,0.749
10.3,0.119,79.74,0.069,17.9,17.2,-6.6,-11.6,106.6,0.748
10.4,0.117,79.74,0.069,17.9,17.1,-6.5,-11.5,106.0,0.752
10.5,0.115,79.74,0.07,17.9,17.1,-6.4,-11.5,105.8,0.754
10.6,0.112,79.74,0.071,17.8,17.1,-6.4,-11.5,105.6,0.755
10.7,0.11,79.74,0.071,17.8,16.9,-6.2,-11.5,104.8,0.761
10.8,0.107,79.74,0.072,17.8,16.9,-6.0,-11.5,104.4,0.764
10.9,0.104,72.97,0.073,17.8,16.8,-5.8,-11.5,103.8,0.703
11.0,0.102,72.97,0.073,17.8,16.8,-5.6,-11.6,103.6,0.704
11.1,0.099,72.97,0.074,17.9,16.7,-5.4,-11.5,103.0,0.708
11.2,0.096,72.97,0.075,17.9,16.6,-5.2,-11.4,102.2,0.714
11.3,0.094,72.97,0.075,18.0,16.6,-5.0,-11.5,102.2,0.714
11.4,0.091,72.97,0.076,18.0,16.5,-4.9,-11.5,101.8,0.717
11.5,0.088,72.97,0.077,18.0,16.4,-4.8,-11.3,101.0,0.722
11.6,0.085,72.97,0.077,18.0,16.2,-4.7,-11.4,100.6,0.725
11.7,0.083,71.84,0.078,18.1,16.1,-4.7,-11.6,101.0,0.711
11.8,0.08,67.71,0.079,18.1,16.0,-4.5,-11.6,100.4,0.674
11.9,0.078,67.71,0.079,18.1,15.9,-4.4,-11.5,99.8,0.678
12.0,0.075,67.71,0.08,18.2,15.8,-4.2,-11.6,99.6,0.68
12.1,0.072,67.71,0.081,18.2,15.6,-4.2,-11.8,99.6,0.68
12.2,0.069,67.71,0.081,18.2,15.5,-4.2,-11.8,99.4,0.681
12.3,0.066,67.71,0.082,18.3,15.4,-4.0,-11.8,99.0,0.684
12.4,0.063,67.71,0.083,18.3,15.3,-3.9,-11.7,98.4,0.688
12.5,0.06,67.71,0.083,18.4,15.2,-3.7,-11.8,98.2,0.69
12.6,0.058,67.71,0.084,18.4,15.0,-3.7,-11.7,97.6,0.694
