Time,ID,behv,Battery,x,y,Measurement,u,v,speed,best_x,best_y,best_measure,best_id
0.0,1,isocontour,100.0,5.4,-7.2,-80.8,,,,5.4,-7.2,-80.8,1
0.0,2,isocontour,100.0,-7.0,5.5,-79.6,,,,-7.0,5.5,-79.6,2
0.0,3,isocontour,100.0,-7.2,-5.1,-77.9,,,,-7.2,-5.1,-77.9,3
0.0,4,isocontour,100.0,-0.2,-5.6,-31.8,,,,-0.2,-5.6,-31.8,4
0.0,5,isocontour,100.0,-7.5,-1.2,-57.3,,,,-7.5,-1.2,-57.3,5
0.0,6,isocontour,100.0,-2.7,-0.9,-8.3,,,,-2.7,-0.9,-8.3,6
0.0,7,isocontour,100.0,7.5,5.7,-89.5,,,,7.5,5.7,-89.5,7
0.0,8,isocontour,100.0,-6.5,-4.9,-66.3,,,,-6.5,-4.9,-66.3,8
0.0,9,isocontour,100.0,5.5,-2.0,-34.5,,,,5.5,-2.0,-34.5,9
0.0,10,isocontour,100.0,-8.7,5.0,-101.3,,,,-8.7,5.0,-101.3,10
0.0,11,isocontour,100.0,-7.5,9.2,-141.0,,,,-7.5,9.2,-141.0,11
0.0,12,isocontour,100.0,-0.2,-3.6,-12.7,,,,-0.2,-3.6,-12.7,12
0.0,13,isocontour,100.0,-5.6,1.4,-32.9,,,,-5.6,1.4,-32.9,13
0.0,14,isocontour,100.0,2.9,7.8,-69.2,,,,2.9,7.8,-69.2,14
0.0,15,isocontour,100.0,1.3,-1.4,-3.6,,,,1.3,-1.4,-3.6,15
0.0,16,isocontour,100.0,-6.0,-0.4,-36.3,,,,-6.0,-0.4,-36.3,16
0.0,17,isocontour,100.0,10.0,-1.1,-100.2,,,,10.0,-1.1,-100.2,17
0.0,18,isocontour,100.0,2.6,-9.4,-95.4,,,,2.6,-9.4,-95.4,18
0.0,19,isocontour,100.0,-3.1,5.9,-43.9,,,,-3.1,5.9,-43.9,19
0.0,20,isocontour,100.0,-7.8,0.7,-61.8,,,,-7.8,0.7,-61.8,20
0.0,21,isocontour,100.0,-1.3,-2.6,-8.5,,,,-1.3,-2.6,-8.5,21
0.0,22,isocontour,100.0,5.3,-3.9,-43.1,,,,5.3,-3.9,-43.1,22
0.0,23,isocontour,100.0,-3.4,4.4,-30.9,,,,-3.4,4.4,-30.9,23
0.0,24,isocontour,100.0,6.7,-5.7,-77.8,,,,6.7,-5.7,-77.8,24
0.0,25,isocontour,100.0,2.8,-0.1,-7.8,,,,2.8,-0.1,-7.8,25
0.0,26,isocontour,100.0,9.7,3.9,-108.4,,,,9.7,3.9,-108.4,26
0.0,27,isocontour,100.0,5.1,-3.3,-36.9,,,,5.1,-3.3,-36.9,27
0.0,28,isocontour,100.0,-6.9,5.1,-74.0,,,,-6.9,5.1,-74.0,28
0.0,29,isocontour,100.0,-2.3,4.1,-22.1,,,,-2.3,4.1,-22.1,29
0.0,30,isocontour,100.0,6.2,-6.2,-77.5,,,,6.2,-6.2,-77.5,30
0.0,31,isocontour,100.0,-5.2,1.6,-29.4,,,,-5.2,1.6,-29.4,31
0.0,32,isocontour,100.0,-6.2,0.6,-38.5,,,,-6.2,0.6,-38.5,32
0.0,33,isocontour,100.0,-0.9,2.4,-6.7,,,,-0.9,2.4,-6.7,33
0.0,34,isocontour,100.0,-4.0,2.9,-24.9,,,,-4.0,2.9,-24.9,34
0.0,35,isocontour,100.0,2.1,7.7,-63.1,,,,2.1,7.7,-63.1,35
0.1,1,isocontour,100.0,5.4,-7.3,-82.1,0.2,-0.8,0.8,5.1,-3.3,-36.9,27
0.1,2,isocontour,100.0,-7.1,5.6,-81.2,-0.4,0.9,1.0,-2.3,4.1,-22.1,29
0.1,3,isocontour,100.0,-7.2,-5.2,-78.5,0.1,-0.7,0.7,-6.0,-0.4,-36.3,16
0.1,4,isocontour,100.0,-0.1,-5.7,-32.6,0.4,-0.7,0.8,1.3,-1.4,-3.6,15
0.1,5,isocontour,100.0,-7.5,-1.2,-57.6,-0.1,-0.4,0.4,-2.7,-0.9,-8.3,6
0.1,6,isocontour,100.0,-2.8,-1.0,-8.6,-0.5,-0.0,0.5,1.3,-1.4,-3.6,15
0.1,7,isocontour,100.0,7.5,5.7,-89.8,0.2,-0.1,0.2,7.5,5.7,-89.5,7
0.1,8,isocontour,100.0,-6.5,-4.9,-66.8,-0.4,0.0,0.4,-6.0,-0.4,-36.3,16
0.1,9,isocontour,100.0,5.5,-2.1,-35.0,0.3,-0.4,0.5,1.3,-1.4,-3.6,15
0.1,10,isocontour,100.0,-8.6,5.0,-100.0,0.7,-0.1,0.7,-5.2,1.6,-29.4,31
