Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,D_error,Time/Total Time,Accuracy,Battery,Non-Dimensional Battery
0.0,0.37,1.95,-0.75,-2.58,1.12,4.53,4.666,0.0,0.844,514.8,1.0
0.1,-0.52,1.51,-0.83,-2.48,0.31,3.99,4.002,0.001,0.867,514.77221,1.0
0.2,-1.38,1.26,-0.77,-2.6,-0.61,3.86,3.908,0.002,0.87,514.74834,1.0
0.3,-1.38,0.69,-0.87,-2.68,-0.51,3.37,3.408,0.003,0.886,514.72989,1.0
0.4,-1.32,0.86,-0.74,-2.7,-0.58,3.56,3.607,0.004,0.88,514.70876,1.0
0.5,-1.3,0.9,-0.65,-2.6,-0.65,3.5,3.56,0.005,0.881,514.68343,1.0
0.6,-1.3,0.9,-0.79,-2.61,-0.51,3.51,3.547,0.006,0.882,514.65941,1.0
0.7,-1.3,0.9,-0.69,-2.7,-0.61,3.6,3.651,0.007,0.878,514.64421,1.0
0.8,-1.3,0.9,-0.58,-2.63,-0.72,3.53,3.603,0.008,0.88,514.61738,1.0
0.9,-1.3,0.9,-0.71,-2.65,-0.59,3.55,3.599,0.009,0.88,514.59447,1.0
1.0,-0.73,1.39,-0.79,-2.75,0.06,4.14,4.14,0.01,0.862,514.57577,1.0
1.1,-1.3,0.9,-0.92,-2.78,-0.38,3.68,3.7,0.011,0.877,514.55767,1.0
1.2,-1.3,0.9,-0.99,-2.67,-0.31,3.57,3.583,0.012,0.881,514.53626,0.999
1.3,-1.3,0.9,-0.97,-2.54,-0.33,3.44,3.456,0.013,0.885,514.5202,0.999
1.4,-1.3,0.9,-0.89,-2.65,-0.41,3.55,3.574,0.014,0.881,514.50392,0.999
1.5,-1.3,0.9,-0.9,-2.78,-0.4,3.68,3.702,0.015,0.877,514.48,0.999
1.6,-1.3,0.9,-1.02,-2.84,-0.28,3.74,3.75,0.016,0.875,514.46317,0.999
1.7,-1.3,0.9,-0.96,-2.96,-0.34,3.86,3.875,0.017,0.871,514.43952,0.999
1.8,-1.3,0.9,-1.06,-2.88,-0.24,3.78,3.788,0.018,0.874,514.41629,0.999
1.9,-1.3,0.9,-0.99,-2.98,-0.31,3.88,3.892,0.019,0.87,514.39558,0.999
2.0,-0.77,1.34,-1.1,-2.92,0.33,4.26,4.273,0.02,0.858,514.36894,0.999
2.1,-1.3,0.9,-1.19,-3.02,-0.11,3.92,3.922,0.021,0.869,514.34486,0.999
2.2,-1.3,0.9,-1.09,-3.11,-0.21,4.01,4.015,0.022,0.866,514.32437,0.999
2.3,-1.3,0.9,-1.01,-3.0,-0.29,3.9,3.911,0.023,0.87,514.29793,0.999
2.4,-1.3,0.9,-0.92,-2.9,-0.38,3.8,3.819,0.024,0.873,514.27762,0.999
2.5,-1.3,0.9,-0.79,-2.87,-0.51,3.77,3.804,0.025,0.873,514.25543,0.999
2.6,-1.3,0.9,-0.92,-2.88,-0.38,3.78,3.799,0.026,0.873,514.23864,0.999
2.7,-1.3,0.9,-0.98,-3.0,-0.32,3.9,3.913,0.027,0.87,514.2186,0.999
2.8,-1.3,0.9,-1.01,-3.13,-0.29,4.03,4.04,0.028,0.865,514.20068,0.999
2.9,-1.3,0.9,-0.88,-3.08,-0.42,3.98,4.002,0.029,0.867,514.17882,0.999
3.0,-0.81,1.29,-0.8,-3.18,-0.01,4.47,4.47,0.03,0.851,514.15582,0.999
3.1,-1.3,0.9,-0.72,-3.07,-0.58,3.97,4.012,0.031,0.866,514.13886,0.999
3.2,-1.3,0.9,-0.74,-3.21,-0.56,4.11,4.148,0.032,0.862,514.11493,0.999
3.3,-1.3,0.9,-0.75,-3.34,-0.55,4.24,4.276,0.033,0.857,514.10148,0.999
3.4,-1.3,0.9,-0.87,-3.28,-0.43,4.18,4.202,0.034,0.86,514.07724,0.999
