Time,Average Ln(Abs(zi/z_goal)),Sum Linear Coverage,Time/Total Time,max_x,max_y,min_x,min_y,Perimeter,Sum Linear Coverage/Perimeter
0.0,0.646,0.0,0.0,14.7,14.7,-11.4,-13.3,108.2,0.0
0.1,0.66,103.8,0.001,14.6,14.6,-11.4,-13.2,107.6,0.965
0.2,0.64,103.8,0.002,14.6,14.6,-11.4,-13.2,107.6,0.965
0.3,0.629,103.8,0.003,14.5,14.5,-11.3,-13.1,106.8,0.972
0.4,0.65,103.8,0.004,14.5,14.4,-11.2,-13.1,106.4,0.976
0.5,0.668,103.8,0.005,14.5,14.4,-11.2,-13.0,106.2,0.977
0.6,0.671,103.8,0.006,14.5,14.3,-11.1,-12.9,105.6,0.983
0.7,0.655,103.8,0.007,14.4,14.3,-11.1,-12.8,105.2,0.987
0.8,0.635,103.8,0.008,14.4,14.2,-11.0,-12.8,104.8,0.99
0.9,0.618,103.8,0.009,14.4,14.1,-10.9,-12.8,104.4,0.994
1.0,0.631,103.8,0.01,14.4,14.1,-10.9,-12.7,104.2,0.996
1.1,0.631,103.8,0.011,14.4,14.0,-10.8,-12.7,103.8,1.0
1.2,0.609,103.2,0.012,14.4,13.9,-10.7,-12.6,103.2,1.0
1.3,0.601,103.8,0.013,14.4,13.9,-10.7,-12.5,103.0,1.008
1.4,0.593,97.2,0.014,14.3,13.8,-10.6,-12.5,102.4,0.949
1.5,0.616,97.2,0.015,14.3,13.8,-10.5,-12.4,102.0,0.953
1.6,0.62,97.2,0.016,14.3,13.8,-10.4,-12.4,101.8,0.955
1.7,0.637,97.2,0.017,14.2,13.7,-10.4,-12.3,101.2,0.96
1.8,0.615,97.2,0.018,14.1,13.6,-10.3,-12.3,100.6,0.966
1.9,0.59,94.8,0.019,14.1,13.6,-10.3,-12.2,100.4,0.944
2.0,0.568,94.8,0.02,14.0,13.6,-10.2,-12.2,100.0,0.948
2.1,0.584,95.2,0.021,14.0,13.5,-10.1,-12.1,99.4,0.958
2.2,0.557,94.8,0.022,13.9,13.5,-10.1,-12.1,99.2,0.956
2.3,0.532,96.8,0.023,13.9,13.4,-10.0,-12.1,98.8,0.98
2.4,0.514,97.2,0.024,13.9,13.4,-10.0,-12.0,98.6,0.986
2.5,0.546,97.2,0.025,13.8,13.3,-9.9,-12.0,98.0,0.992
2.6,0.538,97.2,0.026,13.8,13.3,-9.9,-11.9,97.8,0.994
2.7,0.562,97.2,0.027,13.7,13.3,-9.8,-11.8,97.2,1.0
2.8,0.59,97.2,0.028,13.7,13.3,-9.8,-11.7,97.0,1.002
2.9,0.605,97.2,0.029,13.6,13.3,-9.7,-11.7,96.6,1.006
3.0,0.631,97.2,0.03,13.6,13.3,-9.7,-11.6,96.4,1.008
3.1,0.609,97.2,0.031,13.5,13.3,-9.6,-11.6,96.0,1.012
3.2,0.633,97.2,0.032,13.5,13.3,-9.6,-11.5,95.8,1.015
3.3,0.618,97.2,0.033,13.4,13.3,-9.5,-11.5,95.4,1.019
3.4,0.62,97.2,0.034,13.4,13.3,-9.5,-11.5,95.4,1.019
3.5,0.616,97.2,0.035,13.4,13.4,-9.4,-11.5,95.4,1.019
3.6,0.612,97.2,0.036,13.3,13.4,-9.3,-11.4,94.8,1.025
3.7,0.619,97.2,0.037,13.3,13.4,-9.3,-11.4,94.8,1.025
3.8,0.636,97.2,0.038,13.3,13.4,-9.3,-11.3,94.6,1.027
3.9,0.651,97.2,0.039,13.2,13.4,-9.2,-11.3,94.2,1.032
4.0,0.667,97.2,0.04,13.2,13.4,-9.2,-11.2,94.0,1.034
4.1,0.659,97.2,0.041,13.1,13.4,-9.1,-11.2,93.6,1.038
4.2,0.672,96.0,0.042,13.1,13.4,-9.1,-11.1,93.4,1.028
4.3,0.653,96.0,0.043,13.1,13.4,-9.0,-11.0,93.0,1.032
4.4,0.671,96.0,0.044,13.0,13.4,-8.9,-11.0,92.6,1.037
4.5,0.679,96.0,0.045,13.0,13.4,-8.9,-10.9,92.4,1.039
4.6,0.661,96.0,0.046,13.0,13.4,-8.8,-10.9,92.2,1.041
4.7,0.684,96.0,0.047,13.0,13.4,-8.8,-10.8,92.0,1.043
4.8,0.689,96.0,0.048,12.9,13.4,-8.7,-10.7,91.4,1.05
4.9,0.671,96.0,0.049,12.9,13.4,-8.7,-10.7,91.4,1.05
5.0,0.674,96.0,0.05,12.9,13.5,-8.6,-10.6,91.2,1.053
5.1,0.693,96.0,0.051,12.9,13.5,-8.6,-10.5,91.0,1.055
5.2,0.679,96.0,0.052,12.9,13.5,-8.5,-10.4,90.6,1.06
5.3,0.696,93.0,0.053,12.8,13.5,-8.5,-10.4,90.4,1.029
5.4,0.699,89.0,0.054,12.8,13.5,-8.4,-10.4,90.2,0.987
5.5,0.68,89.0,0.055,12.7,13.6,-8.3,-10.3,89.8,0.991
5.6,0.665,81.0,0.056,12.7,13.6,-8.2,-10.3,89.6,0.904
5.7,0.664,78.2,0.057,12.7,13.6,-8.2,-10.2,89.4,0.875
5.8,0.682,77.91,0.058,12.6,13.6,-8.1,-10.2,89.0,0.875
5.9,0.684,77.63,0.059,12.6,13.7,-8.1,-10.1,89.0,0.872
6.0,0.699,79.63,0.06,12.5,13.7,-8.0,-10.1,88.6,0.899
6.1,0.717,79.63,0.061,12.5,13.7,-7.9,-10.0,88.2,0.903
6.2,0.732,81.63,0.062,12.4,13.7,-7.8,-10.0,87.8,0.93
6.3,0.735,79.63,0.063,12.4,13.7,-7.8,-9.9,87.6,0.909
6.4,0.74,79.63,0.064,12.4,13.7,-7.8,-9.9,87.6,0.909
6.5,0.701,75.74,0.065,12.3,13.7,-7.7,-9.8,87.0,0.871
6.6,0.711,73.34,0.066,12.3,13.8,-7.7,-9.8,87.2,0.841
6.7,0.727,76.13,0.067,12.3,13.8,-7.7,-9.7,87.0,0.875
6.8,0.742,75.13,0.068,12.4,13.8,-7.7,-9.7,87.2,0.862
6.9,0.696,72.13,0.069,12.3,13.8,-7.7,-9.6,86.8,0.831
7.0,0.689,74.13,0.07,12.3,13.8,-7.6,-9.6,86.6,0.856
7.1,0.676,74.13,0.071,12.2,13.9,-7.5,-9.5,86.2,0.86
7.2,0.671,73.06,0.072,12.2,13.9,-7.5,-9.5,86.2,0.848
7.3,0.69,72.45,0.073,12.2,13.9,-7.4,-9.4,85.8,0.844
7.4,0.708,71.99,0.074,12.2,13.9,-7.4,-9.4,85.8,0.839
7.5,0.702,71.99,0.075,12.2,13.8,-7.4,-9.4,85.6,0.841
