Time,ID,x,y,u,v,x_target,y_target,error_x,error_y,Distance to Target,Time/Total Time,Non-Dimensional Target Proximity,error_x_norm,error_y_norm,Heading-Bearing Correlation
0.0,1,7.9,-1.1,,,11.67,14.61,3.77,15.71,16.156,0.0,0.539,0.233,0.972,
0.0,2,0.8,-0.4,,,11.67,14.61,10.87,15.01,18.533,0.0,0.618,0.587,0.81,
0.0,3,14.7,-13.8,,,11.67,14.61,-3.03,28.41,28.571,0.0,0.952,-0.106,0.994,
0.0,4,-2.0,-2.6,,,11.67,14.61,13.67,17.21,21.978,0.0,0.733,0.622,0.783,
0.1,1,7.8,-1.0,-0.5,0.5,11.6,14.72,3.8,15.72,16.173,0.001,0.539,0.235,0.972,0.5212164073550213
0.1,2,0.8,-0.3,0.2,0.2,11.6,14.72,10.8,15.02,18.5,0.001,0.617,0.584,0.812,0.9865724381625443
0.1,3,14.7,-13.7,-0.4,0.7,11.6,14.72,-3.1,28.42,28.589,0.001,0.953,-0.108,0.994,0.9168734491315136
0.1,4,-2.0,-2.6,0.6,0.5,11.6,14.72,13.6,17.32,22.021,0.001,0.734,0.618,0.787,0.9786171574903969
0.2,1,7.8,-1.0,-0.4,0.2,11.65,14.6,3.85,15.6,16.068,0.002,0.536,0.24,0.971,0.2196868008948546
0.2,2,0.8,-0.3,0.1,0.2,11.65,14.6,10.85,14.9,18.432,0.002,0.614,0.589,0.808,0.9843750000000001
0.2,3,14.6,-13.6,-0.3,0.7,11.65,14.6,-2.95,28.2,28.354,0.002,0.945,-0.104,0.995,0.9549868766404199
0.2,4,-1.9,-2.5,0.5,0.5,11.65,14.6,13.55,17.1,21.818,0.002,0.727,0.621,0.784,0.9936350777934937
0.3,1,7.7,-1.0,-0.4,0.3,11.78,14.62,4.08,15.62,16.144,0.003,0.538,0.253,0.968,0.37839999999999996
0.3,2,0.8,-0.3,0.3,0.2,11.78,14.62,10.98,14.92,18.525,0.003,0.617,0.593,0.805,0.938781163434903
0.3,3,14.6,-13.6,-0.6,0.6,11.78,14.62,-2.82,28.22,28.361,0.003,0.945,-0.099,0.995,0.7731448763250883
