Time,ID,Ne,Area Coverage
0.0,6,,
0.0,7,,
0.0,8,,
0.0,9,,
0.0,10,,
0.1,6,2.0,104.72
0.1,7,0.0,314.159
0.1,8,2.0,104.72
0.1,9,3.0,78.54
0.1,10,3.0,78.54
0.2,6,2.0,104.72
0.2,7,0.0,314.159
0.2,8,2.0,104.72
0.2,9,3.0,78.54
0.2,10,3.0,78.54
0.3,6,2.0,104.72
0.3,7,0.0,314.159
0.3,8,2.0,104.72
0.3,9,3.0,78.54
0.3,10,3.0,78.54
0.4,6,2.0,104.72
0.4,7,0.0,314.159
0.4,8,2.0,104.72
0.4,9,3.0,78.54
0.4,10,3.0,78.54
0.5,6,2.0,104.72
0.5,7,0.0,314.159
0.5,8,2.0,104.72
0.5,9,2.0,104.72
0.5,10,3.0,78.54
0.6,6,1.0,157.08
0.6,7,0.0,314.159
0.6,8,1.0,157.08
0.6,9,2.0,104.72
0.6,10,2.0,104.72
0.7,6,1.0,157.08
0.7,7,0.0,314.159
0.7,8,1.0,157.08
0.7,9,2.0,104.72
0.7,10,2.0,104.72
0.8,6,1.0,157.08
0.8,7,0.0,314.159
0.8,8,1.0,157.08
0.8,9,2.0,104.72
0.8,10,2.0,104.72
0.9,6,1.0,157.08
0.9,7,0.0,314.159
0.9,8,1.0,157.08
0.9,9,2.0,104.72
0.9,10,2.0,104.72
1.0,6,1.0,157.08
1.0,7,0.0,314.159
1.0,8,1.0,157.08
1.0,9,2.0,104.72
1.0,10,2.0,104.72
1.1,6,1.0,157.08
1.1,7,0.0,314.159
1.1,8,1.0,157.08
1.1,9,2.0,104.72
1.1,10,2.0,104.72
1.2,6,1.0,157.08
1.2,7,0.0,314.159
1.2,8,1.0,157.08
1.2,9,2.0,104.72
1.2,10,2.0,104.72
1.3,6,1.0,157.08
1.3,7,0.0,314.159
1.3,8,1.0,157.08
1.3,9,2.0,104.72
1.3,10,2.0,104.72
1.4,6,1.0,157.08
1.4,7,0.0,314.159
1.4,8,1.0,157.08
1.4,9,2.0,104.72
1.4,10,2.0,104.72
1.5,6,1.0,157.08
1.5,7,0.0,314.159
1.5,8,1.0,157.08
1.5,9,2.0,104.72
1.5,10,2.0,104.72
1.6,6,1.0,157.08
1.6,7,0.0,314.159
1.6,8,1.0,157.08
1.6,9,2.0,104.72
1.6,10,2.0,104.72
1.7,6,1.0,157.08
1.7,7,0.0,314.159
1.7,8,1.0,157.08
1.7,9,2.0,104.72
1.7,10,2.0,104.72
1.8,6,1.0,157.08
1.8,7,0.0,314.159
1.8,8,1.0,157.08
1.8,9,2.0,104.72
1.8,10,2.0,104.72
1.9,6,1.0,157.08
1.9,7,0.0,314.159
1.9,8,1.0,157.08
1.9,9,2.0,104.72
1.9,10,2.0,104.72
2.0,6,1.0,157.08
2.0,7,0.0,314.159
2.0,8,1.0,157.08
2.0,9,2.0,104.72
2.0,10,2.0,104.72
2.1,6,1.0,157.08
2.1,7,0.0,314.159
2.1,8,1.0,157.08
2.1,9,2.0,104.72
2.1,10,2.0,104.72
2.2,6,1.0,157.08
2.2,7,0.0,314.159
2.2,8,1.0,157.08
2.2,9,2.0,104.72
2.2,10,2.0,104.72
2.3,6,1.0,157.08
2.3,7,0.0,314.159
2.3,8,1.0,157.08
2.3,9,2.0,104.72
2.3,10,2.0,104.72
2.4,6,1.0,157.08
2.4,7,0.0,314.159
2.4,8,1.0,157.08
2.4,9,2.0,104.72
2.4,10,2.0,104.72
2.5,6,1.0,157.08
2.5,7,0.0,314.159
2.5,8,1.0,157.08
2.5,9,2.0,104.72
2.5,10,2.0,104.72
2.6,6,1.0,157.08
2.6,7,0.0,314.159
2.6,8,1.0,157.08
2.6,9,2.0,104.72
2.6,10,2.0,104.72
2.7,6,1.0,157.08
2.7,7,0.0,314.159
2.7,8,1.0,157.08
2.7,9,2.0,104.72
2.7,10,2.0,104.72
2.8,6,1.0,157.08
2.8,7,0.0,314.159
2.8,8,1.0,157.08
2.8,9,2.0,104.72
2.8,10,2.0,104.72
2.9,6,1.0,157.08
2.9,7,0.0,314.159
2.9,8,1.0,157.08
2.9,9,2.0,104.72
2.9,10,2.0,104.72
3.0,6,1.0,157.08
3.0,7,0.0,314.159
3.0,8,1.0,157.08
3.0,9,2.0,104.72
3.0,10,2.0,104.72
3.1,6,1.0,157.08
3.1,7,0.0,314.159
3.1,8,1.0,157.08
3.1,9,2.0,104.72
3.1,10,2.0,104.72
3.2,6,1.0,157.08
3.2,7,0.0,314.159
3.2,8,1.0,157.08
3.2,9,2.0,104.72
3.2,10,2.0,104.72
3.3,6,1.0,157.08
3.3,7,0.0,314.159
3.3,8,1.0,157.08
3.3,9,2.0,104.72
3.3,10,2.0,104.72
3.4,6,1.0,157.08
3.4,7,0.0,314.159
3.4,8,1.0,157.08
3.4,9,2.0,104.72
3.4,10,2.0,104.72
3.5,6,1.0,157.08
3.5,7,0.0,314.159
3.5,8,1.0,157.08
3.5,9,2.0,104.72
3.5,10,2.0,104.72
3.6,6,1.0,157.08
3.6,7,0.0,314.159
3.6,8,1.0,157.08
3.6,9,2.0,104.72
3.6,10,2.0,104.72
3.7,6,1.0,157.08
3.7,7,0.0,314.159
3.7,8,1.0,157.08
3.7,9,2.0,104.72
3.7,10,2.0,104.72
3.8,6,1.0,157.08
3.8,7,0.0,314.159
3.8,8,1.0,157.08
3.8,9,2.0,104.72
3.8,10,2.0,104.72
3.9,6,1.0,157.08
3.9,7,0.0,314.159
3.9,8,1.0,157.08
3.9,9,2.0,104.72
3.9,10,2.0,104.72
4.0,6,1.0,157.08
4.0,7,0.0,314.159
4.0,8,1.0,157.08
4.0,9,2.0,104.72
4.0,10,2.0,104.72
4.1,6,1.0,157.08
4.1,7,0.0,314.159
4.1,8,0.0,314.159
4.1,9,2.0,104.72
4.1,10,1.0,157.08
4.2,6,1.0,157.08
4.2,7,0.0,314.159
4.2,8,0.0,314.159
4.2,9,2.0,104.72
4.2,10,1.0,157.08
4.3,6,1.0,157.08
4.3,7,0.0,314.159
4.3,8,0.0,314.159
4.3,9,2.0,104.72
4.3,10,1.0,157.08
4.4,6,1.0,157.08
4.4,7,0.0,314.159
4.4,8,0.0,314.159
4.4,9,2.0,104.72
4.4,10,1.0,157.08
4.5,6,1.0,157.08
4.5,7,0.0,314.159
4.5,8,0.0,314.159
4.5,9,2.0,104.72
4.5,10,1.0,157.08
4.6,6,1.0,157.08
4.6,7,0.0,314.159
4.6,8,0.0,314.159
4.6,9,2.0,104.72
4.6,10,1.0,157.08
4.7,6,1.0,157.08
4.7,7,0.0,314.159
4.7,8,0.0,314.159
4.7,9,2.0,104.72
4.7,10,1.0,157.08
4.8,6,1.0,157.08
4.8,7,0.0,314.159
4.8,8,0.0,314.159
4.8,9,2.0,104.72
4.8,10,1.0,157.08
4.9,6,1.0,157.08
4.9,7,0.0,314.159
4.9,8,0.0,314.159
4.9,9,2.0,104.72
4.9,10,1.0,157.08
5.0,6,1.0,157.08
5.0,7,0.0,314.159
5.0,8,0.0,314.159
5.0,9,2.0,104.72
5.0,10,1.0,157.08
5.1,6,1.0,157.08
5.1,7,0.0,314.159
5.1,8,0.0,314.159
5.1,9,2.0,104.72
5.1,10,1.0,157.08
5.2,6,1.0,157.08
5.2,7,0.0,314.159
5.2,8,0.0,314.159
5.2,9,2.0,104.72
5.2,10,1.0,157.08
5.3,6,1.0,157.08
5.3,7,0.0,314.159
5.3,8,0.0,314.159
5.3,9,2.0,104.72
5.3,10,1.0,157.08
5.4,6,1.0,157.08
5.4,7,0.0,314.159
5.4,8,0.0,314.159
5.4,9,2.0,104.72
5.4,10,1.0,157.08
5.5,6,1.0,157.08
5.5,7,0.0,314.159
5.5,8,0.0,314.159
5.5,9,2.0,104.72
5.5,10,1.0,157.08
5.6,6,1.0,157.08
5.6,7,0.0,314.159
5.6,8,0.0,314.159
5.6,9,2.0,104.72
5.6,10,1.0,157.08
5.7,6,1.0,157.08
5.7,7,0.0,314.159
5.7,8,0.0,314.159
5.7,9,2.0,104.72
5.7,10,1.0,157.08
5.8,6,1.0,157.08
5.8,7,0.0,314.159
5.8,8,0.0,314.159
5.8,9,2.0,104.72
5.8,10,1.0,157.08
5.9,6,1.0,157.08
5.9,7,0.0,314.159
5.9,8,0.0,314.159
5.9,9,2.0,104.72
5.9,10,1.0,157.08
6.0,6,1.0,157.08
6.0,7,0.0,314.159
6.0,8,0.0,314.159
6.0,9,2.0,104.72
