Time,Sum Area Coverage,Time/Total Time,Non-Dimensional Area Coverage
0.0,0.0,0.0,0.0
0.1,680.68,0.001,0.756
0.2,680.68,0.002,0.756
0.3,680.68,0.003,0.756
0.4,680.68,0.004,0.756
0.5,706.86,0.005,0.785
0.6,837.76,0.006,0.931
0.7,837.76,0.007,0.931
0.8,837.76,0.008,0.931
0.9,837.76,0.009,0.931
1.0,837.76,0.01,0.931
1.1,837.76,0.011,0.931
1.2,837.76,0.012,0.931
1.3,837.76,0.013,0.931
1.4,837.76,0.014,0.931
1.5,837.76,0.015,0.931
1.6,837.76,0.016,0.931
1.7,837.76,0.017,0.931
1.8,837.76,0.018,0.931
1.9,837.76,0.019,0.931
2.0,837.76,0.02,0.931
2.1,837.76,0.021,0.931
2.2,837.76,0.022,0.931
2.3,837.76,0.023,0.931
2.4,837.76,0.024,0.931
2.5,837.76,0.025,0.931
2.6,837.76,0.026,0.931
2.7,837.76,0.027,0.931
2.8,837.76,0.028,0.931
2.9,837.76,0.029,0.931
3.0,837.76,0.03,0.931
3.1,837.76,0.031,0.931
3.2,837.76,0.032,0.931
3.3,837.76,0.033,0.931
3.4,837.76,0.034,0.931
3.5,837.76,0.035,0.931
3.6,837.76,0.036,0.931
3.7,837.76,0.037,0.931
3.8,837.76,0.038,0.931
3.9,837.76,0.039,0.931
4.0,837.76,0.04,0.931
4.1,1047.2,0.041,1.164
4.2,1047.2,0.042,1.164
4.3,1047.2,0.043,1.164
4.4,1047.2,0.044,1.164
4.5,1047.2,0.045,1.164
4.6,1047.2,0.046,1.164
4.7,1047.2,0.047,1.164
4.8,1047.2,0.048,1.164
4.9,1047.2,0.049,1.164
5.0,1047.2,0.05,1.164
5.1,1047.2,0.051,1.164
5.2,1047.2,0.052,1.164
5.3,1047.2,0.053,1.164
5.4,1047.2,0.054,1.164
5.5,1047.2,0.055,1.164
5.6,1047.2,0.056,1.164
5.7,1047.2,0.057,1.164
5.8,1047.2,0.058,1.164
5.9,1047.2,0.059,1.164
6.0,1047.2,0.06,1.164
6.1,1047.2,0.061,1.164
6.2,1047.2,0.062,1.164
6.3,1047.2,0.063,1.164
6.4,1047.2,0.064,1.164
6.5,1047.2,0.065,1.164
6.6,1047.2,0.066,1.164
6.7,1047.2,0.067,1.164
6.8,1047.2,0.068,1.164
6.9,1047.2,0.069,1.164
7.0,1047.2,0.07,1.164
7.1,1047.2,0.071,1.164
7.2,1047.2,0.072,1.164
7.3,1047.2,0.073,1.164
7.4,1047.2,0.074,1.164
7.5,1047.2,0.075,1.164
7.6,1047.2,0.076,1.164
7.7,1047.2,0.077,1.164
7.8,1047.2,0.078,1.164
7.9,1047.2,0.079,1.164
8.0,1047.2,0.08,1.164
8.1,1047.2,0.081,1.164
8.2,1047.2,0.082,1.164
8.3,1047.2,0.083,1.164
8.4,1047.2,0.084,1.164
8.5,1047.2,0.085,1.164
8.6,1047.2,0.086,1.164
8.7,1047.2,0.087,1.164
8.8,1047.2,0.088,1.164
8.9,1570.8,0.089,1.745
9.0,1570.8,0.09,1.745
9.1,1256.64,0.091,1.396
9.2,1256.64,0.092,1.396
9.3,1256.64,0.093,1.396
9.4,1256.64,0.094,1.396
9.5,1256.64,0.095,1.396
9.6,1256.64,0.096,1.396
9.7,1256.64,0.097,1.396
9.8,1204.28,0.098,1.338
9.9,1047.2,0.099,1.164
10.0,1413.72,0.1,1.571
10.1,1256.64,0.101,1.396
10.2,1256.64,0.102,1.396
10.3,1256.64,0.103,1.396
10.4,1256.64,0.104,1.396
10.5,1256.64,0.105,1.396
10.6,1256.64,0.106,1.396
10.7,1256.64,0.107,1.396
10.8,1256.64,0.108,1.396
10.9,1256.64,0.109,1.396
11.0,1256.64,0.11,1.396
11.1,1256.64,0.111,1.396
11.2,1256.64,0.112,1.396
11.3,1256.64,0.113,1.396
11.4,1256.64,0.114,1.396
11.5,1256.64,0.115,1.396
11.6,1256.64,0.116,1.396
11.7,1256.64,0.117,1.396
11.8,1256.64,0.118,1.396
11.9,1256.64,0.119,1.396
12.0,1256.64,0.12,1.396
12.1,1256.64,0.121,1.396
12.2,1256.64,0.122,1.396
12.3,1256.64,0.123,1.396
12.4,1256.64,0.124,1.396
12.5,1256.64,0.125,1.396
12.6,1256.64,0.126,1.396
12.7,1256.64,0.127,1.396
12.8,1256.64,0.128,1.396
12.9,1256.64,0.129,1.396
13.0,1256.64,0.13,1.396
13.1,1256.64,0.131,1.396
13.2,1256.64,0.132,1.396
13.3,1256.64,0.133,1.396
13.4,1256.64,0.134,1.396
13.5,1256.64,0.135,1.396
13.6,1256.64,0.136,1.396
13.7,1256.64,0.137,1.396
13.8,1256.64,0.138,1.396
13.9,1256.64,0.139,1.396
14.0,1256.64,0.14,1.396
14.1,1256.64,0.141,1.396
14.2,1256.64,0.142,1.396
14.3,1256.64,0.143,1.396
14.4,1256.64,0.144,1.396
14.5,1256.64,0.145,1.396
14.6,1256.64,0.146,1.396
14.7,1256.64,0.147,1.396
14.8,1256.64,0.148,1.396
14.9,1256.64,0.149,1.396
15.0,1256.64,0.15,1.396
15.1,1256.64,0.151,1.396
15.2,1256.64,0.152,1.396
15.3,1256.64,0.153,1.396
15.4,1256.64,0.154,1.396
15.5,1256.64,0.155,1.396
15.6,1256.64,0.156,1.396
15.7,1256.64,0.157,1.396
15.8,1256.64,0.158,1.396
15.9,1256.64,0.159,1.396
16.0,1256.64,0.16,1.396
16.1,1256.64,0.161,1.396
16.2,1256.64,0.162,1.396
16.3,1256.64,0.163,1.396
16.4,1256.64,0.164,1.396
16.5,1256.64,0.165,1.396
16.6,1256.64,0.166,1.396
16.7,1256.64,0.167,1.396
16.8,1099.56,0.168,1.222
16.9,1047.2,0.169,1.164
17.0,1047.2,0.17,1.164
17.1,1047.2,0.171,1.164
17.2,1047.2,0.172,1.164
17.3,1256.64,0.173,1.396
17.4,1047.2,0.174,1.164
17.5,1047.2,0.175,1.164
17.6,1047.2,0.176,1.164
17.7,1047.2,0.177,1.164
17.8,1047.2,0.178,1.164
