Time,ID,z,Measurement,x,y,Ni,Linear Coverage,Abs(zi/z_goal),Ln(Abs(zi/z_goal))
0.0,16,,0.0,-14.0,2.4,,,0.0,-inf
0.0,17,,0.07,3.0,8.8,,,0.14,-0.854
0.0,18,,0.0,6.8,-15.2,,,0.0,-inf
0.0,19,,0.0,3.5,-14.8,,,0.0,-inf
0.0,20,,0.929,-8.9,-10.0,,,1.858,0.269
0.0,21,,0.267,-11.2,-5.3,,,0.534,-0.272
0.0,22,,0.0,17.9,-5.1,,,0.0,-inf
0.0,23,,0.255,-12.6,-14.2,,,0.51,-0.292
0.0,24,,0.0,18.9,18.3,,,0.0,-inf
0.0,25,,0.015,-18.6,-9.4,,,0.03,-1.523
0.1,16,,0.0,-14.0,2.3,0.0,12.0,0.0,-inf
0.1,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
0.1,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.1,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.1,20,,0.933,-8.9,-10.0,2.0,4.0,1.866,0.271
0.1,21,,0.276,-11.2,-5.3,1.0,6.0,0.552,-0.258
0.1,22,,0.0,18.0,-5.1,0.0,12.0,0.0,-inf
0.1,23,,0.257,-12.6,-14.2,1.0,6.0,0.514,-0.289
0.1,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.1,25,,0.015,-18.7,-9.4,0.0,12.0,0.03,-1.523
0.2,16,,0.0,-14.0,2.3,0.0,12.0,0.0,-inf
0.2,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.2,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.2,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.2,20,,0.941,-9.0,-10.0,2.0,4.0,1.882,0.275
0.2,21,,0.287,-11.2,-5.4,1.0,6.0,0.574,-0.241
0.2,22,,0.0,18.0,-5.1,0.0,12.0,0.0,-inf
0.2,23,,0.26,-12.5,-14.2,1.0,6.0,0.52,-0.284
0.2,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.2,25,,0.016,-18.6,-9.4,0.0,12.0,0.032,-1.495
0.3,16,,0.0,-14.0,2.3,0.0,12.0,0.0,-inf
0.3,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.3,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.3,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.3,20,,0.948,-9.0,-10.0,2.0,4.0,1.896,0.278
0.3,21,,0.298,-11.1,-5.5,1.0,6.0,0.596,-0.225
0.3,22,,0.0,18.0,-5.2,0.0,12.0,0.0,-inf
0.3,23,,0.265,-12.5,-14.2,1.0,6.0,0.53,-0.276
0.3,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.3,25,,0.016,-18.6,-9.4,0.0,12.0,0.032,-1.495
0.4,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
0.4,17,,0.071,3.0,8.8,0.0,12.0,0.142,-0.848
0.4,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.4,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.4,20,,0.954,-9.1,-10.0,2.0,4.0,1.908,0.281
0.4,21,,0.31,-11.1,-5.5,1.0,6.0,0.62,-0.208
0.4,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
0.4,23,,0.272,-12.5,-14.2,1.0,6.0,0.544,-0.264
0.4,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.4,25,,0.016,-18.6,-9.4,0.0,12.0,0.032,-1.495
0.5,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
0.5,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.5,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.5,19,,0.0,3.4,-14.7,1.0,6.0,0.0,-inf
0.5,20,,0.958,-9.1,-10.0,2.0,4.0,1.916,0.282
0.5,21,,0.318,-11.0,-5.6,1.0,6.0,0.636,-0.197
0.5,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
0.5,23,,0.275,-12.4,-14.2,1.0,6.0,0.55,-0.26
0.5,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
